Sample,Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Captured Timestamp,CPU,Memory
0,1786365213,0,,Aggregated,0.0,0.0,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,2026-08-10 12:33:35,0.0,4.0
1,1786365214,2,,Aggregated,0.0,0.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,2,0,450.6166679784656,455.0819934811443,450.6166679784656,459.5473189838231,828.0,2026-08-10 12:33:36,0.0,4.0
2,1786365215,4,,Aggregated,0.0,0.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,6,0,500.0,685.8953235011237,450.6166679784656,902.4043320096098,690.0,2026-08-10 12:33:37,0.0,4.0
3,1786365216,6,,Aggregated,0.0,0.0,500.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,8,0,460.0,596.1111842480022,241.65937298676,902.4043320096098,621.0,2026-08-10 12:33:38,0.0,4.0
4,1786365217,8,,Aggregated,1.0,0.0,900.0,900.0,1200.0,1200.0,1200.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,12,0,500.0,766.2054626610674,241.65937298676,1600.6313469843008,689.5833333333334,2026-08-10 12:33:40,0.0,4.0
5,1786365218,10,,Aggregated,2.333333,0.0,900.0,1100.0,1100.0,1200.0,1600.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,17,0,900.0,889.5491912878831,241.65937298676,2086.908005992882,681.2941176470588,2026-08-10 12:33:41,0.0,4.0
6,1786365219,10,,Aggregated,2.5,0.0,1000.0,1200.0,1600.0,1700.0,2100.0,2700.0,2700.0,2700.0,2700.0,2700.0,2700.0,20,0,900.0,1078.9237196411705,241.65937298676,2748.3224959578365,703.45,2026-08-10 12:33:42,0.0,4.0
7,1786365220,10,,Aggregated,3.0,0.0,1100.0,1700.0,2000.0,2100.0,2500.0,2500.0,2700.0,2700.0,2700.0,2700.0,2700.0,27,0,1100.0,1309.4569858836217,241.65937298676,2748.3224959578365,735.925925925926,2026-08-10 12:33:43,0.0,4.0
8,1786365221,10,,Aggregated,3.0,0.0,1400.0,1900.0,2000.0,2100.0,2200.0,2500.0,2700.0,2700.0,2700.0,2700.0,2700.0,33,0,1400.0,1408.6935906018357,241.65937298676,2748.3224959578365,752.6363636363636,2026-08-10 12:33:44,0.0,4.0
9,1786365222,10,,Aggregated,3.428571,0.0,1400.0,1900.0,2000.0,2100.0,2300.0,2500.0,2700.0,2700.0,2700.0,2700.0,2700.0,37,0,1400.0,1412.1960494289729,241.65937298676,2748.3224959578365,760.7297297297297,2026-08-10 12:33:45,0.0,4.0
10,1786365223,10,,Aggregated,3.625,0.0,1600.0,1900.0,2100.0,2200.0,2500.0,2500.0,3100.0,3100.0,3100.0,3100.0,3100.0,43,0,1600.0,1508.0819183914532,241.65937298676,3145.848661020864,770.2093023255813,2026-08-10 12:33:46,0.0,4.0
11,1786365224,11,,Aggregated,3.777778,0.0,1600.0,2000.0,2200.0,2300.0,2500.0,2500.0,3100.0,3100.0,3100.0,3100.0,3100.0,48,0,1600.0,1558.808193495982,241.65937298676,3145.848661020864,758.9791666666666,2026-08-10 12:33:47,0.0,4.0
12,1786365225,12,,Aggregated,3.9,0.0,1600.0,2000.0,2200.0,2300.0,2500.0,2500.0,2700.0,3100.0,3100.0,3100.0,3100.0,52,0,1600.0,1587.870222149202,241.65937298676,3145.848661020864,748.4807692307693,2026-08-10 12:33:48,0.0,4.0
13,1786365226,13,,Aggregated,4.4,0.0,1700.0,2000.0,2200.0,2400.0,2500.0,2700.0,2700.0,3100.0,3100.0,3100.0,3100.0,59,0,1700.0,1637.493407826326,241.65937298676,3145.848661020864,729.9322033898305,2026-08-10 12:33:49,0.0,4.0
14,1786365227,14,,Aggregated,4.8,0.0,1700.0,2100.0,2300.0,2400.0,2600.0,2700.0,2900.0,3100.0,3100.0,3100.0,3100.0,63,0,1700.0,1672.3620716153482,241.65937298676,3145.848661020864,736.2857142857143,2026-08-10 12:33:50,0.0,4.0
15,1786365228,15,,Aggregated,4.6,0.0,1800.0,2100.0,2300.0,2400.0,2700.0,2900.0,3200.0,3800.0,3800.0,3800.0,3800.0,68,0,1800.0,1732.6888109956224,241.65937298676,3752.212046994828,718.7647058823529,2026-08-10 12:33:51,0.0,4.0
16,1786365229,16,,Aggregated,5.0,0.0,1900.0,2200.0,2400.0,2500.0,2700.0,3200.0,3400.0,3800.0,3800.0,3800.0,3800.0,73,0,1900.0,1804.1365014768703,241.65937298676,3752.212046994828,726.3835616438356,2026-08-10 12:33:52,0.0,4.0
17,1786365230,17,,Aggregated,5.1,0.0,2000.0,2300.0,2500.0,2500.0,3100.0,3500.0,3800.0,4400.0,4400.0,4400.0,4400.0,80,0,2000.0,1907.8674936841708,241.65937298676,4369.342463964131,735.45,2026-08-10 12:33:53,0.0,4.0
18,1786365231,18,,Aggregated,5.0,0.0,2000.0,2300.0,2500.0,2500.0,3100.0,3500.0,3800.0,4400.0,4400.0,4400.0,4400.0,82,0,2000.0,1932.1441819228332,241.65937298676,4369.342463964131,737.6951219512196,2026-08-10 12:33:54,47.0,10.0
19,1786365232,19,,Aggregated,5.1,0.0,2100.0,2400.0,2500.0,2600.0,3400.0,3600.0,4400.0,4900.0,4900.0,4900.0,4900.0,88,0,2100.0,2024.5739190868333,241.65937298676,4893.348173995037,736.5113636363636,2026-08-10 12:33:55,47.0,10.0
20,1786365233,20,,Aggregated,5.1,0.0,2100.0,2400.0,2600.0,2700.0,3500.0,3700.0,4400.0,4900.0,4900.0,4900.0,4900.0,91,0,2100.0,2070.154888468416,241.65937298676,4893.348173995037,732.2637362637363,2026-08-10 12:33:57,47.0,10.0
21,1786365234,25,,Aggregated,4.9,0.0,2200.0,2500.0,2700.0,3100.0,3800.0,4100.0,4900.0,5200.0,5200.0,5200.0,5200.0,98,0,2200.0,2214.3108050976834,241.65937298676,5236.82051000651,732.530612244898,2026-08-10 12:33:58,47.0,10.0
22,1786365235,30,,Aggregated,5.1,0.0,2200.0,2500.0,2700.0,3100.0,3700.0,4000.0,4400.0,4900.0,5200.0,5200.0,5200.0,101,0,2200.0,2221.6479935704056,241.65937298676,5236.82051000651,722.3960396039604,2026-08-10 12:33:59,47.0,10.0
23,1786365236,35,,Aggregated,4.9,0.0,2200.0,2500.0,2800.0,3200.0,4000.0,4400.0,4900.0,5200.0,5600.0,5600.0,5600.0,108,0,2200.0,2274.36647755234,241.65937298676,5624.736209050752,697.2314814814815,2026-08-10 12:34:00,47.0,10.0
24,1786365237,40,,Aggregated,4.9,0.0,2200.0,2500.0,2900.0,3300.0,4000.0,4400.0,4900.0,5200.0,5600.0,5600.0,5600.0,111,0,2200.0,2301.497365834678,241.65937298676,5624.736209050752,688.9549549549549,2026-08-10 12:34:01,47.0,10.0
25,1786365238,40,,Aggregated,4.9,0.0,2300.0,2700.0,3400.0,3600.0,4400.0,5100.0,5600.0,6200.0,6300.0,6300.0,6300.0,120,0,2300.0,2482.177656812322,241.65937298676,6265.567954978906,670.6833333333333,2026-08-10 12:34:02,47.0,10.0
26,1786365239,40,,Aggregated,4.8,0.0,2400.0,2900.0,3600.0,3800.0,5100.0,5200.0,6200.0,6300.0,6900.0,6900.0,6900.0,130,0,2400.0,2648.3427321726385,241.65937298676,6874.021623982117,656.1692307692308,2026-08-10 12:34:03,47.0,10.0
27,1786365240,40,,Aggregated,4.7,0.0,2400.0,3200.0,3700.0,4000.0,5100.0,5300.0,6200.0,6300.0,6900.0,6900.0,6900.0,134,0,2400.0,2709.900922547685,241.65937298676,6874.021623982117,645.2537313432836,2026-08-10 12:34:04,47.0,10.0
28,1786365241,40,,Aggregated,5.7,0.0,2400.0,3400.0,3800.0,4100.0,5200.0,5700.0,6200.0,6300.0,6900.0,6900.0,6900.0,140,0,2400.0,2793.168244824795,241.65937298676,6874.021623982117,629.3928571428571,2026-08-10 12:34:05,47.0,10.0
29,1786365242,40,,Aggregated,5.6,0.0,2500.0,3600.0,4000.0,4200.0,5300.0,5800.0,6300.0,6900.0,7600.0,7600.0,7600.0,149,0,2500.0,2941.1996138487607,241.65937298676,7571.981973014772,610.4228187919463,2026-08-10 12:34:06,47.0,10.0
30,1786365243,40,,Aggregated,5.5,0.0,2600.0,3700.0,4100.0,4700.0,5700.0,5900.0,6900.0,7500.0,7600.0,7600.0,7600.0,159,0,2600.0,3078.8476561465586,241.65937298676,7571.981973014772,586.6415094339623,2026-08-10 12:34:07,47.0,10.0
31,1786365244,40,,Aggregated,5.9,0.0,2700.0,3900.0,4200.0,5200.0,5800.0,6300.0,7500.0,7600.0,7600.0,7600.0,7600.0,170,0,2700.0,3212.244529419524,241.65937298676,7571.981973014772,559.535294117647,2026-08-10 12:34:08,47.0,10.0
32,1786365245,40,,Aggregated,5.9,0.0,2700.0,3900.0,4400.0,5200.0,5800.0,6300.0,7500.0,7600.0,7600.0,7600.0,7600.0,174,0,2700.0,3227.657247237706,241.65937298676,7571.981973014772,554.3620689655172,2026-08-10 12:34:09,77.0,15.0
33,1786365246,40,,Aggregated,6.9,0.0,3100.0,4000.0,4900.0,5200.0,5800.0,7200.0,7500.0,7600.0,7600.0,7600.0,7600.0,186,0,2900.0,3343.1126562329587,241.65937298676,7571.981973014772,543.6666666666666,2026-08-10 12:34:10,77.0,15.0
34,1786365247,40,,Aggregated,7.3,0.0,3300.0,4000.0,5000.0,5200.0,5800.0,7200.0,7500.0,7600.0,7600.0,7600.0,7600.0,198,0,3200.0,3398.945574678664,241.65937298676,7571.981973014772,527.5959595959596,2026-08-10 12:34:11,77.0,15.0
35,1786365248,40,,Aggregated,7.7,0.0,3300.0,4000.0,5000.0,5200.0,5800.0,7200.0,7400.0,7500.0,7600.0,7600.0,7600.0,202,0,3300.0,3397.475155402957,241.65937298676,7571.981973014772,526.9851485148515,2026-08-10 12:34:13,77.0,15.0
36,1786365249,40,,Aggregated,8.5,0.0,3400.0,4000.0,5000.0,5200.0,5800.0,7200.0,7400.0,7500.0,7600.0,7600.0,7600.0,210,0,3300.0,3426.2334722875885,241.65937298676,7571.981973014772,513.4190476190477,2026-08-10 12:34:14,77.0,15.0
37,1786365250,40,,Aggregated,8.6,0.0,3400.0,4000.0,5100.0,5300.0,5800.0,7200.0,7400.0,7500.0,7600.0,7600.0,7600.0,219,0,3400.0,3498.675747773744,241.65937298676,7571.981973014772,508.296803652968,2026-08-10 12:34:15,77.0,15.0
38,1786365251,40,,Aggregated,7.9,0.0,3500.0,4100.0,5200.0,5400.0,5900.0,7300.0,7500.0,7600.0,9100.0,9100.0,9100.0,226,0,3500.0,3586.6669910198566,241.65937298676,9056.89990101382,497.87610619469024,2026-08-10 12:34:16,77.0,15.0
39,1786365252,40,,Aggregated,8.0,0.0,3500.0,4100.0,5200.0,5500.0,5900.0,7400.0,7500.0,7600.0,9100.0,9100.0,9100.0,231,0,3500.0,3615.2027764390887,241.65937298676,9056.89990101382,493.5887445887446,2026-08-10 12:34:17,77.0,15.0
40,1786365253,40,,Aggregated,8.4,0.0,3600.0,4400.0,5300.0,5600.0,6000.0,7400.0,7500.0,7600.0,9100.0,9100.0,9100.0,241,0,3600.0,3711.694358603128,241.65937298676,9056.89990101382,488.35684647302907,2026-08-10 12:34:18,77.0,15.0
41,1786365254,40,,Aggregated,8.5,0.0,3700.0,4500.0,5300.0,5600.0,6200.0,7400.0,7600.0,7600.0,9100.0,9100.0,9100.0,246,0,3600.0,3749.907218948399,241.65937298676,9056.89990101382,484.5609756097561,2026-08-10 12:34:19,77.0,15.0
42,1786365255,40,,Aggregated,8.3,0.0,3700.0,4900.0,5400.0,5600.0,6200.0,7400.0,7600.0,7600.0,9100.0,9100.0,9100.0,252,0,3700.0,3778.73548507295,241.65937298676,9056.89990101382,477.0079365079365,2026-08-10 12:34:20,77.0,15.0
43,1786365256,40,,Aggregated,8.0,0.0,3700.0,5000.0,5500.0,5700.0,7100.0,7400.0,7600.0,7600.0,9100.0,9100.0,9100.0,264,0,3700.0,3864.545956115321,241.65937298676,9056.89990101382,470.5113636363636,2026-08-10 12:34:21,77.0,15.0
44,1786365257,40,,Aggregated,7.6,0.0,3700.0,5100.0,5500.0,5600.0,6900.0,7400.0,7600.0,7600.0,9100.0,9100.0,9100.0,276,0,3700.0,3882.0563287371297,241.65937298676,9056.89990101382,467.0289855072464,2026-08-10 12:34:22,77.0,15.0
