,User Count,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,CPU,Memory
User Count,1.0,0.7798299767932632,,0.7305250399281071,0.7097466883076691,0.7631436869524536,0.7983016323260685,0.8095291614670957,0.8317559786328449,0.8422290621820391,0.8446654601508504,0.8365594769001587,0.8365594769001587,0.8365594769001587,0.5681359255092342,,0.7488996742486868,0.7775719271073603,-0.46987087686504864,0.8489667957273208,-0.4553623083705696,0.6118783293002852,0.74271031760649
Requests/s,0.7798299767932632,1.0,,0.9556324862829315,0.9521314814033279,0.9519125957537562,0.9385870825600657,0.9335715564334127,0.9232266898686333,0.9190527028251748,0.9201001158667017,0.9265832803290177,0.9265832803290177,0.9265832803290177,0.8819738648534927,,0.9580109560565087,0.949485075492488,-0.622184053154061,0.9316108809162624,-0.6837275816965164,0.8809949532885545,0.9160600805343116
Failures/s,,,,,,,,,,,,,,,,,,,,,,,
50%,0.7305250399281071,0.9556324862829315,,1.0,0.9896321038617294,0.98388393806061,0.9720164430051935,0.9711936169510463,0.9664198105557734,0.9586029174071244,0.9613733464396436,0.9636820052761517,0.9636820052761517,0.9636820052761517,0.9456706011747823,,0.9993515507212646,0.9917821557749081,-0.7314026142531537,0.963375861302644,-0.9489989519375737,0.9331269861950539,0.9436866491154711
66%,0.7097466883076691,0.9521314814033279,,0.9896321038617294,1.0,0.9888188000008283,0.979658784720804,0.9777233399005931,0.9654821868265652,0.9587454021972796,0.9557535144891072,0.9655273726951041,0.9655273726951041,0.9655273726951041,0.9612177354339354,,0.9894895560114427,0.9938914410989684,-0.7583590944535185,0.9653854295225404,-0.9710402006587088,0.943038657638466,0.9415439171643427
75%,0.7631436869524536,0.9519125957537562,,0.98388393806061,0.9888188000008283,1.0,0.992682309745838,0.989003117493549,0.9819693812569892,0.9765760623567313,0.9735722434431322,0.9828210538698988,0.9828210538698988,0.9828210538698988,0.9297349806488577,,0.983856262652182,0.9941142846412153,-0.7660508517497864,0.9825625107378105,-0.9575810854159937,0.9233685629450922,0.9437989064324369
80%,0.7983016323260685,0.9385870825600657,,0.9720164430051935,0.979658784720804,0.992682309745838,1.0,0.9934376548065806,0.9898518529520026,0.9870459629969462,0.9830281946847031,0.9916150383272736,0.9916150383272736,0.9916150383272736,0.9072546722321461,,0.9719252842385669,0.9906802166168116,-0.7723778264093468,0.9915987581831986,-0.9413828734138602,0.9006183190792586,0.9319559406823642
90%,0.8095291614670957,0.9335715564334127,,0.9711936169510463,0.9777233399005931,0.989003117493549,0.9934376548065806,1.0,0.9949160528217583,0.9908850210522916,0.9876358738886369,0.9927430649387313,0.9927430649387313,0.9927430649387313,0.9060722939683086,,0.9714806713748573,0.9910367481752234,-0.7607787014025869,0.9929332595172636,-0.9369363825678595,0.9036236458749887,0.9381756832121523
95%,0.8317559786328449,0.9232266898686333,,0.9664198105557734,0.9654821868265652,0.9819693812569892,0.9898518529520026,0.9949160528217583,1.0,0.9948832441102866,0.99501036372085,0.9960876770242169,0.9960876770242169,0.9960876770242169,0.8842242673686717,,0.9662039386380562,0.9857907409914475,-0.7470694587298663,0.9960865515236117,-0.9134951071787702,0.8836445140404439,0.9260677465074085
98%,0.8422290621820391,0.9190527028251748,,0.9586029174071244,0.9587454021972796,0.9765760623567313,0.9870459629969462,0.9908850210522916,0.9948832441102866,1.0,0.9966341110090854,0.9946836911075048,0.9946836911075048,0.9946836911075048,0.8626521761412452,,0.9589660923534851,0.979181114579892,-0.7474848820194804,0.9946822092390183,-0.899491574974794,0.8610266439567108,0.9146724200046205
