Timestamp,CPU,Memory
1786300294,0m,4Mi
1786300295,0m,4Mi
1786300296,0m,4Mi
1786300298,0m,4Mi
1786300299,0m,4Mi
1786300300,0m,4Mi
1786300301,0m,4Mi
1786300302,0m,4Mi
1786300303,0m,4Mi
1786300304,0m,4Mi
1786300305,0m,4Mi
1786300306,0m,4Mi
1786300307,0m,4Mi
1786300308,0m,4Mi
1786300309,0m,4Mi
1786300310,0m,4Mi
1786300311,0m,4Mi
1786300312,0m,4Mi
1786300314,34m,11Mi
1786300315,34m,11Mi
1786300316,34m,11Mi
1786300317,34m,11Mi
1786300318,34m,11Mi
1786300319,34m,11Mi
1786300320,34m,11Mi
1786300321,34m,11Mi
1786300322,34m,11Mi
1786300323,34m,11Mi
1786300324,34m,11Mi
1786300325,34m,11Mi
1786300326,34m,11Mi
1786300327,34m,11Mi
1786300329,80m,19Mi
1786300330,80m,19Mi
1786300331,80m,19Mi
1786300332,80m,19Mi
1786300333,80m,19Mi
1786300334,80m,19Mi
1786300335,80m,19Mi
1786300336,80m,19Mi
1786300337,80m,19Mi
1786300338,80m,19Mi
1786300339,80m,19Mi
1786300340,80m,19Mi
1786300341,80m,19Mi
1786300342,80m,19Mi
1786300343,111m,19Mi
1786300345,111m,19Mi
1786300346,111m,19Mi
1786300347,111m,19Mi
1786300348,111m,19Mi
1786300349,111m,19Mi
1786300350,111m,19Mi
1786300351,111m,19Mi
1786300352,111m,19Mi
1786300353,111m,19Mi
1786300354,111m,19Mi
1786300355,111m,19Mi
1786300356,111m,19Mi
1786300357,111m,19Mi
