timestamp,CPU,Memory
1786299372,1m,9Mi
1786299373,1m,9Mi
1786299374,1m,9Mi
1786299375,1m,9Mi
1786299376,1m,9Mi
1786299377,1m,9Mi
1786299378,1m,9Mi
1786299379,1m,9Mi
1786299381,1m,9Mi
1786299382,1m,9Mi
1786299383,1m,9Mi
1786299384,60m,17Mi
1786299385,60m,17Mi
1786299386,60m,17Mi
1786299387,60m,17Mi
1786299388,60m,17Mi
1786299389,60m,17Mi
1786299390,60m,17Mi
1786299391,60m,17Mi
1786299392,60m,17Mi
1786299393,60m,17Mi
1786299394,60m,17Mi
1786299396,60m,17Mi
1786299397,60m,17Mi
1786299398,60m,17Mi
1786299399,300m,51Mi
1786299400,300m,51Mi
1786299401,300m,51Mi
1786299402,300m,51Mi
1786299403,300m,51Mi
1786299404,300m,51Mi
1786299405,300m,51Mi
1786299406,300m,51Mi
1786299407,300m,51Mi
1786299408,300m,51Mi
1786299409,300m,51Mi
1786299410,300m,51Mi
1786299411,300m,51Mi
1786299412,300m,51Mi
1786299414,413m,32Mi
1786299415,413m,32Mi
1786299416,413m,32Mi
1786299417,413m,32Mi
1786299418,413m,32Mi
1786299419,413m,32Mi
1786299420,413m,32Mi
1786299421,413m,32Mi
1786299422,413m,32Mi
1786299423,413m,32Mi
1786299424,413m,32Mi
1786299425,413m,32Mi
1786299426,413m,32Mi
1786299427,413m,32Mi
1786299428,350m,29Mi
1786299430,350m,29Mi
