timestamp,cacheHits,cacheMiss,total_latency,hits_per_sec,misses_per_sec,requests_per_sec,cache_hit_ratio
1786563007,0,0,0.0,0.0,0.0,0.0,0.0
1786563008,0,1,93.0,0.0,1.0,1.0,0.0
1786563009,0,5,126.0,0.0,4.0,4.0,0.0
1786563010,0,11,460.0,0.0,6.0,6.0,0.0
1786563011,0,18,660.0,0.0,7.0,7.0,0.0
1786563012,0,24,692.0,0.0,6.0,6.0,0.0
1786563013,0,31,852.0,0.0,7.0,7.0,0.0
1786563014,0,36,922.0,0.0,5.0,5.0,0.0
1786563015,0,42,1098.0,0.0,6.0,6.0,0.0
1786563016,0,43,1115.0,0.0,1.0,1.0,0.0
1786563017,0,51,1249.0,0.0,8.0,8.0,0.0
1786563018,0,57,1267.0,0.0,6.0,6.0,0.0
1786563019,0,63,1279.0,0.0,6.0,6.0,0.0
1786563020,0,71,1361.0,0.0,8.0,8.0,0.0
1786563021,0,78,1347.0,0.0,7.0,7.0,0.0
1786563022,0,84,1437.0,0.0,6.0,6.0,0.0
1786563023,0,89,1458.0,0.0,5.0,5.0,0.0
1786563024,3,91,1544.0,3.0,2.0,5.0,0.6
1786563025,18,93,1510.0,15.0,2.0,17.0,0.8823529411764706
1786563026,37,94,1331.0,19.0,1.0,20.0,0.95
1786563027,54,96,1173.0,17.0,2.0,19.0,0.8947368421052632
1786563028,74,97,1044.0,20.0,1.0,21.0,0.9523809523809523
1786563029,93,100,925.0,19.0,3.0,22.0,0.8636363636363636
1786563030,114,105,831.0,21.0,5.0,26.0,0.8076923076923077
1786563031,137,109,751.0,23.0,4.0,27.0,0.8518518518518519
1786563032,163,112,680.0,26.0,3.0,29.0,0.896551724137931
1786563033,191,115,622.0,28.0,3.0,31.0,0.9032258064516129
1786563034,217,122,576.0,26.0,7.0,33.0,0.7878787878787878
1786563035,246,127,534.0,29.0,5.0,34.0,0.8529411764705882
1786563036,273,133,500.0,27.0,6.0,33.0,0.8181818181818182
1786563037,304,138,472.0,31.0,5.0,36.0,0.8611111111111112
1786563038,336,143,447.0,32.0,5.0,37.0,0.8648648648648649
1786563039,364,155,429.0,28.0,12.0,40.0,0.7
1786563040,394,161,419.0,30.0,6.0,36.0,0.8333333333333334
1786563041,426,169,411.0,32.0,8.0,40.0,0.8
1786563042,462,173,394.0,36.0,4.0,40.0,0.9
1786563043,501,174,377.0,39.0,1.0,40.0,0.975
1786563044,535,179,362.0,34.0,5.0,39.0,0.8717948717948718
1786563045,569,185,351.0,34.0,6.0,40.0,0.85
1786563046,601,192,341.0,32.0,7.0,39.0,0.8205128205128205
1786563047,633,199,331.0,32.0,7.0,39.0,0.8205128205128205
1786563048,665,205,324.0,32.0,6.0,38.0,0.8421052631578947
1786563049,702,208,314.0,37.0,3.0,40.0,0.925
1786563050,738,212,305.0,36.0,4.0,40.0,0.9
1786563051,774,217,297.0,36.0,5.0,41.0,0.8780487804878049
1786563052,809,220,289.0,35.0,3.0,38.0,0.9210526315789473
1786563053,846,222,283.0,37.0,2.0,39.0,0.9487179487179487
1786563054,878,229,279.0,32.0,7.0,39.0,0.8205128205128205
1786563055,912,234,274.0,34.0,5.0,39.0,0.8717948717948718
1786563056,946,239,269.0,34.0,5.0,39.0,0.8717948717948718
1786563057,981,243,264.0,35.0,4.0,39.0,0.8974358974358975
1786563058,1006,246,260.0,25.0,3.0,28.0,0.8928571428571429
1786563059,1012,248,255.0,6.0,2.0,8.0,0.75
1786563060,1020,248,251.0,8.0,0.0,8.0,1.0
1786563061,1023,248,248.0,3.0,0.0,3.0,1.0
1786563062,1032,249,245.0,9.0,1.0,10.0,0.9
1786563063,1038,249,242.0,6.0,0.0,6.0,1.0
1786563064,1046,249,240.0,8.0,0.0,8.0,1.0
1786563065,1053,251,237.0,7.0,2.0,9.0,0.7777777777777778
1786563066,1060,252,235.0,7.0,1.0,8.0,0.875
1786563067,1062,252,232.0,2.0,0.0,2.0,1.0
