Sample,Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Captured Timestamp,CPU,Memory,Cache Hits/s,Cache Misses/s,Cache Hit Ratio
0,1786390207,0,,Aggregated,0.0,0.0,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,2026-08-10 19:30:08,0.0,15.0,0.0,0.0,0.0
1,1786390208,2,,Aggregated,0.0,0.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,2,0,47.09886299679056,155.89317498961464,47.09886299679056,264.6874869824387,416.0,2026-08-10 19:30:09,0.0,15.0,0.0,1.0,0.0
2,1786390209,4,,Aggregated,0.0,0.0,260.0,260.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,4,0,240.0,375.8392282470595,47.09886299679056,948.4327980317177,620.5,2026-08-10 19:30:11,0.0,15.0,0.0,4.0,0.0
3,1786390210,6,,Aggregated,0.0,0.0,440.0,950.0,1000.0,1000.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,8,0,260.0,536.21802462294,47.09886299679056,1053.992166009266,722.75,2026-08-10 19:30:12,0.0,15.0,0.0,6.0,0.0
4,1786390211,8,,Aggregated,2.0,0.0,950.0,1000.0,1100.0,1100.0,1100.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,14,0,570.0,726.5954446338583,47.09886299679056,1770.3567079734055,768.7142857142857,2026-08-10 19:30:13,0.0,15.0,0.0,7.0,0.0
5,1786390212,10,,Aggregated,2.666667,0.0,950.0,1000.0,1100.0,1100.0,1800.0,1800.0,1900.0,1900.0,1900.0,1900.0,1900.0,21,0,950.0,854.9205391845178,46.058873005677015,1949.8605449916795,749.952380952381,2026-08-10 19:30:14,0.0,15.0,0.0,6.0,0.0
6,1786390213,10,,Aggregated,3.5,0.0,950.0,1100.0,1100.0,1200.0,1800.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,26,0,870.0,904.3221225326236,46.058873005677015,1949.8605449916795,765.1538461538462,2026-08-10 19:30:15,0.0,15.0,0.0,7.0,0.0
7,1786390214,10,,Aggregated,3.8,0.0,1000.0,1100.0,1600.0,1800.0,1900.0,1900.0,2100.0,2100.0,2100.0,2100.0,2100.0,30,0,960.0,1003.5012072611912,46.058873005677015,2110.269647964742,773.6333333333333,2026-08-10 19:30:16,0.0,15.0,0.0,5.0,0.0
8,1786390215,10,,Aggregated,4.166667,0.0,1000.0,1600.0,1800.0,1800.0,1900.0,2300.0,3100.0,3100.0,3100.0,3100.0,3100.0,37,0,1000.0,1136.5311187518937,40.23186699487269,3140.6168510438874,739.8108108108108,2026-08-10 19:30:17,0.0,15.0,0.0,6.0,0.0
9,1786390216,10,,Aggregated,4.142857,0.0,1000.0,1700.0,1800.0,1800.0,1900.0,2300.0,3100.0,3100.0,3100.0,3100.0,3100.0,41,0,1000.0,1173.2824686531364,40.23186699487269,3140.6168510438874,728.4146341463414,2026-08-10 19:30:18,0.0,15.0,0.0,1.0,0.0
10,1786390217,10,,Aggregated,4.375,0.0,1100.0,1800.0,1900.0,2100.0,2600.0,2700.0,3200.0,3200.0,3200.0,3200.0,3200.0,48,0,1100.0,1322.6569793271967,40.23186699487269,3151.107724988833,743.125,2026-08-10 19:30:19,0.0,15.0,0.0,8.0,0.0
11,1786390218,12,,Aggregated,4.444444,0.0,1200.0,1800.0,1900.0,1900.0,2300.0,2700.0,3100.0,3200.0,3200.0,3200.0,3200.0,53,0,1200.0,1315.617298711759,40.23186699487269,3151.107724988833,735.7924528301887,2026-08-10 19:30:20,0.0,15.0,0.0,6.0,0.0
12,1786390219,14,,Aggregated,4.7,0.0,1400.0,1800.0,1900.0,2100.0,2600.0,2900.0,3100.0,3200.0,3200.0,3200.0,3200.0,60,0,1200.0,1331.8057101937786,40.23186699487269,3151.107724988833,708.2333333333333,2026-08-10 19:30:21,0.0,15.0,0.0,6.0,0.0
13,1786390220,16,,Aggregated,5.0,0.0,1600.0,1800.0,1900.0,2100.0,2500.0,2700.0,3100.0,3200.0,3200.0,3200.0,3200.0,66,0,1600.0,1406.609930858284,40.23186699487269,3151.107724988833,719.2272727272727,2026-08-10 19:30:22,0.0,15.0,0.0,8.0,0.0
14,1786390221,18,,Aggregated,5.6,0.0,1600.0,1800.0,1900.0,2100.0,2600.0,2900.0,3100.0,3200.0,3200.0,3200.0,3200.0,73,0,1600.0,1427.6658649817875,40.23186699487269,3151.107724988833,698.2054794520548,2026-08-10 19:30:23,0.0,15.0,0.0,7.0,0.0
15,1786390222,20,,Aggregated,5.7,0.0,1600.0,1900.0,2100.0,2300.0,2600.0,2900.0,3100.0,3200.0,3200.0,3200.0,3200.0,77,0,1600.0,1489.5290575283518,40.23186699487269,3151.107724988833,704.6233766233767,2026-08-10 19:30:24,76.0,23.0,0.0,6.0,0.0
16,1786390223,20,,Aggregated,5.7,0.0,1700.0,1900.0,2200.0,2300.0,2600.0,2900.0,3100.0,3200.0,3200.0,3200.0,3200.0,82,0,1600.0,1502.2435544964449,40.23186699487269,3151.107724988833,686.0853658536586,2026-08-10 19:30:25,76.0,23.0,0.0,5.0,0.0
17,1786390224,20,,Aggregated,5.5,0.0,1700.0,2000.0,2400.0,2500.0,3100.0,3800.0,4700.0,4800.0,4800.0,4800.0,4800.0,104,0,1600.0,1609.1834116803232,40.23186699487269,4818.61660501454,674.6057692307693,2026-08-10 19:30:27,76.0,23.0,3.0,2.0,0.6
18,1786390225,20,,Aggregated,5.4,0.0,1500.0,1900.0,2300.0,2500.0,3100.0,3800.0,4700.0,4800.0,4800.0,4800.0,4800.0,125,0,1500.0,1479.515943782404,40.23186699487269,4818.61660501454,682.672,2026-08-10 19:30:28,76.0,23.0,15.0,2.0,0.8823529411764706
19,1786390226,20,,Aggregated,6.0,0.0,1100.0,1800.0,2200.0,2400.0,2900.0,3800.0,4700.0,4800.0,4800.0,4800.0,4800.0,150,0,1100.0,1292.4902103507582,40.23186699487269,4818.61660501454,684.2866666666666,2026-08-10 19:30:29,76.0,23.0,19.0,1.0,0.95
20,1786390227,20,,Aggregated,8.0,0.0,860.0,1700.0,1900.0,2300.0,2900.0,3500.0,4400.0,4800.0,4800.0,4800.0,4800.0,170,0,680.0,1147.6299650265205,40.23186699487269,4818.61660501454,678.6823529411764,2026-08-10 19:30:30,76.0,23.0,17.0,2.0,0.8947368421052632
21,1786390228,22,,Aggregated,10.0,0.0,240.0,1400.0,1900.0,2100.0,2700.0,3500.0,4400.0,4800.0,4800.0,4800.0,4800.0,192,0,240.0,1023.5782502210592,40.23186699487269,4818.61660501454,658.9947916666666,2026-08-10 19:30:31,76.0,23.0,20.0,1.0,0.9523809523809524
22,1786390229,24,,Aggregated,11.3,0.0,86.0,1100.0,1800.0,1900.0,2600.0,3200.0,4400.0,4700.0,4800.0,4800.0,4800.0,216,0,85.0,917.667718349818,40.23186699487269,4818.61660501454,642.2962962962963,2026-08-10 19:30:32,76.0,23.0,19.0,3.0,0.8636363636363636
23,1786390230,26,,Aggregated,13.0,0.0,82.0,950.0,1600.0,1900.0,2500.0,3100.0,4400.0,4700.0,4800.0,4800.0,4800.0,242,0,82.0,828.4272009943138,40.23186699487269,4818.61660501454,634.3388429752066,2026-08-10 19:30:33,76.0,23.0,21.0,5.0,0.8076923076923077
24,1786390231,28,,Aggregated,14.7,0.0,81.0,370.0,1300.0,1800.0,2500.0,2900.0,3900.0,4700.0,4800.0,4800.0,4800.0,270,0,81.0,751.7246405063714,40.23186699487269,4818.61660501454,618.1296296296297,2026-08-10 19:30:34,76.0,23.0,23.0,4.0,0.8518518518518519
