timestamp,cacheHits,cacheMiss,total_latency,cacheSize,hits_per_sec,misses_per_sec,requests_per_sec,cache_hit_ratio
1787326675,123,0,0.0,0.0,123.0,0.0,123.0,1.0
1787326676,125,0,0.0,0.0,2.0,0.0,2.0,1.0
1787326677,128,0,0.0,0.0,3.0,0.0,3.0,1.0
1787326678,132,0,0.0,0.0,4.0,0.0,4.0,1.0
1787326679,137,0,0.0,0.0,5.0,0.0,5.0,1.0
1787326680,141,0,0.0,0.0,4.0,0.0,4.0,1.0
1787326681,145,0,0.0,0.0,4.0,0.0,4.0,1.0
1787326682,146,0,0.0,0.0,1.0,0.0,1.0,1.0
1787326683,147,0,0.0,0.0,1.0,0.0,1.0,1.0
1787326684,148,0,0.0,0.0,1.0,0.0,1.0,1.0
1787326685,149,0,0.0,0.0,1.0,0.0,1.0,1.0
1787326686,151,0,0.0,0.0,2.0,0.0,2.0,1.0
1787326687,154,0,0.0,0.0,3.0,0.0,3.0,1.0
1787326688,157,0,0.0,0.0,3.0,0.0,3.0,1.0
1787326689,161,0,0.0,0.0,4.0,0.0,4.0,1.0
1787326690,164,0,0.0,0.0,3.0,0.0,3.0,1.0
1787326691,193,0,0.0,0.0,29.0,0.0,29.0,1.0
1787326692,211,0,0.0,0.0,18.0,0.0,18.0,1.0
1787326693,230,0,0.0,0.0,19.0,0.0,19.0,1.0
1787326694,248,0,0.0,0.0,18.0,0.0,18.0,1.0
1787326695,264,0,0.0,0.0,16.0,0.0,16.0,1.0
1787326696,281,0,0.0,0.0,17.0,0.0,17.0,1.0
1787326697,296,0,0.0,0.0,15.0,0.0,15.0,1.0
1787326698,303,0,0.0,0.0,7.0,0.0,7.0,1.0
1787326699,307,0,0.0,0.0,4.0,0.0,4.0,1.0
1787326700,310,0,0.0,0.0,3.0,0.0,3.0,1.0
1787326701,311,0,0.0,0.0,1.0,0.0,1.0,1.0
1787326702,311,0,0.0,0.0,0.0,0.0,0.0,0.0
1787326703,311,0,0.0,0.0,0.0,0.0,0.0,0.0
1787326704,311,0,0.0,0.0,0.0,0.0,0.0,0.0
1787326705,311,0,0.0,0.0,0.0,0.0,0.0,0.0
1787326706,311,0,0.0,0.0,0.0,0.0,0.0,0.0
1787326707,311,0,0.0,0.0,0.0,0.0,0.0,0.0
1787326708,311,0,0.0,0.0,0.0,0.0,0.0,0.0
1787326709,311,0,0.0,0.0,0.0,0.0,0.0,0.0
1787326710,311,0,0.0,0.0,0.0,0.0,0.0,0.0
1787326711,363,0,0.0,0.0,52.0,0.0,52.0,1.0
1787326712,387,0,0.0,0.0,24.0,0.0,24.0,1.0
1787326713,411,0,0.0,0.0,24.0,0.0,24.0,1.0
1787326714,436,0,0.0,0.0,25.0,0.0,25.0,1.0
1787326715,462,0,0.0,0.0,26.0,0.0,26.0,1.0
1787326716,486,0,0.0,0.0,24.0,0.0,24.0,1.0
1787326717,498,0,0.0,0.0,12.0,0.0,12.0,1.0
1787326718,504,0,0.0,0.0,6.0,0.0,6.0,1.0
1787326719,507,0,0.0,0.0,3.0,0.0,3.0,1.0
1787326720,507,0,0.0,0.0,0.0,0.0,0.0,0.0
