Sample,Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Captured Timestamp,CPU,Memory,Cache Hits,Cache Misses,Cache Size,Cache Hits/s,Cache Misses/s,Cache Requests/s,Cache Hit Ratio,Cache Avg Latency
0,1787153875,0,,Aggregated,0.0,0.0,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,2026-08-19 15:37:58,122.0,35.0,123,0,0.0,123.0,0.0,123.0,1.0,0.0
1,1787153876,2,,Aggregated,0.0,0.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,2,0,63,66.21620900114067,62.983744996017776,69.44867300626356,863.0,2026-08-19 15:37:59,122.0,35.0,125,0,0.0,2.0,0.0,2.0,1.0,0.0
2,1787153877,4,,Aggregated,0.0,0.0,85.0,89.0,89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5,0,85,81.33484360296279,62.983744996017776,100.11003199906554,863.0,2026-08-19 15:38:00,122.0,35.0,128,0,0.0,3.0,0.0,3.0,1.0,0.0
3,1787153878,6,,Aggregated,0.0,0.0,97.0,100.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,9,0,97,93.516910668566,62.983744996017776,113.1019160093274,863.0,2026-08-19 15:38:01,122.0,35.0,132,0,0.0,4.0,0.0,4.0,1.0,0.0
4,1787153879,8,,Aggregated,1.0,0.0,100.0,110.0,110.0,110.0,110.0,120.0,120.0,120.0,120.0,120.0,120.0,14,0,100,98.5363282878617,62.983744996017776,115.49041100079194,863.0,2026-08-19 15:38:02,122.0,35.0,137,0,0.0,5.0,0.0,5.0,1.0,0.0
5,1787153880,10,,Aggregated,1.666667,0.0,99.0,100.0,110.0,110.0,110.0,120.0,120.0,120.0,120.0,120.0,120.0,18,0,98,97.28338905875312,62.983744996017776,115.49041100079194,863.0,2026-08-19 15:38:03,122.0,35.0,141,0,0.0,4.0,0.0,4.0,1.0,0.0
6,1787153881,10,,Aggregated,2.25,0.0,100.0,100.0,100.0,110.0,110.0,110.0,120.0,120.0,120.0,120.0,120.0,22,0,99,97.68144954895516,62.983744996017776,115.49041100079194,863.0,2026-08-19 15:38:04,122.0,35.0,145,0,0.0,4.0,0.0,4.0,1.0,0.0
7,1787153882,10,,Aggregated,2.8,0.0,99.0,100.0,100.0,110.0,110.0,110.0,120.0,120.0,120.0,120.0,120.0,23,0,99,96.33390061208048,62.983744996017776,115.49041100079194,863.0,2026-08-19 15:38:05,122.0,35.0,146,0,0.0,1.0,0.0,1.0,1.0,0.0
8,1787153883,10,,Aggregated,3.0,0.0,99.0,100.0,100.0,110.0,110.0,110.0,120.0,120.0,120.0,120.0,120.0,24,0,98,94.58248925329826,54.30002800130751,115.49041100079194,863.0,2026-08-19 15:38:06,122.0,35.0,147,0,0.0,1.0,0.0,1.0,1.0,0.0
9,1787153884,10,,Aggregated,3.142857,0.0,98.0,100.0,100.0,110.0,110.0,110.0,120.0,120.0,120.0,120.0,120.0,25,0,98,92.86466720281167,51.63693799113389,115.49041100079194,863.0,2026-08-19 15:38:07,122.0,35.0,148,0,0.0,1.0,0.0,1.0,1.0,0.0
10,1787153885,10,,Aggregated,2.875,0.0,98.0,100.0,100.0,100.0,110.0,110.0,120.0,120.0,120.0,120.0,120.0,26,0,97,91.37728657963004,51.63693799113389,115.49041100079194,863.0,2026-08-19 15:38:08,311.0,36.0,149,0,0.0,1.0,0.0,1.0,1.0,0.0
11,1787153886,12,,Aggregated,2.666667,0.0,97.0,100.0,100.0,100.0,110.0,110.0,120.0,120.0,120.0,120.0,120.0,28,0,97,90.45939221687148,51.63693799113389,115.49041100079194,863.0,2026-08-19 15:38:10,311.0,36.0,151,0,0.0,2.0,0.0,2.0,1.0,0.0
