,User Count,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,CPU,Memory,Cache Hits,Cache Misses,Cache Size,Cache Hits/s,Cache Misses/s,Cache Requests/s,Cache Hit Ratio,Cache Avg Latency
User Count,1.0,0.7323741024939322,,-0.8067646230575083,-0.5487242170842774,-0.061873270112436034,-0.0028779294174368667,0.3072312601901488,0.5972094814906769,0.8621141894728896,0.8577672145517077,0.8809266026651441,0.8809266026651441,0.8809266026651441,0.9105495643342126,,-0.49275364257563187,0.6613730126485969,-0.5182300660272392,0.8797284487428771,-0.2846167235531108,0.8970132092923431,0.9257813355683454,0.9179834211445855,,,-0.1846185262920919,,-0.1846185262920919,-0.5493926586179773,
Requests/s,0.7323741024939322,1.0,,-0.7696028876651789,-0.6971866811240629,-0.4200033571064861,-0.1470848360063853,-0.3662140723484128,0.04377459547162119,0.5332261345141266,0.5435538971455888,0.6247027947405599,0.6247027947405599,0.6247027947405599,0.5719734637822143,,-0.569681040063597,0.10235086270559561,-0.4238925390253384,0.6356155131979471,-0.26155552758324724,0.7085028538038564,0.7122992867588496,0.5861299376932844,,,-0.34660889012077084,,-0.34660889012077084,-0.7580335616631756,
Failures/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50%,-0.8067646230575083,-0.7696028876651789,,1.0,0.8903195277120136,0.5058878994017467,0.19462768059010008,-0.07687136510112498,-0.4951252896829964,-0.8007700101696764,-0.8127277904505137,-0.8491490261762619,-0.8491490261762619,-0.8491490261762619,-0.8508222858719828,,0.9982576415472459,-0.47229258387475553,0.7907973568453291,-0.8488750597982627,0.8930992376329647,-0.7541217083338457,-0.7647578045252158,-0.8544016237022363,,,-0.05568698473837485,,-0.05568698473837485,0.524627384341036,
66%,-0.5487242170842774,-0.6971866811240629,,0.8903195277120136,1.0,0.7758587298570166,0.2104919029945546,0.13173818916427668,-0.25329231509507355,-0.560810211070181,-0.575472385560925,-0.6211995901135249,-0.6211995901135249,-0.6211995901135249,-0.5919332124751112,,0.9013209477890892,-0.21789126327089384,0.557028321490541,-0.6204184764339098,0.6556589668972324,-0.555476111424298,-0.5565245992970888,-0.5954803204315053,,,0.12277679653283492,,0.12277679653283492,0.48735417557095867,
75%,-0.061873270112436034,-0.4200033571064861,,0.5058878994017467,0.7758587298570166,1.0,0.4817893871593657,0.47620603596003425,0.24151687096260652,0.0026677538288974244,-0.013135301939337362,-0.06864631372126655,-0.06864631372126655,-0.06864631372126655,-0.10817220343774567,,0.523287204487888,0.3051118504802597,0.0586439801234206,-0.06760653223791974,0.12688178027005825,-0.1615747496658103,-0.14879755517825557,-0.11254157693163563,,,0.4460793671412718,,0.4460793671412718,0.29359843284550713,
80%,-0.0028779294174368667,-0.1470848360063853,,0.19462768059010008,0.2104919029945546,0.4817893871593657,1.0,0.388112848475871,0.26780572265639846,0.17740550950230205,0.1690553273310065,0.13374478203488993,0.13374478203488993,0.13374478203488993,-0.07226134793668725,,0.19181619783350665,0.34972094008114135,-0.12453751905610042,0.13355798939087846,-0.012766628986692008,-0.09119823064204499,-0.0691287635896631,-0.07639328349006567,,,0.36266825665742297,,0.36266825665742297,0.10727191289200344,
90%,0.3072312601901488,-0.3662140723484128,,-0.07687136510112498,0.13173818916427668,0.47620603596003425,0.388112848475871,1.0,0.8099749184944103,0.5071927992443531,0.48474891385554975,0.40069680215999576,0.40069680215999576,0.40069680215999576,0.4982215035822286,,-0.08458090305994538,0.8644780366727288,-0.34508758742381507,0.4036999314044103,-0.4083824988705165,0.2786876484406449,0.28889504085800244,0.4851488785976862,,,0.8683916256972102,,0.8683916256972102,0.25186321765090214,
95%,0.5972094814906769,0.04377459547162119,,-0.4951252896829964,-0.25329231509507355,0.24151687096260652,0.26780572265639846,0.8099749184944103,1.0,0.859607955040374,0.8535996860024169,0.7978170572084173,0.7978170572084173,0.7978170572084173,0.7377855739036309,,-0.5004509680237978,0.9699978743005829,-0.7346385996725658,0.7994320353449283,-0.7845439250790798,0.44090141209467293,0.4773488942225469,0.7286391687927881,,,0.8227510385340616,,0.8227510385340616,0.030276911738514104,
98%,0.8621141894728896,0.5332261345141266,,-0.8007700101696764,-0.560810211070181,0.0026677538288974244,0.17740550950230205,0.5071927992443531,0.859607955040374,1.0,0.9986277011685122,0.992225287565418,0.992225287565418,0.992225287565418,0.8919305269178381,,-0.7982806554444395,0.8637819433986651,-0.9328873905489995,0.9925797300584758,-0.9756491961537923,0.7220780605845065,0.7523042476449021,0.8916095525203197,,,0.49401549925607674,,0.49401549925607674,-0.355845403730005,
99%,0.8577672145517077,0.5435538971455888,,-0.8127277904505137,-0.575472385560925,-0.013135301939337362,0.1690553273310065,0.48474891385554975,0.8535996860024169,0.9986277011685122,1.0,0.9943443313972319,0.9943443313972319,0.9943443313972319,0.8882875975864198,,-0.8098864140849997,0.8511956250090198,-0.9358191627278677,0.9946169878545768,-0.9780584826863595,0.704767005428642,0.7369960667593627,0.8880678656337093,,,0.487960620585524,,0.487960620585524,-0.34897527753637075,
99.9%,0.8809266026651441,0.6247027947405599,,-0.8491490261762619,-0.6211995901135249,-0.06864631372126655,0.13374478203488993,0.40069680215999576,0.7978170572084173,0.992225287565418,0.9943443313972319,1.0,1.0,1.0,0.8876604535479444,,-0.8447545888133313,0.7974346939467308,-0.9443829730139216,0.9999927836414115,-0.9837945015287562,0.7397006760910061,0.7694023224640182,0.8892997198654727,,,0.4036650223001186,,0.4036650223001186,-0.41927607674143474,
99.99%,0.8809266026651441,0.6247027947405599,,-0.8491490261762619,-0.6211995901135249,-0.06864631372126655,0.13374478203488993,0.40069680215999576,0.7978170572084173,0.992225287565418,0.9943443313972319,1.0,1.0,1.0,0.8876604535479444,,-0.8447545888133313,0.7974346939467308,-0.9443829730139216,0.9999927836414115,-0.9837945015287562,0.7397006760910061,0.7694023224640182,0.8892997198654727,,,0.4036650223001186,,0.4036650223001186,-0.41927607674143474,
100%,0.8809266026651441,0.6247027947405599,,-0.8491490261762619,-0.6211995901135249,-0.06864631372126655,0.13374478203488993,0.40069680215999576,0.7978170572084173,0.992225287565418,0.9943443313972319,1.0,1.0,1.0,0.8876604535479444,,-0.8447545888133313,0.7974346939467308,-0.9443829730139216,0.9999927836414115,-0.9837945015287562,0.7397006760910061,0.7694023224640182,0.8892997198654727,,,0.4036650223001186,,0.4036650223001186,-0.41927607674143474,
Total Request Count,0.9105495643342126,0.5719734637822143,,-0.8508222858719828,-0.5919332124751112,-0.10817220343774567,-0.07226134793668725,0.4982215035822286,0.7377855739036309,0.8919305269178381,0.8882875975864198,0.8876604535479444,0.8876604535479444,0.8876604535479444,1.0,,-0.6277084930454945,0.7728014651441427,-0.5713196034201078,0.8934379885038775,-0.43546924689374955,0.8647508600275539,0.8758236980107521,0.9997504290249158,,,0.02317416669408719,,0.02317416669408719,-0.40326460393581043,
Total Failure Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Median Response Time,-0.49275364257563187,-0.569681040063597,,0.9982576415472459,0.9013209477890892,0.523287204487888,0.19181619783350665,-0.08458090305994538,-0.5004509680237978,-0.7982806554444395,-0.8098864140849997,-0.8447545888133313,-0.8447545888133313,-0.8447545888133313,-0.6277084930454945,,1.0,-0.3269923607021311,0.8360050078929072,-0.6341892835962012,0.8646499680937167,-0.5570830758257169,-0.5517243850043962,-0.6275582481304198,,,-0.4359840856761637,,-0.4359840856761637,0.406761666537932,
