Sample,Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Captured Timestamp,CPU,Memory,Cache Hits,Cache Misses,Cache Size,Cache Hits/s,Cache Misses/s,Cache Requests/s,Cache Hit Ratio,Cache Avg Latency
0,1787104178,0,,Aggregated,0.0,0.0,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,2026-08-19 01:49:41,122.0,12.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1787104179,2,,Aggregated,0.0,0.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,2,0,400,472.9951499903109,399.0981000242755,546.8921999563463,830.0,2026-08-19 01:49:42,122.0,12.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,1787104180,6,,Aggregated,0.0,0.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,2,0,400,472.9951499903109,399.0981000242755,546.8921999563463,830.0,2026-08-19 01:49:43,122.0,12.0,0,2,0.0,0.0,2.0,2.0,0.0,0.0
3,1787104181,8,,Aggregated,2.0,0.0,1100.0,1100.0,1200.0,1200.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,8,0,890,903.9939999929628,399.0981000242755,1462.5017999787815,828.75,2026-08-19 01:49:44,122.0,12.0,0,6,0.0,0.0,4.0,4.0,0.0,0.0
4,1787104182,10,,Aggregated,1.0,0.0,1100.0,1200.0,1200.0,1300.0,1500.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,13,0,1100,940.1552846180632,61.14629999501631,1673.4709000447765,765.9230769230769,2026-08-19 01:49:45,122.0,12.0,0,12,0.0,0.0,6.0,6.0,0.0,0.0
5,1787104183,10,,Aggregated,2.0,0.0,1100.0,1300.0,1500.0,1700.0,1900.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,17,0,1100,1154.204011764651,61.14629999501631,2829.2899999651127,732.5882352941177,2026-08-19 01:49:47,122.0,12.0,0,16,0.0,0.0,4.0,4.0,0.0,0.0
6,1787104184,10,,Aggregated,2.5,0.0,1200.0,1500.0,1700.0,1900.0,2800.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,20,0,1200,1305.8750999975018,61.14629999501631,2867.572899966035,746.95,2026-08-19 01:49:48,122.0,12.0,0,21,0.0,0.0,5.0,5.0,0.0,0.0
7,1787104185,10,,Aggregated,2.6,0.0,1400.0,1700.0,2000.0,2200.0,2200.0,2800.0,2900.0,2900.0,2900.0,2900.0,2900.0,26,0,1300,1401.421973072082,61.14629999501631,2867.572899966035,734.4615384615385,2026-08-19 01:49:49,122.0,12.0,0,25,0.0,0.0,4.0,4.0,0.0,0.0
8,1787104186,10,,Aggregated,3.0,0.0,1500.0,1900.0,2200.0,2200.0,2400.0,2800.0,2900.0,2900.0,2900.0,2900.0,2900.0,31,0,1500,1485.988816124342,61.14629999501631,2867.572899966035,749.8709677419355,2026-08-19 01:49:50,122.0,12.0,0,30,0.0,0.0,5.0,5.0,0.0,0.0
9,1787104187,10,,Aggregated,3.428571,0.0,1700.0,2000.0,2200.0,2200.0,2400.0,2800.0,2900.0,2900.0,2900.0,2900.0,2900.0,34,0,1700,1549.5647499936988,61.14629999501631,2867.572899966035,756.9411764705883,2026-08-19 01:49:51,122.0,12.0,0,32,0.0,0.0,2.0,2.0,0.0,0.0
10,1787104188,10,,Aggregated,3.375,0.0,1700.0,2100.0,2200.0,2200.0,2700.0,2900.0,4400.0,4400.0,4400.0,4400.0,4400.0,37,0,1700,1665.2944810748277,61.14629999501631,4369.8679999797605,762.8648648648649,2026-08-19 01:49:52,122.0,12.0,0,39,0.0,0.0,7.0,7.0,0.0,0.0
11,1787104189,12,,Aggregated,3.666667,0.0,1900.0,2200.0,2300.0,2400.0,2800.0,2900.0,4400.0,4400.0,4400.0,4400.0,4400.0,43,0,1900,1753.3923790635822,61.14629999501631,4369.8679999797605,756.9069767441861,2026-08-19 01:49:53,122.0,12.0,0,42,0.0,0.0,3.0,3.0,0.0,0.0
12,1787104190,14,,Aggregated,3.5,0.0,1900.0,2200.0,2400.0,2400.0,2900.0,3300.0,4400.0,4400.0,4400.0,4400.0,4400.0,48,0,1900,1760.3052708291216,61.14629999501631,4369.8679999797605,737.0625,2026-08-19 01:49:54,128.0,17.0,0,46,0.0,0.0,4.0,4.0,0.0,0.0
13,1787104191,18,,Aggregated,3.7,0.0,1700.0,2100.0,2300.0,2400.0,2800.0,3100.0,3400.0,4400.0,4400.0,4400.0,4400.0,65,0,1700,1624.240644614642,54.49929996393621,4369.8679999797605,686.9692307692308,2026-08-19 01:49:55,128.0,17.0,0,53,0.0,0.0,7.0,7.0,0.0,0.0
14,1787104192,20,,Aggregated,4.5,0.0,1400.0,1900.0,2200.0,2300.0,2800.0,3100.0,3800.0,4400.0,4400.0,4400.0,4400.0,90,0,1300,1398.8389277766046,42.92100004386157,4369.8679999797605,705.4888888888889,2026-08-19 01:49:56,128.0,17.0,1,56,0.0,1.0,3.0,4.0,0.25,0.0
15,1787104193,20,,Aggregated,4.4,0.0,960.0,1700.0,2000.0,2200.0,2700.0,2900.0,3400.0,3800.0,4400.0,4400.0,4400.0,112,0,910,1145.0912732117492,42.30829997686669,4369.8679999797605,702.8303571428571,2026-08-19 01:49:57,128.0,17.0,7,60,0.0,6.0,4.0,10.0,0.6,0.0
16,1787104194,20,,Aggregated,5.6,0.0,620.0,1400.0,1900.0,2100.0,2500.0,2900.0,3400.0,3800.0,4400.0,4400.0,4400.0,127,0,620,1019.0910598406144,42.30829997686669,4369.8679999797605,711.0551181102362,2026-08-19 01:49:58,128.0,17.0,27,62,0.0,20.0,2.0,22.0,0.9090909090909092,0.0
17,1787104195,20,,Aggregated,8.5,0.0,200.0,1100.0,1700.0,1900.0,2400.0,2800.0,3300.0,3800.0,4400.0,4400.0,4400.0,152,0,200,873.3241585505311,42.30829997686669,4369.8679999797605,726.1644736842105,2026-08-19 01:49:59,128.0,17.0,45,63,0.0,18.0,1.0,19.0,0.9473684210526316,0.0
18,1787104196,20,,Aggregated,10.0,0.0,160.0,890.0,1500.0,1800.0,2300.0,2800.0,3300.0,3800.0,4400.0,4400.0,4400.0,171,0,160,787.1059649106529,42.30829997686669,4369.8679999797605,710.2514619883041,2026-08-19 01:50:00,128.0,17.0,64,63,0.0,19.0,0.0,19.0,1.0,0.0
19,1787104197,20,,Aggregated,11.4,0.0,120.0,590.0,1200.0,1700.0,2200.0,2800.0,3300.0,3800.0,4400.0,4400.0,4400.0,193,0,120,707.7220062175742,42.30829997686669,4369.8679999797605,700.9222797927462,2026-08-19 01:50:01,128.0,17.0,84,63,0.0,20.0,0.0,20.0,1.0,0.0
20,1787104198,20,,Aggregated,13.1,0.0,110.0,250.0,1000.0,1500.0,2200.0,2800.0,3100.0,3400.0,4400.0,4400.0,4400.0,213,0,110,650.3724295770566,42.30829997686669,4369.8679999797605,687.8262910798122,2026-08-19 01:50:03,128.0,17.0,97,67,0.0,13.0,4.0,17.0,0.7647058823529411,0.0
21,1787104199,22,,Aggregated,14.5,0.0,100.0,200.0,890.0,1200.0,2200.0,2700.0,3100.0,3400.0,4400.0,4400.0,4400.0,233,0,100,601.5145660944127,42.30829997686669,4369.8679999797605,672.5922746781116,2026-08-19 01:50:04,128.0,17.0,115,67,0.0,18.0,0.0,18.0,1.0,0.0
22,1787104200,26,,Aggregated,16.3,0.0,100.0,200.0,620.0,1100.0,2100.0,2500.0,2900.0,3400.0,4400.0,4400.0,4400.0,257,0,100,555.6366661480167,42.30829997686669,4369.8679999797605,661.5836575875486,2026-08-19 01:50:05,128.0,17.0,131,69,0.0,16.0,2.0,18.0,0.8888888888888888,0.0
23,1787104201,28,,Aggregated,18.1,0.0,100.0,170.0,340.0,910.0,2000.0,2400.0,2900.0,3400.0,4400.0,4400.0,4400.0,283,0,100,516.0253572441446,42.30829997686669,4369.8679999797605,646.5335689045936,2026-08-19 01:50:06,128.0,17.0,146,73,0.0,15.0,4.0,19.0,0.7894736842105263,0.0
24,1787104202,30,,Aggregated,19.7,0.0,100.0,160.0,270.0,760.0,1900.0,2400.0,2900.0,3300.0,4400.0,4400.0,4400.0,314,0,100,477.63120637006114,42.30829997686669,4369.8679999797605,644.9076433121019,2026-08-19 01:50:07,128.0,17.0,168,75,0.0,22.0,2.0,24.0,0.9166666666666666,0.0
25,1787104203,30,,Aggregated,22.0,0.0,100.0,160.0,250.0,410.0,1800.0,2300.0,2900.0,3300.0,4400.0,4400.0,4400.0,344,0,100,449.03718721024086,42.30829997686669,4369.8679999797605,631.3837209302326,2026-08-19 01:50:08,128.0,17.0,188,81,0.0,20.0,6.0,26.0,0.7692307692307693,0.0
