,User Count,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,CPU,Memory,Cache Hits,Cache Misses,Cache Size,Cache Hits/s,Cache Misses/s,Cache Requests/s,Cache Hit Ratio,Cache Avg Latency
User Count,1.0,0.9161948593278164,0.041921192201740856,-0.6065613682720995,-0.5984474247067537,-0.4726126117725289,-0.4262829687809483,-0.46359874155114,-0.4791977312718902,-0.45970145707535764,-0.4122532414055577,-0.046210563002936314,0.5219141451368454,0.7574624580500947,0.4726248231456368,0.808223962338726,-0.5380482410154762,-0.5516863745965553,-0.4044375592021321,0.7775223066096658,-0.8352000162752519,0.7023293246270884,0.7784302120412321,0.45892500031354966,0.6581278958380831,,0.6771876328192828,-0.30409139791455253,0.6357677868402021,0.5683029071213463,-0.7689725853364844
Requests/s,0.9161948593278164,1.0,0.05770504626302027,-0.6689646579175121,-0.7111929982881164,-0.6814863740119703,-0.6763650726977607,-0.7436282216509172,-0.7592229571062484,-0.6846894301509724,-0.554183763165997,-0.035331976366572246,0.6289964473247774,0.6429270761666067,0.2346284842988861,0.6931976434576379,-0.619790467834058,-0.768214106220542,-0.33029180131751806,0.6577706321612332,-0.7980791574182358,0.572908089984674,0.6445101356290964,0.21758692314684866,0.4950512531889954,,0.7175552270166706,-0.226611135724658,0.6907197482638399,0.5292044313881946,-0.7824542789118932
Failures/s,0.041921192201740856,0.05770504626302027,1.0,-0.25954476403228666,-0.2878675352256079,-0.2733188575682247,-0.2763835076948487,-0.16458321832232137,0.02682286394215725,0.30185146999825474,0.399587254282564,0.3830584309800184,0.14129519178266983,0.06927590643741172,-0.3563264021692081,-0.22966725019834558,-0.2593088034361335,-0.1973757726217766,-0.034471328240632315,0.07182770824157923,0.177079782403639,-0.348610536674147,-0.26514611747417205,-0.3552326636556582,-0.37357106069243595,,0.005414618932509813,0.34192800307760823,0.06650664429563488,0.029945292558155336,-0.010437699369143605
50%,-0.6065613682720995,-0.6689646579175121,-0.25954476403228666,1.0,0.9180828346666557,0.7680664224672277,0.7085239127535384,0.619860117422512,0.508731165847578,0.32026291930749684,0.14899324189607252,-0.3785391781863861,-0.632630224785828,-0.5455688501400279,0.1415827757952787,-0.21386423331383742,0.9971827790851228,0.8534866440451557,0.1484277878944545,-0.5511040411274358,0.4065023200049424,-0.09993354409480903,-0.2378136681332245,0.15293995457479223,-0.03424258494679084,,-0.5262647631181231,0.1437580119239079,-0.5113650310131195,-0.54181691528946,0.6640546980025419
66%,-0.5984474247067537,-0.7111929982881164,-0.2878675352256079,0.9180828346666557,1.0,0.8966567192396441,0.8417405832663593,0.7541819326997539,0.6339562121868677,0.4358987964211227,0.2521716811269407,-0.2826446529349091,-0.5650651280819521,-0.41131610454645934,0.1990957972379593,-0.20514648961239457,0.9197485765462917,0.9269517673415443,0.07966932076225906,-0.4159619513668197,0.4036161146842995,-0.08336035820630894,-0.21620939383782156,0.2113018735229349,0.0028143385699085045,,-0.5272609258155718,0.06711650323212835,-0.5262228306827019,-0.4479460025262227,0.7233994380213702
75%,-0.4726126117725289,-0.6814863740119703,-0.2733188575682247,0.7680664224672277,0.8966567192396441,1.0,0.9512937198511561,0.8360941212198726,0.7243159694040465,0.523284213838157,0.32562905594944397,-0.25128898168219227,-0.5397243074815434,-0.2785980224893447,0.3299933582590971,-0.1032835520521058,0.7712513117945393,0.9316418227140015,0.03211726394572347,-0.28227736483928684,0.309930883293736,0.0014752263442720731,-0.09637434725138845,0.3430131821568285,0.10334940739273041,,-0.486468596883273,-0.04317843937702993,-0.5044912650685798,-0.3295597843143896,0.5886623904630885
80%,-0.4262829687809483,-0.6763650726977607,-0.2763835076948487,0.7085239127535384,0.8417405832663593,0.9512937198511561,1.0,0.902514369410108,0.7861835278631258,0.5779033951835335,0.3540179057134575,-0.23496140698399928,-0.5459385041356151,-0.21941653524109828,0.3956408427049952,-0.05268162895727784,0.7139314473003444,0.9350508723517822,0.010415093917890523,-0.22254726166455868,0.2744938059152015,0.04926212339763786,-0.03149610348784947,0.409089329836993,0.1561092843891678,,-0.47690007814246577,-0.10088893851831562,-0.5051435714351109,-0.2802581880505272,0.539738021067213
90%,-0.46359874155114,-0.7436282216509172,-0.16458321832232137,0.619860117422512,0.7541819326997539,0.8360941212198726,0.902514369410108,1.0,0.9363010986075666,0.7347901386356029,0.4904429744118488,-0.07043351424450923,-0.5208227986218578,-0.1495449302384349,0.3538325389124614,-0.14294147062843365,0.6269239673014789,0.91864468065544,-0.023358758084086977,-0.15248400355295882,0.36882904340788686,-0.01571234855057384,-0.05986540692503965,0.368703745099271,0.09007112915388081,,-0.5088548257139378,-0.10488917225295202,-0.5384923775546969,-0.25347553817116797,0.5858520167992809
95%,-0.4791977312718902,-0.7592229571062484,0.02682286394215725,0.508731165847578,0.6339562121868677,0.7243159694040465,0.7861835278631258,0.9363010986075666,1.0,0.8705292869400483,0.6444935805020802,0.14022606260925213,-0.440432751544502,-0.10745597879828132,0.20410827254053238,-0.30779739543581863,0.5155553069574166,0.8433207877116448,-0.045016875661779324,-0.1102392287863602,0.4860954610141207,-0.1702281311075686,-0.19143296258727946,0.21978508861868828,-0.07208592986359852,,-0.5133792153486916,0.020335402863105857,-0.5204975451233764,-0.24705136876330408,0.6271014334557814
98%,-0.45970145707535764,-0.6846894301509724,0.30185146999825474,0.32026291930749684,0.4358987964211227,0.523284213838157,0.5779033951835335,0.7347901386356029,0.8705292869400483,1.0,0.8941703435986091,0.43839735302506444,-0.26313961426100235,-0.0542548005379914,-0.1277699359569421,-0.5099778077352118,0.3259114545778332,0.6575654811441888,-0.07879756066098506,-0.05733918839435398,0.5978684316517531,-0.4435060931789113,-0.4085351991839664,-0.1128237268308415,-0.3819401137443188,,-0.477775364392998,0.28199619922515484,-0.4368919852955504,-0.22021362347390594,0.6418795480417702
99%,-0.4122532414055577,-0.554183763165997,0.399587254282564,0.14899324189607252,0.2521716811269407,0.32562905594944397,0.3540179057134575,0.4904429744118488,0.6444935805020802,0.8941703435986091,1.0,0.6721971943929913,-0.030632518488086697,0.025442659778396652,-0.43051881649237334,-0.5953298210746089,0.15434132599054043,0.4366212991869509,-0.12736963018358857,0.02231496144747584,0.6211620627303612,-0.6548012542316483,-0.594949707876783,-0.419408339872566,-0.6062507147701085,,-0.3991686113907045,0.46399048579016533,-0.32376663064902333,-0.1657144516276236,0.6220101610658739
99.9%,-0.046210563002936314,-0.035331976366572246,0.3830584309800184,-0.3785391781863861,-0.2826446529349091,-0.25128898168219227,-0.23496140698399928,-0.07043351424450923,0.14022606260925213,0.43839735302506444,0.6721971943929913,1.0,0.6455883525566615,0.446545889784916,-0.629495723023487,-0.5157242974517964,-0.36458141224118934,-0.18673681068904602,-0.37136022180247774,0.4445677122600941,0.3636892203587383,-0.597601692378199,-0.470080945024884,-0.6302998281995974,-0.6004500132908852,,-0.002010321850048871,0.4369330482207926,0.0768532114807654,0.1512161432455033,0.3403647099266675
99.99%,0.5219141451368454,0.6289964473247774,0.14129519178266983,-0.632630224785828,-0.5650651280819521,-0.5397243074815434,-0.5459385041356151,-0.5208227986218578,-0.440432751544502,-0.26313961426100235,-0.030632518488086697,0.6455883525566615,1.0,0.7810121045054782,-0.2605514642052733,0.09198736777149963,-0.6069831370956019,-0.6224597079032582,-0.5439223496772755,0.7805496080171781,-0.31761120102068785,0.0060928312463853765,0.12161454697508074,-0.2737110752527947,-0.041375322261648334,,0.46144621760739674,0.08396189944553052,0.48630803077873,0.44186923439668707,-0.20337211936892824
100%,0.7574624580500947,0.6429270761666067,0.06927590643741172,-0.5455688501400279,-0.41131610454645934,-0.2785980224893447,-0.21941653524109828,-0.1495449302384349,-0.10745597879828132,-0.0542548005379914,0.025442659778396652,0.446545889784916,0.7810121045054782,1.0,0.27573019363870244,0.4845603527102485,-0.5069621679080947,-0.36487149756802173,-0.6808047659799108,0.9998514511082361,-0.6089213281335875,0.4246470043025542,0.5331050734529346,0.26554892989053763,0.413907709766572,,0.49554942583359235,-0.22246126482055817,0.46579105969220236,0.5526084288440367,-0.3405948978694467
Total Request Count,0.4726248231456368,0.2346284842988861,-0.3563264021692081,0.1415827757952787,0.1990957972379593,0.3299933582590971,0.3956408427049952,0.3538325389124614,0.20410827254053238,-0.1277699359569421,-0.43051881649237334,-0.629495723023487,-0.2605514642052733,0.27573019363870244,1.0,0.8001678626477855,0.16390556000189066,0.25206717719123456,-0.13711303662630844,0.2850360453292052,-0.6420950286035791,0.915288226160142,0.8643658207181115,0.9998228938980267,0.9504273208060309,,0.1995660578579728,-0.6405611399313236,0.08908777256857123,0.20260387830215826,-0.40255234483375796
Total Failure Count,0.808223962338726,0.6931976434576379,-0.22966725019834558,-0.21386423331383742,-0.20514648961239457,-0.1032835520521058,-0.05268162895727784,-0.14294147062843365,-0.30779739543581863,-0.5099778077352118,-0.5953298210746089,-0.5157242974517964,0.09198736777149963,0.4845603527102485,0.8001678626477855,1.0,-0.18040704948845437,-0.2215797725374989,-0.2384652326626705,0.49688863271780365,-0.9056014448671807,0.9225632021516879,0.9152661623527574,0.7904241473085833,0.9177870280763217,,0.5051366775039993,-0.5642318473636486,0.4140583857848413,0.4015499488900795,-0.7192328755234191
Total Median Response Time,-0.5380482410154762,-0.619790467834058,-0.2593088034361335,0.9971827790851228,0.9197485765462917,0.7712513117945393,0.7139314473003444,0.6269239673014789,0.5155553069574166,0.3259114545778332,0.15434132599054043,-0.36458141224118934,-0.6069831370956019,-0.5069621679080947,0.16390556000189066,-0.18040704948845437,1.0,0.8580397510884871,0.13265901598024243,-0.4238583313916317,0.3902399278251161,-0.07007564090100572,-0.19886684393365112,0.17473458648626664,-0.004169961988363276,,-0.49501349556055235,0.14314619395223852,-0.4788523691258636,-0.5072585077019187,0.6649551152538908
Total Average Response Time,-0.5516863745965553,-0.768214106220542,-0.1973757726217766,0.8534866440451557,0.9269517673415443,0.9316418227140015,0.9350508723517822,0.91864468065544,0.8433207877116448,0.6575654811441888,0.4366212991869509,-0.18673681068904602,-0.6224597079032582,-0.36487149756802173,0.25206717719123456,-0.2215797725374989,0.8580397510884871,1.0,0.07888755121422407,-0.28527086882147784,0.47121511443565334,-0.0989194008020997,-0.18596084072217817,0.26702921558547504,2.898685704838556e-05,,-0.5633604281368028,0.05286400250330375,-0.5645968575920122,-0.40194914280738037,0.7149221590777818
Total Min Response Time,-0.4044375592021321,-0.33029180131751806,-0.034471328240632315,0.1484277878944545,0.07966932076225906,0.03211726394572347,0.010415093917890523,-0.023358758084086977,-0.045016875661779324,-0.07879756066098506,-0.12736963018358857,-0.37136022180247774,-0.5439223496772755,-0.6808047659799108,-0.13711303662630844,-0.2384652326626705,0.13265901598024243,0.07888755121422407,1.0,-0.5871320033268255,0.34526515936113517,-0.20994795415427242,-0.27257400771044815,-0.13171596251819567,-0.21123359586938317,,-0.24374854810371735,-0.016272280528521477,-0.2512657658976932,-0.27104613337011085,0.00026024872746217956
Total Max Response Time,0.7775223066096658,0.6577706321612332,0.07182770824157923,-0.5511040411274358,-0.4159619513668197,-0.28227736483928684,-0.22254726166455868,-0.15248400355295882,-0.1102392287863602,-0.05733918839435398,0.02231496144747584,0.4445677122600941,0.7805496080171781,0.9998514511082361,0.2850360453292052,0.49688863271780365,-0.4238583313916317,-0.28527086882147784,-0.5871320033268255,1.0,-0.46912695419584444,0.4367107622246611,0.5483998940521,0.2744557929556039,0.42769641566647726,,0.5078974466920925,-0.1755925009326505,0.48619281380212365,0.5647772679895772,-0.28265293478861125
Total Average Content Size,-0.8352000162752519,-0.7980791574182358,0.177079782403639,0.4065023200049424,0.4036161146842995,0.309930883293736,0.2744938059152015,0.36882904340788686,0.4860954610141207,0.5978684316517531,0.6211620627303612,0.3636892203587383,-0.31761120102068785,-0.6089213281335875,-0.6420950286035791,-0.9056014448671807,0.3902399278251161,0.47121511443565334,0.34526515936113517,-0.46912695419584444,1.0,-0.8390805230655578,-0.8485813271361388,-0.630081912676217,-0.8037070668386666,,-0.5831988838246269,0.5026395064276435,-0.5045846880559033,-0.43724134812278553,0.8174009839376933
