timestamp,CPU,Memory
1787104181,122m,12Mi
1787104182,122m,12Mi
1787104183,122m,12Mi
1787104184,122m,12Mi
1787104185,122m,12Mi
1787104187,122m,12Mi
1787104188,122m,12Mi
1787104189,122m,12Mi
1787104190,122m,12Mi
1787104191,122m,12Mi
1787104192,122m,12Mi
1787104193,122m,12Mi
1787104194,128m,17Mi
1787104195,128m,17Mi
1787104196,128m,17Mi
1787104197,128m,17Mi
1787104198,128m,17Mi
1787104199,128m,17Mi
1787104200,128m,17Mi
1787104201,128m,17Mi
1787104203,128m,17Mi
1787104204,128m,17Mi
1787104205,128m,17Mi
1787104206,128m,17Mi
1787104207,128m,17Mi
1787104208,128m,17Mi
1787104209,162m,17Mi
1787104210,162m,17Mi
1787104211,162m,17Mi
1787104212,162m,17Mi
1787104213,162m,17Mi
1787104214,162m,17Mi
1787104215,162m,17Mi
1787104216,162m,17Mi
1787104218,162m,17Mi
1787104219,162m,17Mi
1787104220,162m,17Mi
1787104221,162m,17Mi
1787104222,162m,17Mi
1787104223,162m,17Mi
1787104224,296m,18Mi
1787104225,296m,18Mi
1787104226,296m,18Mi
1787104227,296m,18Mi
1787104228,296m,18Mi
1787104229,296m,18Mi
1787104230,296m,18Mi
1787104232,296m,18Mi
1787104233,296m,18Mi
1787104234,296m,18Mi
1787104235,296m,18Mi
1787104236,296m,18Mi
1787104237,296m,18Mi
1787104238,296m,18Mi
1787104239,437m,19Mi
1787104240,437m,19Mi
1787104241,437m,19Mi
1787104242,437m,19Mi
1787104243,437m,19Mi
1787104244,437m,19Mi
1787104245,437m,19Mi
1787104247,437m,19Mi
1787104248,437m,19Mi
1787104249,437m,19Mi
1787104250,437m,19Mi
1787104251,437m,19Mi
1787104252,437m,19Mi
1787104253,437m,19Mi
1787104254,429m,19Mi
1787104255,429m,19Mi
1787104256,429m,19Mi
1787104257,429m,19Mi
1787104258,429m,19Mi
1787104259,429m,19Mi
1787104260,429m,19Mi
1787104261,429m,19Mi
1787104263,429m,19Mi
1787104264,429m,19Mi
1787104265,429m,19Mi
1787104266,429m,19Mi
1787104267,429m,19Mi
1787104268,429m,19Mi
1787104269,424m,19Mi
1787104270,424m,19Mi
1787104271,424m,19Mi
1787104272,424m,19Mi
1787104273,424m,19Mi
1787104274,424m,19Mi
1787104275,424m,19Mi
1787104276,424m,19Mi
1787104278,424m,19Mi
1787104279,424m,19Mi
1787104280,424m,19Mi
1787104281,424m,19Mi
1787104282,424m,19Mi
1787104283,424m,19Mi
1787104284,429m,19Mi
1787104285,429m,19Mi
1787104286,429m,19Mi
1787104287,429m,19Mi
1787104288,429m,19Mi
1787104289,429m,19Mi
1787104290,429m,19Mi
1787104291,429m,19Mi
1787104293,429m,19Mi
1787104294,429m,19Mi
1787104295,429m,19Mi
1787104296,429m,19Mi
1787104297,429m,19Mi
1787104298,429m,19Mi
1787104299,436m,19Mi
1787104300,436m,19Mi
1787104301,436m,19Mi
1787104302,436m,19Mi
1787104303,436m,19Mi
1787104304,436m,19Mi
1787104305,436m,19Mi
1787104306,436m,19Mi
1787104308,436m,19Mi
1787104309,436m,19Mi
