timestamp,cacheHits,cacheMiss,total_latency,cacheSize,hits_per_sec,misses_per_sec,requests_per_sec,cache_hit_ratio
1786725037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1786725038,0.0,2.0,302.0,0.0,0.0,2.0,2.0,0.0
1786725039,0.0,6.0,372.0,0.0,0.0,4.0,4.0,0.0
1786725040,0.0,10.0,418.0,0.0,0.0,4.0,4.0,0.0
1786725041,0.0,18.0,474.0,0.0,0.0,8.0,8.0,0.0
1786725042,0.0,25.0,601.0,0.0,0.0,7.0,7.0,0.0
1786725043,0.0,31.0,731.0,0.0,0.0,6.0,6.0,0.0
1786725044,0.0,35.0,900.0,0.0,0.0,4.0,4.0,0.0
1786725045,0.0,39.0,1040.0,0.0,0.0,4.0,4.0,0.0
1786725046,0.0,44.0,1139.0,0.0,0.0,5.0,5.0,0.0
1786725047,0.0,49.0,1143.0,0.0,0.0,5.0,5.0,0.0
1786725048,0.0,57.0,1165.0,0.0,0.0,8.0,8.0,0.0
1786725049,0.0,70.0,1261.0,0.0,0.0,13.0,13.0,0.0
1786725050,0.0,76.0,1289.0,0.0,0.0,6.0,6.0,0.0
1786725051,0.0,78.0,1331.0,0.0,0.0,2.0,2.0,0.0
1786725052,0.0,81.0,1395.0,0.0,0.0,3.0,3.0,0.0
1786725053,0.0,82.0,1436.0,0.0,0.0,1.0,1.0,0.0
1786725054,1.0,93.0,1936.0,0.0,1.0,11.0,12.0,0.08333333333333333
1786725055,1.0,100.0,1956.0,0.0,0.0,7.0,7.0,0.0
1786725056,1.0,105.0,2040.0,0.0,0.0,5.0,5.0,0.0
1786725057,5.0,106.0,1990.0,0.0,4.0,1.0,5.0,0.8
1786725058,15.0,108.0,1830.0,0.0,10.0,2.0,12.0,0.8333333333333334
1786725059,38.0,111.0,1718.0,0.0,23.0,3.0,26.0,0.8846153846153846
1786725060,62.0,121.0,1461.0,0.0,24.0,10.0,34.0,0.7058823529411765
1786725061,97.0,126.0,1214.0,0.0,35.0,5.0,40.0,0.875
1786725062,126.0,134.0,1063.0,0.0,29.0,8.0,37.0,0.7837837837837838
1786725063,161.0,139.0,935.0,0.0,35.0,5.0,40.0,0.875
1786725064,195.0,143.0,843.0,0.0,34.0,4.0,38.0,0.8947368421052632
1786725065,233.0,144.0,762.0,0.0,38.0,1.0,39.0,0.9743589743589743
1786725066,261.0,152.0,705.0,0.0,28.0,8.0,36.0,0.7777777777777778
1786725067,291.0,159.0,656.0,0.0,30.0,7.0,37.0,0.8108108108108109
1786725068,322.0,168.0,614.0,0.0,31.0,9.0,40.0,0.775
1786725069,355.0,176.0,578.0,0.0,33.0,8.0,41.0,0.8048780487804879
1786725070,390.0,183.0,547.0,0.0,35.0,7.0,42.0,0.8333333333333334
1786725071,425.0,190.0,517.0,0.0,35.0,7.0,42.0,0.8333333333333334
1786725072,463.0,196.0,492.0,0.0,38.0,6.0,44.0,0.8636363636363636
1786725073,498.0,207.0,471.0,0.0,35.0,11.0,46.0,0.7608695652173914
1786725074,538.0,214.0,455.0,0.0,40.0,7.0,47.0,0.851063829787234
1786725075,580.0,221.0,438.0,0.0,42.0,7.0,49.0,0.8571428571428571
1786725076,617.0,231.0,422.0,0.0,37.0,10.0,47.0,0.7872340425531915
1786725077,656.0,240.0,410.0,0.0,39.0,9.0,48.0,0.8125
1786725078,698.0,247.0,400.0,0.0,42.0,7.0,49.0,0.8571428571428571
1786725079,745.0,252.0,387.0,0.0,47.0,5.0,52.0,0.9038461538461539
1786725080,789.0,259.0,373.0,0.0,44.0,7.0,51.0,0.8627450980392157
1786725081,838.0,263.0,360.0,0.0,49.0,4.0,53.0,0.9245283018867925
1786725082,886.0,270.0,348.0,0.0,48.0,7.0,55.0,0.8727272727272727
1786725083,938.0,274.0,336.0,0.0,52.0,4.0,56.0,0.9285714285714286
1786725084,988.0,279.0,326.0,0.0,50.0,5.0,55.0,0.9090909090909091
1786725085,1041.0,284.0,316.0,0.0,53.0,5.0,58.0,0.9137931034482759
1786725086,1094.0,290.0,308.0,0.0,53.0,6.0,59.0,0.8983050847457628
1786725087,1147.0,298.0,299.0,0.0,53.0,8.0,61.0,0.8688524590163934
1786725088,1198.0,305.0,293.0,0.0,51.0,7.0,58.0,0.8793103448275862
1786725089,1253.0,309.0,286.0,0.0,55.0,4.0,59.0,0.9322033898305084
1786725090,1303.0,315.0,280.0,0.0,50.0,6.0,56.0,0.8928571428571429
1786725091,1357.0,320.0,273.0,0.0,54.0,5.0,59.0,0.9152542372881356
1786725092,1409.0,326.0,268.0,0.0,52.0,6.0,58.0,0.896551724137931
1786725093,1463.0,330.0,263.0,0.0,54.0,4.0,58.0,0.9310344827586207
1786725094,1516.0,336.0,258.0,0.0,53.0,6.0,59.0,0.8983050847457628
1786725095,1573.0,339.0,254.0,0.0,57.0,3.0,60.0,0.95
1786725096,1624.0,346.0,250.0,0.0,51.0,7.0,58.0,0.8793103448275862
1786725097,1681.0,348.0,246.0,0.0,57.0,2.0,59.0,0.9661016949152542
1786725098,1735.0,354.0,242.0,0.0,54.0,6.0,60.0,0.9
1786725099,1792.0,355.0,239.0,0.0,57.0,1.0,58.0,0.9827586206896551
1786725100,1846.0,359.0,235.0,0.0,54.0,4.0,58.0,0.9310344827586207
1786725101,1903.0,361.0,231.0,0.0,57.0,2.0,59.0,0.9661016949152542
1786725102,1957.0,366.0,228.0,0.0,54.0,5.0,59.0,0.9152542372881356
1786725103,2008.0,373.0,225.0,0.0,51.0,7.0,58.0,0.8793103448275862
1786725104,2063.0,378.0,223.0,0.0,55.0,5.0,60.0,0.9166666666666666
1786725105,2116.0,383.0,221.0,0.0,53.0,5.0,58.0,0.9137931034482759
1786725106,2164.0,391.0,219.0,0.0,48.0,8.0,56.0,0.8571428571428571
1786725107,2218.0,394.0,217.0,0.0,54.0,3.0,57.0,0.9473684210526315
1786725108,2272.0,400.0,215.0,0.0,54.0,6.0,60.0,0.9
1786725109,2327.0,405.0,213.0,0.0,55.0,5.0,60.0,0.9166666666666666
1786725110,2384.0,408.0,211.0,0.0,57.0,3.0,60.0,0.95
1786725111,2439.0,413.0,209.0,0.0,55.0,5.0,60.0,0.9166666666666666
1786725112,2490.0,422.0,207.0,0.0,51.0,9.0,60.0,0.85
1786725113,2546.0,426.0,206.0,0.0,56.0,4.0,60.0,0.9333333333333333
1786725114,2601.0,429.0,204.0,0.0,55.0,3.0,58.0,0.9482758620689655
1786725115,2658.0,432.0,203.0,0.0,57.0,3.0,60.0,0.95
1786725116,2714.0,436.0,201.0,0.0,56.0,4.0,60.0,0.9333333333333333
