,User Count,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,CPU,Memory,Cache Hits,Cache Misses,Cache Size,Cache Hits/s,Cache Misses/s,Cache Requests/s,Cache Hit Ratio,Cache Avg Latency
User Count,1.0,0.9145803994674878,,-0.6570149211318022,-0.687329968706079,-0.6505739149185329,-0.6431261936101568,-0.6060990850702888,-0.5203857644504404,-0.251442973723783,0.01885549133701007,0.5408175689064599,0.6006817787744204,0.6006817787744204,0.34666164949715544,,-0.6200488364049409,-0.6509037751619208,-0.4330485162506055,0.6184453586273082,-0.6723457197365715,0.5809732405173499,0.6289687458859513,0.34210710876720324,0.5364944241696435,0.4386773499787945,0.8975955744884071,0.11615233023363679,0.8822976347118701,0.580455439780403,-0.5877382295432844
Requests/s,0.9145803994674878,1.0,,-0.7173735731487235,-0.7251576734898922,-0.7394237395412852,-0.7575616092474846,-0.7904360497297099,-0.716571724410362,-0.44880747382761077,-0.17592676947306526,0.4925208946047069,0.5996370168381179,0.5996370168381179,0.5371826043714539,,-0.683139182096981,-0.7776614990903967,-0.42166902362135206,0.6083993658141877,-0.8254508083613895,0.735416566105632,0.7546822352793205,0.5275083821621206,0.7100385283617789,0.6455622728416806,0.8254492518639477,-0.042345663216443424,0.7925690458856667,0.6573553972728643,-0.7609052689457428
Failures/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50%,-0.6570149211318022,-0.7173735731487235,,1.0,0.9222088632352043,0.870795967378106,0.8346248924478695,0.669091437905351,0.512747784406099,0.2874245109124081,0.11350609949185332,-0.3332367166975374,-0.3841537984802351,-0.3841537984802351,-0.2997282089672066,,0.9966161705027852,0.9136978006324539,0.1833876632128965,-0.38568611737417485,0.6769063530910192,-0.3985887684804673,-0.5460563593119141,-0.2864712371760025,-0.4269646466226104,-0.38884547680793813,-0.6572856829451755,-0.061801169874535676,-0.6441423816362168,-0.6408121031273853,0.8357021413842469
66%,-0.687329968706079,-0.7251576734898922,,0.9222088632352043,1.0,0.972074098466974,0.9427644471019823,0.7536386002032839,0.5524452505360297,0.27172712427506285,0.08568239092114438,-0.20703397346254637,-0.220084989575061,-0.220084989575061,-0.114344723731839,,0.9236079840922836,0.9380442080542702,0.05480319988967177,-0.22134843761900752,0.5524899112147947,-0.28670765945609406,-0.350077898979017,-0.10264723962580993,-0.26313965820488694,-0.2209589709757464,-0.7079002867156019,-0.23046076285043982,-0.7144853796875197,-0.4629123576966496,0.7842069308422193
75%,-0.6505739149185329,-0.7394237395412852,,0.870795967378106,0.972074098466974,1.0,0.9852023770939379,0.8345933036912663,0.6241406910430396,0.33233724592358527,0.15705118033850252,-0.1489053062841161,-0.16984333562943174,-0.16984333562943174,-0.14291495857055012,,0.8723331606982621,0.9508311170223908,0.014361915598345801,-0.17098198023636768,0.5647567528931995,-0.3027581436542991,-0.3390413496961617,-0.13041032378851442,-0.2870738246768409,-0.25489588380720596,-0.6672450208338798,-0.2208837283315773,-0.673914885924691,-0.4198637963524951,0.8076302974188397
80%,-0.6431261936101568,-0.7575616092474846,,0.8346248924478695,0.9427644471019823,0.9852023770939379,1.0,0.8958181198863714,0.7077533444060596,0.42405874630572976,0.2536252411156936,-0.0828433507355868,-0.12634224491387566,-0.12634224491387566,-0.20630128764961805,,0.8359224118853414,0.9594178567057943,-0.013595215343319084,-0.12762064526662964,0.5895261174307153,-0.36058070747979837,-0.3623597402159941,-0.19494403081816217,-0.34105603900040926,-0.31657493359203137,-0.6542211932872034,-0.1872425279645722,-0.6570493823579003,-0.39197904693929586,0.839431660350334
90%,-0.6060990850702888,-0.7904360497297099,,0.669091437905351,0.7536386002032839,0.8345933036912663,0.8958181198863714,1.0,0.9290322111772967,0.7208972782183599,0.5561114575066213,0.06740410312191039,-0.06239909096090376,-0.06239909096090376,-0.47686017619730725,,0.6690831375296586,0.9054898311251387,-0.08057358591799803,-0.0634511243969998,0.6907160706769321,-0.6096609740965947,-0.48652051055212275,-0.46977378262901265,-0.5729167446850815,-0.5681548539324235,-0.5763046806463998,0.0540772519497823,-0.5510806049973962,-0.369813570560735,0.893659424475179
95%,-0.5203857644504404,-0.716571724410362,,0.512747784406099,0.5524452505360297,0.6241406910430396,0.7077533444060596,0.9290322111772967,1.0,0.8895822688307655,0.7512188329383246,0.1868576306131002,0.0013359546416129619,0.0013359546416129619,-0.6468014716411862,,0.5132518467846287,0.7757664817991516,-0.14758871578244248,0.0002584467389331317,0.6888958540151581,-0.7531789400248419,-0.5393026923719888,-0.6452519731572954,-0.696100354657327,-0.7073965043239541,-0.4622205924182153,0.26445503903049916,-0.4140132984673288,-0.3226506072153985,0.8525681691421686
98%,-0.251442973723783,-0.44880747382761077,,0.2874245109124081,0.27172712427506285,0.33233724592358527,0.42405874630572976,0.7208972782183599,0.8895822688307655,1.0,0.9414971215112207,0.38242401541951265,0.152127355409142,0.152127355409142,-0.7719021264901886,,0.284030299017212,0.5326618648638737,-0.25339763814236227,0.15113791161218823,0.5432640827618789,-0.7834209630585435,-0.5104462445335929,-0.7786298513437923,-0.7245153430592476,-0.7665658625470353,-0.16380014573690757,0.45162752910724707,-0.1014254275626545,-0.17720173463183658,0.7284727728538204
99%,0.01885549133701007,-0.17592676947306526,,0.11350609949185332,0.08568239092114438,0.15705118033850252,0.2536252411156936,0.5561114575066213,0.7512188329383246,0.9414971215112207,1.0,0.5886824129506898,0.3683979602313009,0.3683979602313009,-0.6783333600858026,,0.11188375817022922,0.3459697702082738,-0.4362366491371903,0.36762351231153145,0.3224801965447037,-0.6107414960250074,-0.3226516757075109,-0.688488500926177,-0.5699780306834146,-0.6403346041287837,0.08842595372503893,0.45188321028905076,0.14278839344404026,-0.002209774329384989,0.5759197491425054
99.9%,0.5408175689064599,0.4925208946047069,,-0.3332367166975374,-0.20703397346254637,-0.1489053062841161,-0.0828433507355868,0.06740410312191039,0.1868576306131002,0.38242401541951265,0.5886824129506898,1.0,0.9632368873603676,0.9632368873603676,0.15961356999773782,,-0.32469995078196884,-0.14195578682298743,-0.9017120898972011,0.9630460886524442,-0.5282134713751574,0.2272212193289156,0.5473208787385287,0.14355183800598859,0.31375505032416173,0.22265877435437978,0.47444441180421987,0.027966899973731266,0.4628512505724636,0.6208953113775274,-0.08592140295816876
99.99%,0.6006817787744204,0.5996370168381179,,-0.3841537984802351,-0.220084989575061,-0.16984333562943174,-0.12634224491387566,-0.06239909096090376,0.0013359546416129619,0.152127355409142,0.3683979602313009,0.9632368873603676,1.0,1.0,0.4099823845062314,,-0.3730941468755233,-0.23100877824889088,-0.9145062862703613,0.9999679094626072,-0.7006967538744603,0.45413910904757393,0.7389196904477686,0.3952850039130854,0.5468270708547144,0.4647332976807786,0.49228351013554095,-0.13206303947723774,0.4598706798005991,0.7019948543448792,-0.25334860160338085
