timestamp,CPU,Memory
1786552237,0m,15Mi
1786552238,0m,15Mi
1786552240,0m,15Mi
1786552241,0m,15Mi
1786552242,0m,15Mi
1786552243,0m,15Mi
1786552244,0m,15Mi
1786552245,0m,15Mi
1786552246,0m,15Mi
1786552247,0m,15Mi
1786552248,0m,15Mi
1786552249,0m,15Mi
1786552250,0m,15Mi
1786552251,0m,15Mi
1786552252,0m,15Mi
1786552253,0m,15Mi
1786552254,42m,19Mi
1786552255,42m,19Mi
1786552257,42m,19Mi
1786552258,42m,19Mi
1786552259,42m,19Mi
1786552260,42m,19Mi
1786552261,42m,19Mi
1786552262,42m,19Mi
1786552263,42m,19Mi
1786552264,42m,19Mi
1786552265,42m,19Mi
1786552266,42m,19Mi
1786552267,42m,19Mi
1786552268,42m,19Mi
1786552269,173m,22Mi
1786552270,173m,22Mi
1786552272,173m,22Mi
1786552273,173m,22Mi
1786552274,173m,22Mi
1786552275,173m,22Mi
1786552276,173m,22Mi
1786552277,173m,22Mi
1786552278,173m,22Mi
1786552279,173m,22Mi
1786552280,173m,22Mi
1786552281,173m,22Mi
1786552282,173m,22Mi
1786552283,173m,22Mi
1786552284,494m,23Mi
1786552285,494m,23Mi
1786552287,494m,23Mi
1786552288,494m,23Mi
1786552289,494m,23Mi
1786552290,494m,23Mi
1786552291,494m,23Mi
1786552292,494m,23Mi
1786552293,494m,23Mi
1786552294,494m,23Mi
1786552295,494m,23Mi
1786552296,494m,23Mi
1786552297,494m,23Mi
1786552298,494m,23Mi
1786552299,719m,24Mi
1786552300,719m,24Mi
1786552301,719m,24Mi
1786552303,719m,24Mi
1786552304,719m,24Mi
1786552305,719m,24Mi
1786552306,719m,24Mi
1786552307,719m,24Mi
1786552308,719m,24Mi
1786552309,719m,24Mi
1786552310,719m,24Mi
1786552311,719m,24Mi
1786552312,719m,24Mi
1786552313,719m,24Mi
1786552314,798m,24Mi
1786552315,798m,24Mi
1786552316,798m,24Mi
1786552317,798m,24Mi
1786552319,798m,24Mi
1786552320,798m,24Mi
1786552321,798m,24Mi
1786552322,798m,24Mi
1786552323,798m,24Mi
1786552324,798m,24Mi
1786552325,798m,24Mi
1786552326,798m,24Mi
1786552327,798m,24Mi
1786552328,798m,24Mi
1786552329,876m,25Mi
1786552330,876m,25Mi
1786552331,876m,25Mi
1786552332,876m,25Mi
1786552333,876m,25Mi
1786552335,876m,25Mi
1786552336,876m,25Mi
1786552337,876m,25Mi
1786552338,876m,25Mi
1786552339,876m,25Mi
1786552340,876m,25Mi
1786552341,876m,25Mi
1786552342,876m,25Mi
1786552343,876m,25Mi
1786552344,965m,26Mi
1786552345,965m,26Mi
1786552346,965m,26Mi
1786552347,965m,26Mi
1786552348,965m,26Mi
1786552350,965m,26Mi
1786552351,965m,26Mi
1786552352,965m,26Mi
1786552353,965m,26Mi
1786552354,965m,26Mi
1786552355,965m,26Mi
1786552356,965m,26Mi
1786552357,965m,26Mi
1786552358,965m,26Mi
1786552359,999m,26Mi
1786552360,999m,26Mi
1786552361,999m,26Mi
1786552362,999m,26Mi
1786552363,999m,26Mi
1786552364,999m,26Mi
1786552365,999m,26Mi
1786552367,999m,26Mi
1786552368,999m,26Mi
1786552369,999m,26Mi
1786552370,999m,26Mi
1786552371,999m,26Mi
1786552372,999m,26Mi
1786552373,999m,26Mi
1786552374,1000m,27Mi
1786552375,1000m,27Mi
1786552376,1000m,27Mi
1786552377,1000m,27Mi
1786552378,1000m,27Mi
1786552379,1000m,27Mi
1786552380,1000m,27Mi
1786552382,1000m,27Mi
1786552383,1000m,27Mi
1786552384,1000m,27Mi
1786552385,1000m,27Mi
1786552386,1000m,27Mi
1786552387,1000m,27Mi
1786552388,1000m,27Mi
1786552389,1000m,30Mi
1786552390,1000m,30Mi
1786552391,1000m,30Mi
1786552392,1000m,30Mi
1786552393,1000m,30Mi
1786552394,1000m,30Mi
1786552395,1000m,30Mi
1786552397,1000m,30Mi
1786552398,1000m,30Mi
1786552399,1000m,30Mi
1786552400,1000m,30Mi
1786552401,1000m,30Mi
1786552402,1000m,30Mi
1786552403,1000m,30Mi
1786552404,1000m,29Mi
1786552405,1000m,29Mi
1786552406,1000m,29Mi
1786552407,1000m,29Mi
