Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786454265,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1786454266,2,,Aggregated,0.000000,0.000000,470,470,470,470,470,470,470,470,470,470,470,2,0,460.51298396196216,466.02616299060173,460.51298396196216,471.5393420192413,830.0
1786454267,4,,Aggregated,0.000000,0.000000,730,730,810,810,810,810,810,810,810,810,810,6,0,470,587.1756343306819,242.7296350360848,811.1603319994174,830.0
1786454268,6,,Aggregated,0.000000,0.000000,470,730,810,810,890,890,890,890,890,890,890,9,0,470,566.6929272184562,242.09338502259925,894.2640029708855,830.0
1786454269,8,,Aggregated,1.500000,0.000000,730,810,890,1000,1200,1800,1800,1800,1800,1800,1800,15,0,730,720.7312227382014,242.09338502259925,1783.0699070473202,829.6666666666666
1786454270,10,,Aggregated,2.666667,0.000000,810,900,1100,1200,1400,1500,1800,1800,1800,1800,1800,21,0,810,842.348944243332,242.09338502259925,1783.0699070473202,829.5238095238095
1786454271,10,,Aggregated,2.666667,0.000000,810,1100,1200,1200,1400,1500,1800,1800,1800,1800,1800,23,0,810,877.3080401360462,242.09338502259925,1783.0699070473202,829.5652173913044
1786454272,10,,Aggregated,3.000000,0.000000,890,1100,1200,1400,1800,1900,1900,1900,1900,1900,1900,25,0,890,959.9516206048429,242.09338502259925,1910.3700499981642,829.6
1786454273,10,,Aggregated,3.833333,0.000000,1100,1400,1800,1900,3300,3500,3700,3700,3700,3700,3700,37,0,1100,1312.0633684621016,53.263382986187935,3678.6797050153837,784.972972972973
1786454274,10,,Aggregated,3.571429,0.000000,1100,1400,1800,1900,2500,3500,3700,3700,3700,3700,3700,42,0,1100,1294.6887130494274,53.263382986187935,3678.6797050153837,790.3333333333334
1786454275,10,,Aggregated,3.375000,0.000000,1100,1500,1800,1900,2500,3500,3700,3700,3700,3700,3700,47,0,1100,1300.4317302987515,39.528968976810575,3678.6797050153837,777.0425531914893
1786454276,12,,Aggregated,4.333333,0.000000,1100,1600,1900,1900,2500,3500,3500,3700,3700,3700,3700,51,0,1100,1340.6288586876483,39.528968976810575,3678.6797050153837,781.0980392156863
1786454277,14,,Aggregated,4.500000,0.000000,1200,1800,1900,2100,2500,3500,3500,3700,3700,3700,3700,55,0,1200,1388.2461420376785,39.528968976810575,3678.6797050153837,784.6545454545454
