timestamp,cacheHits,cacheMiss,total_latency,cacheSize,hits_per_sec,misses_per_sec,requests_per_sec,cache_hit_ratio
1786895004,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
1786895005,0.0,2.0,261.0,0.0,0.0,2.0,2.0,0.0
1786895006,0.0,6.0,249.0,0.0,0.0,4.0,4.0,0.0
1786895007,0.0,11.0,439.0,0.0,0.0,5.0,5.0,0.0
1786895008,0.0,18.0,538.0,0.0,0.0,7.0,7.0,0.0
1786895009,0.0,25.0,682.0,0.0,0.0,7.0,7.0,0.0
1786895010,0.0,31.0,884.0,0.0,0.0,6.0,6.0,0.0
1786895011,0.0,34.0,882.0,0.0,0.0,3.0,3.0,0.0
1786895012,0.0,43.0,1160.0,0.0,0.0,9.0,9.0,0.0
1786895013,0.0,44.0,1121.0,0.0,0.0,1.0,1.0,0.0
1786895014,0.0,50.0,1203.0,0.0,0.0,6.0,6.0,0.0
1786895015,0.0,59.0,1252.0,0.0,0.0,9.0,9.0,0.0
1786895016,0.0,70.0,1279.0,0.0,0.0,11.0,11.0,0.0
1786895017,3.0,76.0,1235.0,0.0,3.0,6.0,9.0,0.3333333333333333
1786895018,7.0,81.0,1178.0,0.0,4.0,5.0,9.0,0.4444444444444444
1786895019,18.0,86.0,1118.0,0.0,11.0,5.0,16.0,0.6875
1786895020,36.0,88.0,1034.0,0.0,18.0,2.0,20.0,0.9
1786895021,55.0,89.0,926.0,0.0,19.0,1.0,20.0,0.95
1786895022,71.0,91.0,835.0,0.0,16.0,2.0,18.0,0.8888888888888888
1786895023,89.0,93.0,768.0,0.0,18.0,2.0,20.0,0.9
1786895024,105.0,94.0,704.0,0.0,16.0,1.0,17.0,0.9411764705882353
1786895025,123.0,97.0,647.0,0.0,18.0,3.0,21.0,0.8571428571428571
1786895026,149.0,99.0,599.0,0.0,26.0,2.0,28.0,0.9285714285714286
1786895027,174.0,106.0,555.0,0.0,25.0,7.0,32.0,0.78125
1786895028,207.0,109.0,520.0,0.0,33.0,3.0,36.0,0.9166666666666666
1786895029,233.0,116.0,503.0,0.0,26.0,7.0,33.0,0.7878787878787878
1786895030,270.0,122.0,480.0,0.0,37.0,6.0,43.0,0.8604651162790697
1786895031,297.0,128.0,469.0,0.0,27.0,6.0,33.0,0.8181818181818182
1786895032,330.0,129.0,459.0,0.0,33.0,1.0,34.0,0.9705882352941176
1786895033,362.0,132.0,452.0,0.0,32.0,3.0,35.0,0.9142857142857143
1786895034,395.0,135.0,455.0,0.0,33.0,3.0,36.0,0.9166666666666666
1786895035,434.0,139.0,464.0,0.0,39.0,4.0,43.0,0.9069767441860465
1786895036,478.0,143.0,462.0,0.0,44.0,4.0,48.0,0.9166666666666666
1786895037,517.0,156.0,448.0,0.0,39.0,13.0,52.0,0.75
1786895038,555.0,159.0,434.0,0.0,38.0,3.0,41.0,0.926829268292683
1786895039,594.0,164.0,419.0,0.0,39.0,5.0,44.0,0.8863636363636364
1786895040,632.0,171.0,404.0,0.0,38.0,7.0,45.0,0.8444444444444444
1786895041,670.0,178.0,396.0,0.0,38.0,7.0,45.0,0.8444444444444444
1786895042,707.0,189.0,390.0,0.0,37.0,11.0,48.0,0.7708333333333334
1786895043,754.0,193.0,382.0,0.0,47.0,4.0,51.0,0.9215686274509803
1786895044,795.0,199.0,376.0,0.0,41.0,6.0,47.0,0.8723404255319149
1786895045,834.0,209.0,370.0,0.0,39.0,10.0,49.0,0.7959183673469388
1786895046,885.0,211.0,363.0,0.0,51.0,2.0,53.0,0.9622641509433962
1786895047,932.0,216.0,356.0,0.0,47.0,5.0,52.0,0.9038461538461539
1786895048,979.0,222.0,349.0,0.0,47.0,6.0,53.0,0.8867924528301887
1786895049,1021.0,230.0,346.0,0.0,42.0,8.0,50.0,0.84
1786895050,1074.0,237.0,339.0,0.0,53.0,7.0,60.0,0.8833333333333333
1786895051,1118.0,244.0,335.0,0.0,44.0,7.0,51.0,0.8627450980392157
1786895052,1167.0,250.0,336.0,0.0,49.0,6.0,55.0,0.8909090909090909
1786895053,1206.0,259.0,338.0,0.0,39.0,9.0,48.0,0.8125
1786895054,1250.0,268.0,340.0,0.0,44.0,9.0,53.0,0.8301886792452831
1786895055,1292.0,273.0,344.0,0.0,42.0,5.0,47.0,0.8936170212765957
1786895056,1346.0,278.0,342.0,0.0,54.0,5.0,59.0,0.9152542372881356
1786895057,1387.0,287.0,342.0,0.0,41.0,9.0,50.0,0.82
1786895058,1443.0,292.0,344.0,0.0,56.0,5.0,61.0,0.9180327868852459
1786895059,1443.0,292.0,344.0,0.0,0.0,0.0,0.0,0.0
1786895060,1494.0,294.0,342.0,0.0,51.0,2.0,53.0,0.9622641509433962
