Sample,Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Captured Timestamp,Dana CPU,Dana Memory,Remote CPU,Remote Memory,Elapsed Time (s)
0,1787064190,0,,Aggregated,0.0,0.0,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,2026-08-18 14:43:14,0.0,18.0,2.0,18.0,0.0
1,1787064191,2,,Aggregated,0.0,0.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,2,0,210,263.3309559996633,206.9337259999884,319.72818599933817,827.5,2026-08-18 14:43:15,0.0,18.0,2.0,18.0,1.0
2,1787064192,4,,Aggregated,0.0,0.0,320.0,320.0,340.0,340.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,6,0,230,271.5031713335823,46.6447570015589,491.50896799983457,691.1666666666666,2026-08-18 14:43:16,0.0,18.0,2.0,18.0,2.0
3,1787064193,6,,Aggregated,1.0,0.0,340.0,490.0,720.0,720.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,12,0,320,418.4780222499285,46.6447570015589,884.229161998519,692.0,2026-08-18 14:43:17,0.0,18.0,2.0,18.0,3.0
4,1787064194,8,,Aggregated,2.0,0.0,390.0,500.0,610.0,720.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,18,0,340,423.7525347779309,46.6447570015589,884.229161998519,691.7222222222222,2026-08-18 14:43:19,0.0,18.0,2.0,18.0,5.0
5,1787064195,10,,Aggregated,2.333333,0.0,490.0,580.0,720.0,760.0,880.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,26,0,390,475.8738171924331,46.6447570015589,1096.5567040002495,702.4230769230769,2026-08-18 14:43:20,0.0,18.0,2.0,18.0,6.0
6,1787064196,10,,Aggregated,3.25,0.0,510.0,720.0,880.0,920.0,1100.0,1300.0,1700.0,1700.0,1700.0,1700.0,1700.0,34,0,510,585.4990704706591,46.6447570015589,1674.285705999864,732.0,2026-08-18 14:43:21,0.0,18.0,2.0,18.0,7.0
7,1787064197,10,,Aggregated,4.4,0.0,570.0,800.0,920.0,1100.0,1100.0,1300.0,1700.0,1700.0,1700.0,1700.0,1700.0,42,0,540,626.4419181191746,13.49264600139577,1674.285705999864,711.3333333333334,2026-08-18 14:43:22,0.0,18.0,2.0,18.0,8.0
8,1787064198,10,,Aggregated,4.666667,0.0,610.0,920.0,1100.0,1100.0,1300.0,1500.0,1700.0,2900.0,2900.0,2900.0,2900.0,52,0,580,708.6554146732082,13.349990000278922,2895.710765000331,702.3653846153846,2026-08-18 14:43:23,0.0,18.0,2.0,18.0,9.0
9,1787064199,10,,Aggregated,5.428571,0.0,720.0,980.0,1100.0,1100.0,1400.0,1600.0,1700.0,2900.0,2900.0,2900.0,2900.0,58,0,700,745.9479769483456,13.349990000278922,2895.710765000331,715.4827586206897,2026-08-18 14:43:24,83.0,20.0,12.0,20.0,10.0
10,1787064200,10,,Aggregated,5.625,0.0,720.0,980.0,1100.0,1100.0,1400.0,1600.0,1700.0,2900.0,2900.0,2900.0,2900.0,67,0,720,738.4066466269659,13.349990000278922,2895.710765000331,706.1940298507462,2026-08-18 14:43:25,83.0,20.0,12.0,20.0,11.0
