,User Count,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Dana CPU,Dana Memory,Remote CPU,Remote Memory
User Count,1.0,0.6996851726650363,,0.3669571233327797,0.31146413483986257,0.272245345201063,0.257946683205177,0.17748354213332568,0.07768295771714234,-0.06697182369954036,-0.15947680604364914,0.1670136739545218,0.8451721439257074,0.8451721439257074,0.5237180771508942,,0.39928138416076375,0.3510319349157208,-0.4062736623636525,0.8567617231176692,-0.8353384900346926,0.9253509719513288,0.8768864240879425,0.7004430365872754,0.9343612946838968
Requests/s,0.6996851726650363,1.0,,-0.3532956256927326,-0.4139147924002157,-0.46679758910519425,-0.48744765297163506,-0.5288403624171372,-0.47749546814221916,-0.38176108696570676,-0.1995443934881827,0.38174659963686597,0.5755546169447802,0.5755546169447802,-0.19122343426623892,,-0.31077518862959386,-0.39051942286394237,-0.2739515371205656,0.5895877315562637,-0.4706550047525924,0.5963318732592237,0.43312761249738435,0.9658097964622845,0.6294817072063315
Failures/s,,,,,,,,,,,,,,,,,,,,,,,,,
50%,0.3669571233327797,-0.3532956256927326,,1.0,0.9840870358671179,0.9588300461041267,0.9351698977051465,0.8165879419063143,0.560459452960151,0.1422214521808088,-0.2014553299073185,-0.4854142275824853,0.2292685459877212,0.2292685459877212,0.9503616931288872,,0.9996701870301539,0.9758969169869762,-0.1444333858696368,0.2292284630445287,-0.5996862357159766,0.5142288423365902,0.6647129427111765,-0.2905177803085899,0.4063189593104691
66%,0.31146413483986257,-0.4139147924002157,,0.9840870358671179,1.0,0.9879186325928853,0.9693321177098508,0.8719061346714408,0.6459185283788436,0.2467135999848688,-0.1208242217212843,-0.4298118371496242,0.2392945056342845,0.2392945056342845,0.9289126734870324,,0.984654055454732,0.9880945895505598,-0.17913070622739055,0.23910688260008894,-0.5398921846534123,0.44773251443453094,0.6053315252856393,-0.3623551552202671,0.3507266776146066
75%,0.272245345201063,-0.46679758910519425,,0.9588300461041267,0.9879186325928853,1.0,0.9873843797021582,0.9146166745898755,0.7135542252876947,0.3475885605219951,-0.0229985448567499,-0.36633087066297976,0.2508157930184768,0.2508157930184768,0.9120144436102001,,0.9600182580237163,0.9889747666943257,-0.19897232513373847,0.2505896266696802,-0.48079192967109013,0.3798510073873974,0.5405796356663309,-0.42901325152223946,0.3070793627526683
80%,0.257946683205177,-0.48744765297163506,,0.9351698977051465,0.9693321177098508,0.9873843797021582,1.0,0.9461583738504035,0.7627880843891021,0.426829436305252,0.05208245425875414,-0.300658157888857,0.27130766751159646,0.27130766751159646,0.8907411277300052,,0.9369930425451494,0.9814453459577196,-0.21919796791339216,0.2710879806744593,-0.44128135876913954,0.3392568807128089,0.5005467202547277,-0.455466103029721,0.2879036311513258
90%,0.17748354213332568,-0.5288403624171372,,0.8165879419063143,0.8719061346714408,0.9146166745898755,0.9461583738504035,1.0,0.9098144697299726,0.6567905505365467,0.32223775386630893,-0.0864470650769244,0.3262422883979729,0.3262422883979729,0.7742962069025955,,0.8210634799578683,0.9097846652857082,-0.2986316244445471,0.32588875371969395,-0.2891788089804504,0.18490680332764767,0.3525223986386646,-0.5272960640252007,0.20065211448146103
95%,0.07768295771714234,-0.47749546814221916,,0.560459452960151,0.6459185283788436,0.7135542252876947,0.7627880843891021,0.9098144697299726,1.0,0.8645094845435923,0.5748473213737475,0.1911252798686592,0.39986948657959787,0.39986948657959787,0.5381941252713353,,0.5682002326860753,0.7031529544319025,-0.3709487255729801,0.3994564433290192,-0.10134454674757594,0.006703017763471162,0.15145550565850782,-0.5111067008122621,0.08980254184608007
98%,-0.06697182369954036,-0.38176108696570676,,0.1422214521808088,0.2467135999848688,0.3475885605219951,0.426829436305252,0.6567905505365467,0.8645094845435923,1.0,0.8500278647221289,0.5378364069151405,0.37098967580010367,0.37098967580010367,0.14436397398011816,,0.15183327051310744,0.3258486594539914,-0.35893991593412033,0.3704136998894816,0.2006081917603835,-0.27119799660195254,-0.18387668239056681,-0.4688389066421599,-0.07746767379465148
