Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787064190,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787064191,2,,Aggregated,0.000000,0.000000,320,320,320,320,320,320,320,320,320,320,320,2,0,210,263.3309559996633,206.93372599998838,319.72818599933817,827.5
1787064192,4,,Aggregated,0.000000,0.000000,320,320,340,340,490,490,490,490,490,490,490,6,0,230,271.5031713335823,46.6447570015589,491.50896799983457,691.1666666666666
1787064193,6,,Aggregated,1.000000,0.000000,340,490,720,720,880,880,880,880,880,880,880,12,0,320,418.4780222499285,46.6447570015589,884.229161998519,692.0
1787064194,8,,Aggregated,2.000000,0.000000,390,500,610,720,880,880,880,880,880,880,880,18,0,340,423.7525347779309,46.6447570015589,884.229161998519,691.7222222222222
1787064195,10,,Aggregated,2.333333,0.000000,490,580,720,760,880,1100,1100,1100,1100,1100,1100,26,0,390,475.8738171924331,46.6447570015589,1096.5567040002497,702.4230769230769
1787064196,10,,Aggregated,3.250000,0.000000,510,720,880,920,1100,1300,1700,1700,1700,1700,1700,34,0,510,585.4990704706591,46.6447570015589,1674.2857059998641,732.0
1787064197,10,,Aggregated,4.400000,0.000000,570,800,920,1100,1100,1300,1700,1700,1700,1700,1700,42,0,540,626.4419181191746,13.49264600139577,1674.2857059998641,711.3333333333334
1787064198,10,,Aggregated,4.666667,0.000000,610,920,1100,1100,1300,1500,1700,2900,2900,2900,2900,52,0,580,708.6554146732082,13.349990000278922,2895.710765000331,702.3653846153846
1787064199,10,,Aggregated,5.428571,0.000000,720,980,1100,1100,1400,1600,1700,2900,2900,2900,2900,58,0,700,745.9479769483456,13.349990000278922,2895.710765000331,715.4827586206897
1787064200,10,,Aggregated,5.625000,0.000000,720,980,1100,1100,1400,1600,1700,2900,2900,2900,2900,67,0,720,738.4066466269659,13.349990000278922,2895.710765000331,706.1940298507462
