,User Count,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Dana CPU,Dana Memory,Remote CPU,Remote Memory
User Count,1.0,0.8192097315611448,-0.2548445816206912,-0.015410236472104221,-0.07986079916114636,-0.1543115294035094,-0.22155900025131853,-0.2979303889991198,-0.3015822806242375,-0.22827706512018012,-0.1270120812685253,0.39246130997386386,0.7986707572503338,0.9268272915248797,0.4941029723988596,0.9285976006572836,0.026466802831235866,-0.08445946452830774,-0.39926471603449604,0.9297916905555373,-0.849638731969529,0.8945123588256819,0.7726306041376015,0.721135351732708,0.7861496502497329
Requests/s,0.8192097315611448,1.0,-0.2207137679592558,-0.5036306458009727,-0.5897312501923551,-0.6549989917085204,-0.7020555443103043,-0.7230255284094685,-0.5771344415964157,-0.20739806902990574,0.07662935601263679,0.45491170112990337,0.7798356151893261,0.7170901067699399,0.014729926311383994,0.7419680797104448,-0.46312137973183337,-0.6021218036950029,-0.28567433510753865,0.7221427886608466,-0.6788941419713462,0.762016781885466,0.36765780797972936,0.9323920827966798,0.581190366368813
Failures/s,-0.2548445816206912,-0.2207137679592558,1.0,-0.19200970418317723,-0.11644089662406167,0.015415579666963155,0.10214978471040878,0.3329866865242312,0.5122744224279034,0.6644141308774382,0.6062895811586465,0.4293223510880842,-0.011117254542867118,-0.08974463784909385,-0.4410510253173131,-0.31762559944489116,-0.19090086668116055,0.008557587855857583,-0.024164389924456152,-0.07761594351466905,0.4309739609516957,-0.42968336374760546,-0.37967676052590227,-0.23894446595094995,-0.2963097414088356
50%,-0.015410236472104221,-0.5036306458009727,-0.19200970418317723,1.0,0.9454701994567216,0.8796120447106874,0.8177205923385751,0.6064514342585503,0.307497499866152,-0.17326353259492408,-0.4863647520349928,-0.4925188254504172,-0.34455288084647495,-0.012084241867853784,0.8025627060981437,0.0894578200905518,0.9991882445556998,0.9295607510758865,-0.06060660461150923,-0.011625845765056611,-0.14893406058968514,0.03057275144865696,0.5626657534103833,-0.4771239098381711,0.118967134613144
66%,-0.07986079916114636,-0.5897312501923551,-0.11644089662406167,0.9454701994567216,1.0,0.969799678160597,0.9281866495960087,0.7401591308193589,0.4395539879081607,-0.09688191307568718,-0.44010557905764564,-0.42404177613922006,-0.2920248129689243,-0.02497126141807782,0.7384041938944034,0.028317160065187107,0.9445583738300803,0.9737361201401449,-0.08522663746043109,-0.02437300810921641,-0.07099071090518312,-0.03885135616334526,0.4952706734056642,-0.5491155097023405,0.1405747001178129
75%,-0.1543115294035094,-0.6549989917085204,0.015415579666963155,0.8796120447106874,0.969799678160597,1.0,0.9803707278259364,0.8459687820440865,0.571113107851715,0.030893770616621016,-0.3141775779579942,-0.32851175942155797,-0.27653187619191727,-0.04491415259557985,0.6282260798754155,-0.056388963768623596,0.878712230272064,0.9778717032013142,-0.10276433033980197,-0.0443825046194068,0.033784843080333395,-0.14925175232231092,0.3969526079486419,-0.624226448800421,0.07180853968333908
80%,-0.22155900025131853,-0.7020555443103043,0.10214978471040878,0.8177205923385751,0.9281866495960087,0.9803707278259364,1.0,0.9098879699709431,0.661419449238621,0.1372932631909691,-0.20123068457433774,-0.24511852881843776,-0.27275898524987524,-0.06601899275241453,0.5257079131731538,-0.1343039620700517,0.8168693956771406,0.9608305928457123,-0.11344702160311362,-0.06485312299331593,0.12957485928017937,-0.23936806190587662,0.3125921671700184,-0.6790144468459776,0.010439986488864588
90%,-0.2979303889991198,-0.7230255284094685,0.3329866865242312,0.6064514342585503,0.7401591308193589,0.8459687820440865,0.9098879699709431,1.0,0.880834033424818,0.4443960373946594,0.12749250181731853,0.03457318257000131,-0.22234893372956735,-0.07626469593706162,0.2538505454576682,-0.31208510524701144,0.6046601484194951,0.8433157741863446,-0.13204362435234024,-0.07511583079983372,0.32355268711093305,-0.4155804785873506,0.09751193676904514,-0.7699285620481552,-0.1168967024726423
95%,-0.3015822806242375,-0.5771344415964157,0.5122744224279034,0.307497499866152,0.4395539879081607,0.571113107851715,0.661419449238621,0.880834033424818,1.0,0.7612666995187012,0.49829323597863845,0.33771610347154873,-0.11879562476513032,-0.04762858544949005,-0.07365468298301797,-0.44276585717432265,0.3067275933231707,0.5902999729460376,-0.1550498472411849,-0.04663392122843984,0.44891269780392096,-0.5006950566907281,-0.14538037563338044,-0.6628698902793384,-0.22511055772770347
98%,-0.22827706512018012,-0.20739806902990574,0.6644141308774382,-0.17326353259492408,-0.09688191307568718,0.030893770616621016,0.1372932631909691,0.4443960373946594,0.7612666995187012,1.0,0.9054961634847345,0.7012968308751819,0.07891901918183059,0.03662384822027852,-0.5103236340460336,-0.4245914215201033,-0.17233408737803674,0.07044910362483599,-0.19975742214763378,0.037735153097053886,0.48778404552508975,-0.49525358312192025,-0.4126449433368144,-0.3028999125326086,-0.31981395910448385
99%,-0.1270120812685253,0.07662935601263679,0.6062895811586465,-0.4863647520349928,-0.44010557905764564,-0.3141775779579942,-0.20123068457433774,0.12749250181731853,0.49829323597863845,0.9054961634847345,1.0,0.8151189386037941,0.2484784331256594,0.11920920650355417,-0.7025945523973413,-0.3333410687789527,-0.4836118990232214,-0.2828117266446584,-0.23834836817037475,0.12084326499765238,0.41023338584766694,-0.3855294886723129,-0.491755427007561,-0.023529509143359776,-0.2735455872100601
99.9%,0.39246130997386386,0.45491170112990337,0.4293223510880842,-0.4925188254504172,-0.42404177613922006,-0.32851175942155797,-0.24511852881843776,0.03457318257000131,0.33771610347154873,0.7012968308751819,0.8151189386037941,1.0,0.6989355451985331,0.6041814325872562,-0.39114592478198085,0.18990214765954122,-0.4844954951083726,-0.3178817266733555,-0.41986245785940013,0.6048969970255341,-0.1059328809657349,0.10187164931474031,-0.05362002109732108,0.30593814367724914,0.17754558854399688
99.99%,0.7986707572503338,0.7798356151893261,-0.011117254542867118,-0.34455288084647495,-0.2920248129689243,-0.27653187619191727,-0.27275898524987524,-0.22234893372956735,-0.11879562476513032,0.07891901918183059,0.2484784331256594,0.6989355451985331,1.0,0.8811450986229711,0.06320869565219303,0.7068355271424531,-0.33279757006536276,-0.3162797078486586,-0.4922781068049801,0.8811798355248416,-0.6637748830370188,0.6507030880751781,0.4381872198986702,0.6879505492190108,0.6496499410015025
100%,0.9268272915248797,0.7170901067699399,-0.08974463784909385,-0.012084241867853784,-0.02497126141807782,-0.04491415259557985,-0.06601899275241453,-0.07626469593706162,-0.04762858544949005,0.03662384822027852,0.11920920650355417,0.6041814325872562,0.8811450986229711,1.0,0.39840039345166983,0.8497692316977574,0.0004356346823195743,-0.035543385185087484,-0.5478436437053632,0.9999483616646108,-0.8257514091255704,0.7530152900751156,0.7134453388010062,0.6022808761341811,0.7352751344756894
Total Request Count,0.4941029723988596,0.014729926311383994,-0.4410510253173131,0.8025627060981437,0.7384041938944034,0.6282260798754155,0.5257079131731538,0.2538505454576682,-0.07365468298301797,-0.5103236340460336,-0.7025945523973413,-0.39114592478198085,0.06320869565219303,0.39840039345166983,1.0,0.6065961959545796,0.8086549823551342,0.6591679902771053,-0.14627372975820926,0.4016148970857135,-0.6412570890700249,0.5503702000156164,0.8808933532079091,0.006939127435398862,0.5271732774544142
Total Failure Count,0.9285976006572836,0.7419680797104448,-0.31762559944489116,0.0894578200905518,0.028317160065187107,-0.056388963768623596,-0.1343039620700517,-0.31208510524701144,-0.44276585717432265,-0.4245914215201033,-0.3333410687789527,0.18990214765954122,0.7068355271424531,0.8497692316977574,0.6065961959545796,1.0,0.11971898590288196,-0.029150893957328988,-0.3383095979653428,0.8490186492325914,-0.9014102816461537,0.8945586235205808,0.8271185453328561,0.7002565494343139,0.7772438586295284
Total Median Response Time,0.026466802831235866,-0.46312137973183337,-0.19090086668116055,0.9991882445556998,0.9445583738300803,0.878712230272064,0.8168693956771406,0.6046601484194951,0.3067275933231707,-0.17233408737803674,-0.4836118990232214,-0.4844954951083726,-0.33279757006536276,0.0004356346823195743,0.8086549823551342,0.11971898590288196,1.0,0.9287982538699414,-0.05803061057809293,0.041450732283802014,-0.13737580387766163,0.057812481769845284,0.5792877892814277,-0.4466625963578957,0.15067589524000186
Total Average Response Time,-0.08445946452830774,-0.6021218036950029,0.008557587855857583,0.9295607510758865,0.9737361201401449,0.9778717032013142,0.9608305928457123,0.8433157741863446,0.5902999729460376,0.07044910362483599,-0.2828117266446584,-0.3178817266733555,-0.3162797078486586,-0.035543385185087484,0.6591679902771053,-0.029150893957328988,0.9287982538699414,1.0,-0.08917995002176163,0.030079134888825767,0.05998168678408682,-0.11810321272012371,0.4412641475273116,-0.6056642639849144,0.08103428367617048
Total Min Response Time,-0.39926471603449604,-0.28567433510753865,-0.024164389924456152,-0.06060660461150923,-0.08522663746043109,-0.10276433033980197,-0.11344702160311362,-0.13204362435234024,-0.1550498472411849,-0.19975742214763378,-0.23834836817037475,-0.41986245785940013,-0.4922781068049801,-0.5478436437053632,-0.14627372975820926,-0.3383095979653428,-0.05803061057809293,-0.08917995002176163,1.0,-0.48814147860993057,0.37607366240295725,-0.2782198429406188,-0.3195898742307816,-0.22446227745921027,-0.33748855784501186
