,User Count,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Dana CPU,Dana Memory,Remote CPU,Remote Memory
User Count,1.0,0.9501769464643043,0.3794290481667132,-0.8593654422137281,-0.8183492079443967,-0.7782316177368015,-0.7552657211842522,-0.6772490306479129,-0.593731403347587,-0.445626814896452,-0.3248674314851122,0.3088456427640307,0.7751104257314344,0.9282105279020999,0.4599256968901024,0.503212656956807,-0.8074467462480233,-0.7035265018764064,-0.34886746768422705,0.9335695929012857,-0.844449879380202,0.827432697609038,0.7950061400158634,0.8275513673468013,0.8057411571132846
Requests/s,0.9501769464643043,1.0,0.35819088858189857,-0.9288886546663498,-0.9216644056093695,-0.9010457423925395,-0.8881611859167925,-0.8360014853548745,-0.7705506673302172,-0.6251542416918616,-0.5043836864626217,0.10613169551565596,0.6504418273165518,0.8121144349003404,0.5218907644903091,0.5669378043862122,-0.8989001931568118,-0.851249270525089,-0.26700066817868134,0.815797490705234,-0.8994791297076709,0.8473487134240547,0.7367919861510053,0.8843769980159187,0.8511974145067729
Failures/s,0.3794290481667132,0.35819088858189857,1.0,-0.3317576074061264,-0.317861516339813,-0.2971049317490511,-0.2770763897936661,-0.21448079855627006,-0.14512314020952627,-0.04313648646190668,-0.009328959974186951,0.17438441852649175,0.1860515390960955,0.3140521198253299,0.1468634712333227,0.1954137987103551,-0.3261197556723816,-0.2450081450456345,-0.09619283469565872,0.3186401399102444,-0.26773041555542826,0.2851860714451707,0.33853604978709045,0.1906291065162241,0.21918866390910666
50%,-0.8593654422137281,-0.9288886546663498,-0.3317576074061264,1.0,0.984214624132647,0.9680158052805447,0.9584494089032,0.9115589893196901,0.8528131979337841,0.7268009287047625,0.6305727021291762,0.04993756509933817,-0.5076167617923791,-0.6827364740453391,-0.5750955423914744,-0.6122871326638453,0.9994195183648781,0.9579380081611383,0.10480128535644831,-0.6828364728991922,0.9076910639233607,-0.7879360994265124,-0.588589234489259,-0.798152822583999,-0.8194023221158638
66%,-0.8183492079443967,-0.9216644056093695,-0.317861516339813,0.984214624132647,1.0,0.993787555034177,0.9878113704651318,0.9558468073758176,0.9059787888917762,0.7871181106985287,0.6907707149987937,0.14834770381331686,-0.4280466710132211,-0.6087417461049682,-0.5961501876349528,-0.633060137069651,0.9840741776308849,0.9818984460126304,0.0611430791233456,-0.608826155255511,0.8923742399452813,-0.7760364673374768,-0.5558768175271903,-0.8029766370630921,-0.8259654381830996
75%,-0.7782316177368015,-0.9010457423925395,-0.2971049317490511,0.9680158052805447,0.993787555034177,1.0,0.9977519005587557,0.9794850513365101,0.9375394322452024,0.8278865911392097,0.7327828347965651,0.22104297154354743,-0.3632036583744773,-0.5430860471975698,-0.6007391571125239,-0.636435715277329,0.9683560244904829,0.9913809640057277,0.03566404755512169,-0.5431643067356356,0.8704723911065491,-0.7502010231533239,-0.5131321688951851,-0.7931440735107792,-0.8160502500175242
80%,-0.7552657211842522,-0.8881611859167925,-0.2770763897936661,0.9584494089032,0.9878113704651318,0.9977519005587557,1.0,0.9869948812282465,0.9508121198985334,0.8472695849010654,0.7547708488202991,0.25661508801734406,-0.3320582146180688,-0.5115835849676844,-0.603411076899234,-0.6381175201508588,0.959168735390465,0.9935958752582404,0.020733412366780588,-0.5117012550431718,0.857922531092309,-0.7327278439377604,-0.48824436318912606,-0.786205024625622,-0.8054556566547123
90%,-0.6772490306479129,-0.8360014853548745,-0.21448079855627006,0.9115589893196901,0.9558468073758176,0.9794850513365101,0.9869948812282465,1.0,0.9809397410191251,0.9006828067314931,0.8177293211434622,0.37177266467880987,-0.23871234716552536,-0.4107032773731523,-0.6083831631649953,-0.6396757915481043,0.9137616659080973,0.986472335929181,-0.011904646957963949,-0.4108117598270127,0.8149412795710594,-0.6749706908276737,-0.41362529937476483,-0.7620603761017026,-0.7817413160787166
95%,-0.593731403347587,-0.7705506673302172,-0.14512314020952627,0.8528131979337841,0.9059787888917762,0.9375394322452024,0.9508121198985334,0.9809397410191251,1.0,0.9550004834209124,0.9015305320667296,0.4955819901420286,-0.1441274410728544,-0.3268033665426108,-0.6613239984304728,-0.6836231078447456,0.8558116561717254,0.9641201882856597,-0.03736856250410679,-0.32693604323278974,0.7742254279092149,-0.5808927662906707,-0.31340079284483535,-0.6988191432973646,-0.7426325703568548
98%,-0.445626814896452,-0.6251542416918616,-0.04313648646190668,0.7268009287047625,0.7871181106985287,0.8278865911392097,0.8472695849010654,0.9006828067314931,0.9550004834209124,1.0,0.9719879350483769,0.6692453587089324,0.02923849711753536,-0.19954184055849145,-0.7601937264417581,-0.7671628035848489,0.7306514620689862,0.881353091631238,-0.07079539702225117,-0.19972519559446666,0.6790060131424146,-0.40908980268184786,-0.11430722229794074,-0.5596817187698198,-0.6826129047837566
99%,-0.3248674314851122,-0.5043836864626217,-0.009328959974186951,0.6305727021291762,0.6907707149987937,0.7327828347965651,0.7547708488202991,0.8177293211434622,0.9015305320667296,0.9719879350483769,1.0,0.7585442844675636,0.1447826750314441,-0.09571620737467168,-0.7807416023424816,-0.7790184365682681,0.6350546928450107,0.8015742774809022,-0.10266414850286289,-0.09586065799896604,0.5804980838649364,-0.28065303753158455,-0.008051369774205317,-0.4230710964948498,-0.5764295013638785
99.9%,0.3088456427640307,0.10613169551565596,0.17438441852649175,0.04993756509933817,0.14834770381331686,0.22104297154354743,0.25661508801734406,0.37177266467880987,0.4955819901420286,0.6692453587089324,0.7585442844675636,1.0,0.7132534702846056,0.5054395264867274,-0.5454178336917105,-0.5216754774390276,0.05830835559182918,0.3000638376614711,-0.3158062281110274,0.5053685148817746,-0.02953059251531098,0.24725566845690716,0.4999983162738954,0.11797761125431058,-0.048197009780045603
99.99%,0.7751104257314344,0.6504418273165518,0.1860515390960955,-0.5076167617923791,-0.4280466710132211,-0.3632036583744773,-0.3320582146180688,-0.23871234716552536,-0.1441274410728544,0.02923849711753536,0.1447826750314441,0.7132534702846056,1.0,0.8614795774483244,-0.05561154509976359,-0.023893957529227256,-0.4986436080955644,-0.3205372255828318,-0.41956489565308774,0.8614637525508565,-0.628737146897319,0.6216586476521285,0.7371362922194904,0.6244259064946454,0.4891027234516925
100%,0.9282105279020999,0.8121144349003404,0.3140521198253299,-0.6827364740453391,-0.6087417461049682,-0.5430860471975698,-0.5115835849676844,-0.4107032773731523,-0.3268033665426108,-0.19954184055849145,-0.09571620737467168,0.5054395264867274,0.8614795774483244,1.0,0.3720836735884183,0.40741895280332313,-0.6731840165990727,-0.5169997472673871,-0.47458823054318344,0.9999936727572295,-0.8323267784801532,0.7093919057186114,0.7510000685833694,0.6934323334803257,0.6653735015767701
