timestamp,dana_cpu,dana_mem,remote_cpu,remote_mem
1786934282,2m,15Mi,3m,20Mi
1786934283,2m,15Mi,3m,20Mi
1786934284,2m,15Mi,3m,20Mi
1786934285,2m,15Mi,3m,20Mi
1786934286,2m,15Mi,3m,20Mi
1786934287,2m,15Mi,3m,20Mi
1786934289,23m,20Mi,8m,22Mi
1786934290,23m,20Mi,8m,22Mi
1786934291,23m,20Mi,8m,22Mi
1786934292,23m,20Mi,8m,22Mi
1786934293,23m,20Mi,8m,22Mi
1786934294,23m,20Mi,8m,22Mi
1786934295,23m,20Mi,8m,22Mi
1786934296,23m,20Mi,8m,22Mi
1786934298,23m,20Mi,8m,22Mi
1786934299,23m,20Mi,8m,22Mi
1786934300,23m,20Mi,8m,22Mi
1786934301,23m,20Mi,8m,22Mi
1786934302,23m,20Mi,8m,22Mi
1786934303,23m,20Mi,8m,22Mi
1786934304,204m,23Mi,34m,23Mi
1786934305,204m,23Mi,34m,23Mi
1786934307,204m,23Mi,34m,23Mi
1786934308,204m,23Mi,34m,23Mi
1786934309,204m,23Mi,34m,23Mi
1786934310,204m,23Mi,34m,23Mi
1786934311,204m,23Mi,34m,23Mi
1786934312,204m,23Mi,34m,23Mi
1786934313,204m,23Mi,34m,23Mi
1786934314,204m,23Mi,34m,23Mi
1786934316,204m,23Mi,34m,23Mi
1786934317,204m,23Mi,34m,23Mi
1786934318,204m,23Mi,34m,23Mi
1786934319,739m,24Mi,93m,24Mi
1786934320,739m,24Mi,93m,24Mi
1786934321,739m,24Mi,93m,24Mi
1786934322,739m,24Mi,93m,24Mi
1786934323,739m,24Mi,93m,24Mi
1786934325,739m,24Mi,93m,24Mi
1786934326,739m,24Mi,93m,24Mi
1786934327,739m,24Mi,93m,24Mi
1786934328,739m,24Mi,93m,24Mi
1786934329,739m,24Mi,93m,24Mi
1786934330,739m,24Mi,93m,24Mi
1786934331,739m,24Mi,93m,24Mi
1786934332,739m,24Mi,93m,24Mi
1786934334,894m,24Mi,215m,24Mi
1786934335,894m,24Mi,215m,24Mi
1786934336,894m,24Mi,215m,24Mi
1786934337,894m,24Mi,215m,24Mi
1786934338,894m,24Mi,215m,24Mi
1786934339,894m,24Mi,215m,24Mi
1786934340,894m,24Mi,215m,24Mi
1786934341,894m,24Mi,215m,24Mi
1786934342,894m,24Mi,215m,24Mi
1786934344,894m,24Mi,215m,24Mi
1786934345,894m,24Mi,215m,24Mi
1786934346,894m,24Mi,215m,24Mi
1786934347,894m,24Mi,215m,24Mi
1786934348,894m,24Mi,215m,24Mi
1786934349,879m,25Mi,215m,24Mi
1786934350,879m,25Mi,215m,24Mi
1786934351,879m,25Mi,215m,24Mi
1786934353,879m,25Mi,215m,24Mi
1786934354,879m,25Mi,215m,24Mi
1786934355,879m,25Mi,215m,24Mi
1786934356,879m,25Mi,215m,24Mi
1786934357,879m,25Mi,215m,24Mi
1786934358,879m,25Mi,215m,24Mi
1786934359,879m,25Mi,215m,24Mi
1786934360,879m,25Mi,215m,24Mi
1786934362,879m,25Mi,215m,24Mi
1786934363,879m,25Mi,215m,24Mi
1786934364,958m,26Mi,216m,24Mi
1786934365,958m,26Mi,216m,24Mi
1786934366,958m,26Mi,216m,24Mi
1786934367,958m,26Mi,216m,24Mi
1786934368,958m,26Mi,216m,24Mi
1786934369,958m,26Mi,216m,24Mi
1786934371,958m,26Mi,216m,24Mi
1786934372,958m,26Mi,216m,24Mi
1786934373,958m,26Mi,216m,24Mi
1786934374,958m,26Mi,216m,24Mi
1786934375,958m,26Mi,216m,24Mi
1786934376,958m,26Mi,216m,24Mi
1786934377,958m,26Mi,216m,24Mi
1786934378,967m,26Mi,198m,24Mi
1786934379,967m,26Mi,198m,24Mi
1786934381,967m,26Mi,198m,24Mi
1786934382,967m,26Mi,198m,24Mi
1786934383,967m,26Mi,198m,24Mi
1786934384,967m,26Mi,198m,24Mi
1786934385,967m,26Mi,198m,24Mi
1786934386,967m,26Mi,198m,24Mi
