,User Count,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Dana CPU,Dana Memory,Remote CPU,Remote Memory
User Count,1.0,0.977371948245862,0.26786318021745253,0.23738829303329712,-0.07673461118783034,-0.31967541052304027,-0.4642706047042518,-0.7534087526039076,-0.7872262106669662,-0.6758372053229522,-0.5154318936820382,0.10609765680618084,0.6150635946684582,0.6708576124971682,0.49575117383752487,0.5039520088584328,0.29341031982605964,-0.003420335411621278,-0.27378323726747184,0.6897740672402195,-0.8756065564101241,0.8299593442419758,0.8020677366642694,0.8614171677276116,0.8318854395028883
Requests/s,0.977371948245862,1.0,0.22123953562638576,0.2841343959877507,-0.03574427881208308,-0.2909844083503522,-0.4500772190242103,-0.7519801582991578,-0.8257055563349542,-0.7365622386492283,-0.5922996874400533,0.047315478858888455,0.5642712190421845,0.6059036126363309,0.4712826565327612,0.47892940443789117,0.33141940693122857,0.007072056093031596,-0.2361792649876707,0.6179091146690795,-0.8972998317908382,0.8297134837238713,0.7584091398491999,0.8924363018293248,0.8152683081804536
Failures/s,0.26786318021745253,0.22123953562638576,1.0,0.017560753573018464,-0.06895394253723867,-0.13620418803204093,-0.1642636556944404,-0.23787508070863048,-0.22243438930694712,-0.15166506870741717,-0.11533589789503698,0.04246216440846762,0.0988217801306572,0.15253094915782978,0.08392966760219303,0.14000047686583816,0.03167460094069815,-0.06300434739153125,-0.05940508795574224,0.15780332229525706,-0.22185071462860748,0.25810918531948174,0.17614966896811202,0.22701865928495968,0.09358717248016354
50%,0.23738829303329712,0.2841343959877507,0.017560753573018464,1.0,0.8726878046037503,0.6772934131472065,0.5320821839295642,0.09372428655729227,-0.22188617932242594,-0.5276627231224987,-0.5823803929844202,-0.44618695738752745,-0.019605398568348864,0.04647738493435845,0.48992607205234706,0.4881108132668164,0.9987653837582056,0.8767468028224514,-0.08201858487411517,0.04421954848618193,-0.4550697125394739,0.11212117174563023,0.062080592503220955,0.43520721613279606,0.2669347323739104
66%,-0.07673461118783034,-0.03574427881208308,-0.06895394253723867,0.8726878046037503,1.0,0.9300802443758778,0.8344881701398151,0.46382726078816006,0.14210463051026748,-0.16241767871642276,-0.22589152564863857,-0.2704611928200171,-0.06647893124859892,-0.03570966102954653,0.22096450349739613,0.21806874705315366,0.8641901968088355,0.8996050331704761,-0.08331127544352204,-0.03992320190148304,-0.10522431629985671,-0.15463292491575406,-0.11959380474022177,0.1412755789161822,-0.0121167116303868
75%,-0.31967541052304027,-0.2909844083503522,-0.13620418803204093,0.6772934131472065,0.9300802443758778,1.0,0.9586933268933149,0.7040473008453545,0.4214196237403004,0.12240017495747882,0.04524817533158363,-0.14201925536736543,-0.1034256818797208,-0.09036630152857208,0.06690827689270072,0.060713643126856266,0.6653146035869214,0.8422482779716617,-0.080602243061111,-0.09495670806600898,0.17011030816061437,-0.4020992998932495,-0.27481552502792905,-0.1366331950163772,-0.21646130361643487
80%,-0.4642706047042518,-0.4500772190242103,-0.1642636556944404,0.5320821839295642,0.8344881701398151,0.9586933268933149,1.0,0.822670842462604,0.5836625706056849,0.30284413400760535,0.2123855836830463,-0.07667737549316703,-0.1335540001743375,-0.11646663840804257,0.006825557972115853,0.005925966477881043,0.5172735005606212,0.7864855881533181,-0.0739387534474026,-0.1215392104385788,0.3339442204968317,-0.5153273693590289,-0.35582670032272123,-0.2961729642789905,-0.33005500752130473
90%,-0.7534087526039076,-0.7519801582991578,-0.23787508070863048,0.09372428655729227,0.46382726078816006,0.7040473008453545,0.822670842462604,1.0,0.9217468206935834,0.7310079516955883,0.6227617661109843,0.2201322311299723,-0.09471842804112217,-0.13312946125416775,-0.3258071580376974,-0.3346906938079482,0.07568406249371704,0.4558852174717475,-0.06605204432686654,-0.13809263844860808,0.7095534240195499,-0.7071467224936304,-0.4905734112460729,-0.626278972410819,-0.5589879702781
95%,-0.7872262106669662,-0.8257055563349542,-0.22243438930694712,-0.22188617932242594,0.14210463051026748,0.4214196237403004,0.5836625706056849,0.9217468206935834,1.0,0.9124610287600547,0.8262095802737258,0.3966599816297107,-0.03553328188169768,-0.09020796387024901,-0.4493491577430872,-0.45793422709284304,-0.23868964350746302,0.16242607671705864,-0.07116348680106643,-0.09473165850726967,0.8269602549485137,-0.7131075156690961,-0.4751528774405108,-0.7500797089449222,-0.6034825753682886
98%,-0.6758372053229522,-0.7365622386492283,-0.15166506870741717,-0.5276627231224987,-0.16241767871642276,0.12240017495747882,0.30284413400760535,0.7310079516955883,0.9124610287600547,1.0,0.9662754863768935,0.6125260567256112,0.08554810898916411,0.008434260221724912,-0.6017751138412581,-0.6034183546865729,-0.5413865645527053,-0.19148657476372533,-0.10211843576414499,0.004777768211064699,0.823278670051318,-0.5573194181078325,-0.343882911545352,-0.7413178377643423,-0.5718964323625969
