timestamp,dana_cpu,dana_mem,remote_cpu,remote_mem
1787105321,123m,13Mi,1m,13Mi
1787105322,123m,13Mi,1m,13Mi
1787105323,123m,13Mi,1m,13Mi
1787105324,123m,13Mi,1m,13Mi
1787105325,123m,13Mi,1m,13Mi
1787105326,123m,13Mi,1m,13Mi
1787105328,123m,13Mi,1m,13Mi
1787105329,123m,13Mi,1m,13Mi
1787105330,123m,13Mi,1m,13Mi
1787105331,123m,13Mi,1m,13Mi
1787105332,123m,13Mi,1m,13Mi
1787105333,123m,13Mi,1m,13Mi
1787105334,133m,18Mi,7m,16Mi
1787105335,133m,18Mi,7m,16Mi
1787105337,133m,18Mi,7m,16Mi
1787105338,133m,18Mi,7m,16Mi
1787105339,133m,18Mi,7m,16Mi
1787105340,133m,18Mi,7m,16Mi
1787105341,133m,18Mi,7m,16Mi
1787105342,133m,18Mi,7m,16Mi
1787105343,133m,18Mi,7m,16Mi
1787105344,133m,18Mi,7m,16Mi
1787105346,133m,18Mi,7m,16Mi
1787105347,133m,18Mi,7m,16Mi
1787105348,133m,18Mi,7m,16Mi
1787105349,693m,19Mi,85m,18Mi
1787105350,693m,19Mi,85m,18Mi
1787105351,693m,19Mi,85m,18Mi
1787105352,693m,19Mi,85m,18Mi
1787105354,693m,19Mi,85m,18Mi
1787105355,693m,19Mi,85m,18Mi
1787105356,693m,19Mi,85m,18Mi
1787105357,693m,19Mi,85m,18Mi
1787105358,693m,19Mi,85m,18Mi
1787105359,693m,19Mi,85m,18Mi
1787105360,693m,19Mi,85m,18Mi
1787105361,693m,19Mi,85m,18Mi
1787105363,693m,19Mi,85m,18Mi
1787105364,1063m,19Mi,85m,18Mi
1787105365,1063m,19Mi,85m,18Mi
1787105366,1063m,19Mi,85m,18Mi
1787105367,1063m,19Mi,85m,18Mi
1787105368,1063m,19Mi,85m,18Mi
1787105369,1063m,19Mi,85m,18Mi
1787105371,1063m,19Mi,85m,18Mi
1787105372,1063m,19Mi,85m,18Mi
1787105373,1063m,19Mi,85m,18Mi
1787105374,1063m,19Mi,85m,18Mi
1787105375,1063m,19Mi,85m,18Mi
1787105376,1063m,19Mi,85m,18Mi
1787105377,1063m,19Mi,85m,18Mi
1787105378,1078m,21Mi,240m,20Mi
1787105380,1078m,21Mi,240m,20Mi
1787105381,1078m,21Mi,240m,20Mi
1787105382,1078m,21Mi,240m,20Mi
1787105383,1078m,21Mi,240m,20Mi
1787105384,1078m,21Mi,240m,20Mi
1787105385,1078m,21Mi,240m,20Mi
1787105386,1078m,21Mi,240m,20Mi
1787105387,1078m,21Mi,240m,20Mi
1787105388,1078m,21Mi,240m,20Mi
1787105390,1078m,21Mi,240m,20Mi
1787105391,1078m,21Mi,240m,20Mi
1787105392,1078m,21Mi,240m,20Mi
1787105393,1078m,21Mi,240m,20Mi
1787105394,925m,20Mi,220m,19Mi
1787105395,925m,20Mi,220m,19Mi
1787105396,925m,20Mi,220m,19Mi
1787105397,925m,20Mi,220m,19Mi
1787105399,925m,20Mi,220m,19Mi
1787105400,925m,20Mi,220m,19Mi
1787105401,925m,20Mi,220m,19Mi
1787105402,925m,20Mi,220m,19Mi
1787105403,925m,20Mi,220m,19Mi
1787105404,925m,20Mi,220m,19Mi
1787105405,925m,20Mi,220m,19Mi
1787105406,925m,20Mi,220m,19Mi
1787105408,925m,20Mi,220m,19Mi
1787105409,1195m,20Mi,230m,19Mi
1787105410,1195m,20Mi,230m,19Mi
1787105411,1195m,20Mi,230m,19Mi
1787105412,1195m,20Mi,230m,19Mi
1787105413,1195m,20Mi,230m,19Mi
1787105414,1195m,20Mi,230m,19Mi
1787105415,1195m,20Mi,230m,19Mi
1787105417,1195m,20Mi,230m,19Mi
1787105418,1195m,20Mi,230m,19Mi
1787105419,1195m,20Mi,230m,19Mi
1787105420,1195m,20Mi,230m,19Mi
1787105421,1195m,20Mi,230m,19Mi
1787105422,1195m,20Mi,230m,19Mi
1787105423,829m,20Mi,212m,21Mi
1787105424,829m,20Mi,212m,21Mi
1787105426,829m,20Mi,212m,21Mi
1787105427,829m,20Mi,212m,21Mi
1787105428,829m,20Mi,212m,21Mi
