timestamp,cacheHits,cacheMiss,total_latency,cacheSize,hits_per_sec,misses_per_sec,requests_per_sec,cache_hit_ratio
1786935862,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
1786935863,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0
1786935864,0.0,2.0,265.0,0.0,0.0,2.0,2.0,0.0
1786935865,0.0,5.0,227.0,0.0,0.0,3.0,3.0,0.0
1786935866,0.0,10.0,319.0,0.0,0.0,5.0,5.0,0.0
1786935867,0.0,17.0,437.0,0.0,0.0,7.0,7.0,0.0
1786935868,0.0,24.0,514.0,0.0,0.0,7.0,7.0,0.0
1786935869,0.0,28.0,652.0,0.0,0.0,4.0,4.0,0.0
1786935870,0.0,32.0,852.0,0.0,0.0,4.0,4.0,0.0
1786935871,0.0,35.0,938.0,0.0,0.0,3.0,3.0,0.0
1786935872,0.0,40.0,1212.0,0.0,0.0,5.0,5.0,0.0
1786935873,0.0,43.0,1265.0,0.0,0.0,3.0,3.0,0.0
1786935874,0.0,52.0,1263.0,0.0,0.0,9.0,9.0,0.0
1786935875,1.0,67.0,1251.0,0.0,1.0,15.0,16.0,0.0625
1786935876,4.0,71.0,1171.0,0.0,3.0,4.0,7.0,0.42857142857142855
1786935877,9.0,74.0,1173.0,0.0,5.0,3.0,8.0,0.625
1786935878,11.0,81.0,1262.0,0.0,2.0,7.0,9.0,0.2222222222222222
1786935879,12.0,86.0,1287.0,0.0,1.0,5.0,6.0,0.16666666666666666
1786935880,12.0,91.0,1337.0,0.0,0.0,5.0,5.0,0.0
1786935881,12.0,95.0,1451.0,0.0,0.0,4.0,4.0,0.0
1786935882,13.0,96.0,1487.0,0.0,1.0,1.0,2.0,0.5
1786935883,14.0,104.0,1724.0,0.0,1.0,8.0,9.0,0.1111111111111111
1786935884,15.0,109.0,1748.0,0.0,1.0,5.0,6.0,0.16666666666666666
1786935885,21.0,111.0,1737.0,0.0,6.0,2.0,8.0,0.75
1786935886,32.0,116.0,1638.0,0.0,11.0,5.0,16.0,0.6875
1786935887,47.0,125.0,1535.0,0.0,15.0,9.0,24.0,0.625
1786935888,66.0,132.0,1354.0,0.0,19.0,7.0,26.0,0.7307692307692307
1786935889,89.0,134.0,1217.0,0.0,23.0,2.0,25.0,0.92
1786935890,111.0,141.0,1091.0,0.0,22.0,7.0,29.0,0.7586206896551724
1786935891,137.0,144.0,991.0,0.0,26.0,3.0,29.0,0.896551724137931
1786935892,157.0,152.0,910.0,0.0,20.0,8.0,28.0,0.7142857142857143
1786935893,184.0,155.0,839.0,0.0,27.0,3.0,30.0,0.9
1786935894,211.0,159.0,777.0,0.0,27.0,4.0,31.0,0.8709677419354839
1786935895,237.0,168.0,723.0,0.0,26.0,9.0,35.0,0.7428571428571429
1786935896,268.0,171.0,679.0,0.0,31.0,3.0,34.0,0.9117647058823529
1786935897,299.0,173.0,642.0,0.0,31.0,2.0,33.0,0.9393939393939394
1786935898,330.0,178.0,600.0,0.0,31.0,5.0,36.0,0.8611111111111112
1786935899,330.0,178.0,600.0,0.0,0.0,0.0,0.0,0.0
1786935900,355.0,182.0,577.0,0.0,25.0,4.0,29.0,0.8620689655172413
1786935901,393.0,187.0,541.0,0.0,38.0,5.0,43.0,0.8837209302325582
1786935902,424.0,196.0,519.0,0.0,31.0,9.0,40.0,0.775
1786935903,459.0,203.0,491.0,0.0,35.0,7.0,42.0,0.8333333333333334
1786935904,488.0,212.0,476.0,0.0,29.0,9.0,38.0,0.7631578947368421
1786935905,532.0,215.0,449.0,0.0,44.0,3.0,47.0,0.9361702127659575
1786935906,566.0,218.0,433.0,0.0,34.0,3.0,37.0,0.918918918918919
1786935907,605.0,225.0,414.0,0.0,39.0,7.0,46.0,0.8478260869565217
1786935908,648.0,228.0,396.0,0.0,43.0,3.0,46.0,0.9347826086956522
1786935909,689.0,233.0,381.0,0.0,41.0,5.0,46.0,0.8913043478260869
1786935910,721.0,239.0,372.0,0.0,32.0,6.0,38.0,0.8421052631578947
1786935911,758.0,245.0,364.0,0.0,37.0,6.0,43.0,0.8604651162790697
1786935912,800.0,250.0,357.0,0.0,42.0,5.0,47.0,0.8936170212765957
1786935913,849.0,253.0,355.0,0.0,49.0,3.0,52.0,0.9423076923076923
1786935914,891.0,255.0,354.0,0.0,42.0,2.0,44.0,0.9545454545454546
1786935915,937.0,262.0,352.0,0.0,46.0,7.0,53.0,0.8679245283018868
1786935916,995.0,268.0,345.0,0.0,58.0,6.0,64.0,0.90625
1786935917,1044.0,269.0,336.0,0.0,49.0,1.0,50.0,0.98
1786935918,1085.0,276.0,331.0,0.0,41.0,7.0,48.0,0.8541666666666666
1786935919,1130.0,283.0,322.0,0.0,45.0,7.0,52.0,0.8653846153846154
1786935920,1172.0,287.0,317.0,0.0,42.0,4.0,46.0,0.9130434782608695
1786935921,1213.0,293.0,315.0,0.0,41.0,6.0,47.0,0.8723404255319149
1786935922,1254.0,295.0,315.0,0.0,41.0,2.0,43.0,0.9534883720930233
1786935923,1301.0,301.0,314.0,0.0,47.0,6.0,53.0,0.8867924528301887
1786935924,1349.0,308.0,314.0,0.0,48.0,7.0,55.0,0.8727272727272727
1786935925,1390.0,310.0,315.0,0.0,41.0,2.0,43.0,0.9534883720930233
1786935926,1441.0,317.0,313.0,0.0,51.0,7.0,58.0,0.8793103448275862
