Sample,Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Captured Timestamp,Dana CPU,Dana Memory,Remote CPU,Remote Memory
0,1786763064,0,,Aggregated,0.0,0.0,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,2026-08-15 03:04:30,0.0,12.0,0.0,17.0
1,1786763065,2,,Aggregated,0.0,0.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,2,0,540,544.1392499924405,538.8377000053879,549.440799979493,820.0,2026-08-15 03:04:31,0.0,12.0,0.0,17.0
2,1786763066,4,,Aggregated,0.0,0.0,550.0,550.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,6,0,540,496.1855833292551,68.82419998873957,762.8061000141315,682.8333333333334,2026-08-15 03:04:32,0.0,12.0,0.0,17.0
3,1786763067,8,,Aggregated,2.0,0.0,540.0,550.0,760.0,760.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,10,0,530,482.82731999934185,68.82419998873957,941.9349999807308,656.4,2026-08-15 03:04:33,0.0,12.0,0.0,17.0
4,1786763068,10,,Aggregated,2.0,0.0,550.0,760.0,890.0,890.0,1100.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,16,0,540,581.8369187509234,68.82419998873957,1212.7244000148494,666.9375,2026-08-15 03:04:35,0.0,12.0,0.0,17.0
5,1786763069,10,,Aggregated,3.0,0.0,690.0,890.0,980.0,1100.0,1300.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,20,0,630,697.6711050025187,68.82419998873957,1743.7798000173643,697.3,2026-08-15 03:04:36,0.0,12.0,0.0,17.0
6,1786763070,10,,Aggregated,3.0,0.0,690.0,940.0,1100.0,1200.0,1300.0,1700.0,2300.0,2300.0,2300.0,2300.0,2300.0,23,0,690,760.6503913070217,46.82750001666136,2276.1600999801885,677.9565217391304,2026-08-15 03:04:37,0.0,12.0,0.0,17.0
7,1786763071,10,,Aggregated,3.6,0.0,760.0,1100.0,1300.0,1700.0,2300.0,2400.0,3400.0,3400.0,3400.0,3400.0,3400.0,27,0,760,1011.6586000033378,46.82750001666136,3404.6354000165597,699.0,2026-08-15 03:04:38,0.0,12.0,0.0,17.0
8,1786763072,10,,Aggregated,3.833333,0.0,980.0,1300.0,2000.0,2100.0,2900.0,3400.0,3700.0,3700.0,3700.0,3700.0,3700.0,33,0,980,1274.5336303055271,46.82750001666136,3683.998900000006,721.0,2026-08-15 03:04:39,44.0,17.0,11.0,21.0
9,1786763073,10,,Aggregated,3.714286,0.0,1100.0,1900.0,2000.0,2100.0,2900.0,3700.0,3800.0,3800.0,3800.0,3800.0,3800.0,37,0,1100,1343.66249729961,46.82750001666136,3777.9057000007015,709.7297297297297,2026-08-15 03:04:40,44.0,17.0,11.0,21.0
10,1786763074,10,,Aggregated,3.875,0.0,1200.0,1900.0,2100.0,2400.0,2900.0,3700.0,3800.0,3800.0,3800.0,3800.0,3800.0,40,0,1200,1420.8973475018863,46.82750001666136,3777.9057000007015,718.0,2026-08-15 03:04:41,44.0,17.0,11.0,21.0
11,1786763075,15,,Aggregated,4.0,0.0,1200.0,1900.0,2100.0,2400.0,2800.0,3400.0,3700.0,3800.0,3800.0,3800.0,3800.0,51,0,1200,1389.99499411975,46.82750001666136,3777.9057000007015,672.6078431372549,2026-08-15 03:04:42,44.0,17.0,11.0,21.0
12,1786763076,20,,Aggregated,3.8,0.0,1200.0,1900.0,2100.0,2300.0,2800.0,3400.0,3700.0,3800.0,3800.0,3800.0,3800.0,61,0,1200,1342.9609852471797,46.82750001666136,3777.9057000007015,640.655737704918,2026-08-15 03:04:43,44.0,17.0,11.0,21.0
13,1786763077,20,,Aggregated,3.8,0.0,1100.0,1800.0,2000.0,2100.0,2800.0,3400.0,3700.0,3800.0,3800.0,3800.0,3800.0,68,0,980,1250.333658824863,46.82750001666136,3777.9057000007015,608.6617647058823,2026-08-15 03:04:45,44.0,17.0,11.0,21.0
14,1786763078,20,,Aggregated,5.6,0.0,980.0,1800.0,2100.0,2400.0,2900.0,3600.0,3800.0,4300.0,4300.0,4300.0,4300.0,77,0,980,1270.7536246766665,46.82750001666136,4298.023400013335,591.038961038961,2026-08-15 03:04:46,44.0,17.0,11.0,21.0
15,1786763079,20,,Aggregated,5.9,0.0,980.0,1900.0,2100.0,2600.0,2900.0,3600.0,4000.0,4300.0,4300.0,4300.0,4300.0,83,0,980,1313.115760242547,46.82750001666136,4298.023400013335,583.8674698795181,2026-08-15 03:04:47,44.0,17.0,11.0,21.0
16,1786763080,20,,Aggregated,6.0,0.0,1200.0,1900.0,2300.0,2700.0,3200.0,3600.0,4000.0,4300.0,4300.0,4300.0,4300.0,88,0,1100,1351.4571579560818,46.82750001666136,4298.023400013335,589.8977272727273,2026-08-15 03:04:48,44.0,17.0,11.0,21.0
17,1786763081,20,,Aggregated,6.4,0.0,1200.0,1900.0,2400.0,2700.0,3300.0,3800.0,4800.0,5700.0,5700.0,5700.0,5700.0,92,0,1200,1450.5322510882727,46.82750001666136,5724.061499990057,599.8478260869565,2026-08-15 03:04:49,44.0,17.0,11.0,21.0
18,1786763082,20,,Aggregated,6.4,0.0,1200.0,2000.0,2500.0,2800.0,3400.0,4000.0,5300.0,5700.0,5700.0,5700.0,5700.0,94,0,1200,1513.67471808663,46.82750001666136,5724.061499990057,604.531914893617,2026-08-15 03:04:50,44.0,17.0,11.0,21.0
19,1786763083,20,,Aggregated,6.4,0.0,1200.0,2000.0,2700.0,2900.0,3800.0,4300.0,5500.0,5700.0,7200.0,7200.0,7200.0,101,0,1200,1654.6034227738544,46.82750001666136,7233.084500010591,606.4554455445544,2026-08-15 03:04:51,44.0,17.0,11.0,21.0
20,1786763084,20,,Aggregated,6.3,0.0,1500.0,2100.0,2900.0,3300.0,4000.0,4800.0,5700.0,7200.0,8500.0,8500.0,8500.0,108,0,1300,1775.2683564831386,46.82750001666136,8505.20030001644,608.2129629629629,2026-08-15 03:04:52,44.0,17.0,11.0,21.0
21,1786763085,21,,Aggregated,6.1,0.0,1300.0,2300.0,2900.0,3400.0,4000.0,5500.0,7100.0,7200.0,8500.0,8500.0,8500.0,117,0,1300,1824.2988316252683,46.82750001666136,8505.20030001644,595.2564102564103,2026-08-15 03:04:53,44.0,17.0,11.0,21.0
22,1786763086,23,,Aggregated,6.9,0.0,1200.0,2100.0,2900.0,3500.0,4100.0,5500.0,7200.0,8500.0,11000.0,11000.0,11000.0,135,1,1200,1830.792039260268,46.82750001666136,11289.689299999736,561.0592592592593,2026-08-15 03:04:55,220.0,19.0,33.0,23.0
23,1786763087,24,,Aggregated,6.6,0.0,940.0,2000.0,2900.0,3300.0,4000.0,5500.0,7100.0,8500.0,11000.0,11000.0,11000.0,154,1,890,1678.3173642869262,46.82750001666136,11289.689299999736,538.6948051948052,2026-08-15 03:04:56,220.0,19.0,33.0,23.0
24,1786763088,25,,Aggregated,6.7,0.1,500.0,1900.0,2800.0,3200.0,4000.0,5500.0,7100.0,8500.0,11000.0,11000.0,11000.0,184,1,460,1568.0177217403505,46.82750001666136,11289.689299999736,518.2934782608696,2026-08-15 03:04:57,220.0,19.0,33.0,23.0
25,1786763089,26,,Aggregated,8.0,0.1,290.0,1700.0,2500.0,3000.0,3900.0,5400.0,6800.0,7200.0,11000.0,11000.0,11000.0,208,1,280,1405.210993750398,46.82750001666136,11289.689299999736,490.22115384615387,2026-08-15 03:04:58,220.0,19.0,33.0,23.0
26,1786763090,27,,Aggregated,10.4,0.1,280.0,1100.0,2000.0,2800.0,3800.0,5300.0,6800.0,7200.0,11000.0,11000.0,11000.0,235,1,280,1273.3926157447252,46.82750001666136,11289.689299999736,473.0553191489362,2026-08-15 03:04:59,220.0,19.0,33.0,23.0
27,1786763091,28,,Aggregated,12.2,0.1,250.0,550.0,1800.0,2400.0,3700.0,4800.0,6100.0,7200.0,11000.0,11000.0,11000.0,263,1,250,1155.6807277563023,46.82750001666136,11289.689299999736,450.9239543726236,2026-08-15 03:05:00,220.0,19.0,33.0,23.0
28,1786763092,29,,Aggregated,14.3,0.1,230.0,360.0,1500.0,2000.0,3600.0,4300.0,6100.0,7200.0,11000.0,11000.0,11000.0,290,2,230,1063.9184734480984,46.82750001666136,11289.689299999736,431.1827586206896,2026-08-15 03:05:01,220.0,19.0,33.0,23.0
