Sample,Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Captured Timestamp,Dana CPU,Dana Memory,Remote CPU,Remote Memory
0,1786717338,0,,Aggregated,0.0,0.0,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,2026-08-14 14:22:18,1.0,16.0,6.0,20.0
1,1786717339,2,,Aggregated,0.0,0.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,2,0,522.3352810135111,533.4653600002639,522.3352810135111,544.5954389870167,830.0,2026-08-14 14:22:20,1.0,16.0,6.0,20.0
2,1786717340,4,,Aggregated,0.0,0.0,690.0,690.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,6,0,540.0,640.3464050187418,286.9530620519072,901.5353850554676,830.0,2026-08-14 14:22:21,1.0,16.0,6.0,20.0
3,1786717341,6,,Aggregated,0.0,0.0,690.0,720.0,840.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,10,0,540.0,573.395017394796,84.21664196066558,901.5353850554676,747.7,2026-08-14 14:22:22,1.0,16.0,6.0,20.0
4,1786717342,8,,Aggregated,1.5,0.0,690.0,840.0,900.0,900.0,1100.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,14,0,540.0,665.5425259377807,84.21664196066558,1630.592497996986,771.2142857142857,2026-08-14 14:22:23,1.0,16.0,6.0,20.0
5,1786717343,10,,Aggregated,2.666667,0.0,840.0,900.0,1200.0,1400.0,1600.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,18,0,720.0,844.355139499789,84.21664196066558,1716.1459589842707,784.2777777777778,2026-08-14 14:22:24,0.0,16.0,0.0,18.0
6,1786717344,10,,Aggregated,2.75,0.0,900.0,1100.0,1200.0,1400.0,1600.0,1700.0,2300.0,2300.0,2300.0,2300.0,2300.0,21,0,900.0,936.529808234246,84.21664196066558,2334.1992519563064,790.3333333333334,2026-08-14 14:22:25,0.0,16.0,0.0,18.0
7,1786717345,10,,Aggregated,3.0,0.0,1100.0,1400.0,1600.0,1700.0,2600.0,2900.0,3300.0,3300.0,3300.0,3300.0,3300.0,26,0,1000.0,1206.9868190760294,84.21664196066558,3270.211493014358,797.9615384615385,2026-08-14 14:22:26,0.0,16.0,0.0,18.0
8,1786717346,10,,Aggregated,3.0,0.0,1100.0,1700.0,2000.0,2500.0,3200.0,3400.0,3500.0,3500.0,3500.0,3500.0,3500.0,33,0,1100.0,1445.6466498721222,62.27591703645885,3531.1485449783504,779.6666666666666,2026-08-14 14:22:27,0.0,16.0,0.0,18.0
9,1786717347,10,,Aggregated,3.142857,0.0,1400.0,1700.0,1800.0,2300.0,3200.0,3400.0,3500.0,3500.0,3500.0,3500.0,3500.0,38,0,1200.0,1451.5284014387842,62.27591703645885,3531.1485449783504,786.2894736842105,2026-08-14 14:22:28,0.0,16.0,0.0,18.0
10,1786717348,10,,Aggregated,3.25,0.0,1400.0,1700.0,1900.0,2300.0,2900.0,3300.0,3500.0,3500.0,3500.0,3500.0,3500.0,41,0,1400.0,1482.2870846298274,62.27591703645885,3531.1485449783504,789.4878048780488,2026-08-14 14:22:30,0.0,16.0,0.0,18.0
11,1786717349,15,,Aggregated,3.777778,0.0,1500.0,1800.0,2000.0,2500.0,2900.0,3300.0,3500.0,3500.0,3500.0,3500.0,3500.0,44,0,1500.0,1532.507127314933,62.27591703645885,3531.1485449783504,792.0227272727273,2026-08-14 14:22:31,0.0,16.0,0.0,18.0
12,1786717350,20,,Aggregated,3.9,0.0,1600.0,1900.0,2400.0,2600.0,3200.0,3400.0,4100.0,4100.0,4100.0,4100.0,4100.0,48,0,1500.0,1610.7993788270203,62.27591703645885,4090.885241981596,781.2916666666666,2026-08-14 14:22:32,0.0,16.0,0.0,18.0
13,1786717351,20,,Aggregated,4.2,0.0,1600.0,2000.0,2600.0,2700.0,3200.0,3400.0,3500.0,4100.0,4100.0,4100.0,4100.0,56,0,1600.0,1671.1650405133175,61.20298500172794,4090.885241981596,764.5892857142857,2026-08-14 14:22:33,0.0,16.0,0.0,18.0
14,1786717352,20,,Aggregated,4.2,0.0,1700.0,2000.0,2600.0,2900.0,3200.0,3500.0,4100.0,4800.0,4800.0,4800.0,4800.0,65,0,1700.0,1730.0630540587008,46.49731097742915,4771.636152989231,740.723076923077,2026-08-14 14:22:34,0.0,16.0,0.0,18.0
15,1786717353,20,,Aggregated,4.1,0.0,1600.0,2000.0,2700.0,3000.0,3200.0,3900.0,4800.0,5200.0,5200.0,5200.0,5200.0,74,0,1600.0,1684.648435309567,46.04758601635695,5247.149987029843,695.7567567567568,2026-08-14 14:22:35,0.0,16.0,0.0,18.0
16,1786717354,20,,Aggregated,4.7,0.0,1600.0,2500.0,2900.0,3100.0,3500.0,4400.0,5500.0,5600.0,5600.0,5600.0,5600.0,88,0,1600.0,1742.7080410892484,46.04758601635695,5647.235459997319,662.6136363636364,2026-08-14 14:22:36,0.0,16.0,0.0,18.0
17,1786717355,20,,Aggregated,5.4,0.0,1600.0,2400.0,2700.0,3100.0,3500.0,4800.0,5500.0,5600.0,5600.0,5600.0,5600.0,94,0,1500.0,1695.720431241306,46.04758601635695,5647.235459997319,645.4787234042553,2026-08-14 14:22:37,0.0,16.0,0.0,18.0
18,1786717356,20,,Aggregated,5.9,0.0,1400.0,2000.0,2700.0,3000.0,3800.0,4400.0,5400.0,5500.0,5600.0,5600.0,5600.0,110,0,1400.0,1599.0047240989622,46.04758601635695,5647.235459997319,642.3727272727273,2026-08-14 14:22:39,64.0,22.0,15.0,23.0
