timestamp,dana_cpu,dana_mem,remote_cpu,remote_mem
1786763070,0m,12Mi,0m,17Mi
1786763071,0m,12Mi,0m,17Mi
1786763072,0m,12Mi,0m,17Mi
1786763073,0m,12Mi,0m,17Mi
1786763075,0m,12Mi,0m,17Mi
1786763076,0m,12Mi,0m,17Mi
1786763077,0m,12Mi,0m,17Mi
1786763078,0m,12Mi,0m,17Mi
1786763079,44m,17Mi,11m,21Mi
1786763080,44m,17Mi,11m,21Mi
1786763081,44m,17Mi,11m,21Mi
1786763082,44m,17Mi,11m,21Mi
1786763083,44m,17Mi,11m,21Mi
1786763085,44m,17Mi,11m,21Mi
1786763086,44m,17Mi,11m,21Mi
1786763087,44m,17Mi,11m,21Mi
1786763088,44m,17Mi,11m,21Mi
1786763089,44m,17Mi,11m,21Mi
1786763090,44m,17Mi,11m,21Mi
1786763091,44m,17Mi,11m,21Mi
1786763092,44m,17Mi,11m,21Mi
1786763093,44m,17Mi,11m,21Mi
1786763095,220m,19Mi,33m,23Mi
1786763096,220m,19Mi,33m,23Mi
1786763097,220m,19Mi,33m,23Mi
1786763098,220m,19Mi,33m,23Mi
1786763099,220m,19Mi,33m,23Mi
1786763100,220m,19Mi,33m,23Mi
1786763101,220m,19Mi,33m,23Mi
1786763102,220m,19Mi,33m,23Mi
1786763103,220m,19Mi,33m,23Mi
1786763105,220m,19Mi,33m,23Mi
1786763106,220m,19Mi,33m,23Mi
1786763107,220m,19Mi,33m,23Mi
1786763108,220m,19Mi,33m,23Mi
1786763109,637m,19Mi,134m,25Mi
1786763110,637m,19Mi,134m,25Mi
1786763111,637m,19Mi,134m,25Mi
1786763112,637m,19Mi,134m,25Mi
1786763114,637m,19Mi,134m,25Mi
1786763115,637m,19Mi,134m,25Mi
1786763116,637m,19Mi,134m,25Mi
1786763117,637m,19Mi,134m,25Mi
1786763118,637m,19Mi,134m,25Mi
1786763119,637m,19Mi,134m,25Mi
1786763120,637m,19Mi,134m,25Mi
1786763121,637m,19Mi,134m,25Mi
1786763122,637m,19Mi,134m,25Mi
1786763124,921m,20Mi,216m,26Mi
1786763125,921m,20Mi,216m,26Mi
1786763126,921m,20Mi,216m,26Mi
1786763127,921m,20Mi,216m,26Mi
1786763128,921m,20Mi,216m,26Mi
1786763129,921m,20Mi,216m,26Mi
1786763130,921m,20Mi,216m,26Mi
1786763131,921m,20Mi,216m,26Mi
1786763133,921m,20Mi,216m,26Mi
1786763134,921m,20Mi,216m,26Mi
1786763135,921m,20Mi,216m,26Mi
1786763136,921m,20Mi,216m,26Mi
1786763137,921m,20Mi,216m,26Mi
1786763138,921m,20Mi,216m,26Mi
1786763139,1000m,23Mi,221m,26Mi
1786763140,1000m,23Mi,221m,26Mi
1786763142,1000m,23Mi,221m,26Mi
1786763143,1000m,23Mi,221m,26Mi
1786763144,1000m,23Mi,221m,26Mi
1786763145,1000m,23Mi,221m,26Mi
1786763146,1000m,23Mi,221m,26Mi
1786763147,1000m,23Mi,221m,26Mi
1786763148,1000m,23Mi,221m,26Mi
1786763149,1000m,23Mi,221m,26Mi
1786763150,1000m,23Mi,221m,26Mi
1786763152,1000m,23Mi,221m,26Mi
1786763153,1000m,23Mi,221m,26Mi
1786763154,1000m,23Mi,221m,26Mi
1786763155,1000m,23Mi,221m,26Mi
1786763156,1000m,23Mi,221m,26Mi
1786763157,1000m,23Mi,221m,26Mi
1786763158,1000m,23Mi,221m,26Mi
1786763159,1000m,23Mi,221m,26Mi
1786763161,1000m,23Mi,221m,26Mi
1786763162,1000m,23Mi,221m,26Mi
1786763163,1000m,23Mi,221m,26Mi
1786763164,1000m,23Mi,221m,26Mi
1786763165,1000m,23Mi,221m,26Mi
1786763166,1000m,23Mi,221m,26Mi
1786763167,1000m,23Mi,221m,26Mi
1786763168,1000m,23Mi,203m,26Mi
1786763170,1000m,23Mi,203m,26Mi
1786763171,1000m,23Mi,203m,26Mi
1786763172,1000m,23Mi,203m,26Mi
1786763173,1000m,23Mi,203m,26Mi
1786763174,1000m,23Mi,203m,26Mi
1786763175,1000m,23Mi,203m,26Mi
1786763176,1000m,23Mi,203m,26Mi
1786763177,1000m,23Mi,203m,26Mi
1786763179,1000m,23Mi,203m,26Mi
1786763180,1000m,23Mi,203m,26Mi
1786763181,1000m,23Mi,203m,26Mi
1786763182,1000m,23Mi,203m,26Mi
1786763183,1000m,23Mi,203m,26Mi
1786763184,1000m,23Mi,193m,25Mi
1786763185,1000m,23Mi,193m,25Mi
1786763186,1000m,23Mi,193m,25Mi
1786763188,1000m,23Mi,193m,25Mi
1786763189,1000m,23Mi,193m,25Mi
1786763190,1000m,23Mi,193m,25Mi
1786763191,1000m,23Mi,193m,25Mi
1786763192,1000m,23Mi,193m,25Mi
1786763193,1000m,23Mi,193m,25Mi
1786763194,1000m,23Mi,193m,25Mi
1786763195,1000m,23Mi,193m,25Mi
1786763197,1000m,23Mi,193m,25Mi
1786763198,1000m,23Mi,193m,25Mi
1786763199,1000m,25Mi,182m,26Mi
