timestamp,dana_cpu,dana_mem,remote_cpu,remote_mem
1786855577,0m,12Mi,0m,20Mi
1786855578,0m,12Mi,0m,20Mi
1786855579,0m,12Mi,0m,20Mi
1786855580,0m,12Mi,0m,20Mi
1786855581,0m,12Mi,0m,20Mi
1786855582,0m,12Mi,0m,20Mi
1786855584,42m,17Mi,1m,21Mi
1786855585,42m,17Mi,1m,21Mi
1786855586,42m,17Mi,1m,21Mi
1786855587,42m,17Mi,1m,21Mi
1786855588,42m,17Mi,1m,21Mi
1786855589,42m,17Mi,1m,21Mi
1786855590,42m,17Mi,1m,21Mi
1786855591,42m,17Mi,1m,21Mi
1786855592,42m,17Mi,1m,21Mi
1786855594,42m,17Mi,1m,21Mi
1786855595,42m,17Mi,1m,21Mi
1786855596,42m,17Mi,1m,21Mi
1786855597,42m,17Mi,1m,21Mi
1786855598,42m,17Mi,1m,21Mi
1786855599,439m,20Mi,44m,24Mi
1786855600,439m,20Mi,44m,24Mi
1786855601,439m,20Mi,44m,24Mi
1786855603,439m,20Mi,44m,24Mi
1786855604,439m,20Mi,44m,24Mi
1786855605,439m,20Mi,44m,24Mi
1786855606,439m,20Mi,44m,24Mi
1786855607,439m,20Mi,44m,24Mi
1786855608,439m,20Mi,44m,24Mi
1786855609,439m,20Mi,44m,24Mi
1786855610,439m,20Mi,44m,24Mi
1786855611,439m,20Mi,44m,24Mi
1786855613,439m,20Mi,44m,24Mi
1786855614,676m,20Mi,148m,24Mi
1786855615,676m,20Mi,148m,24Mi
1786855616,676m,20Mi,148m,24Mi
1786855617,676m,20Mi,148m,24Mi
1786855618,676m,20Mi,148m,24Mi
1786855619,676m,20Mi,148m,24Mi
1786855620,676m,20Mi,148m,24Mi
1786855622,676m,20Mi,148m,24Mi
1786855623,676m,20Mi,148m,24Mi
1786855624,676m,20Mi,148m,24Mi
1786855625,676m,20Mi,148m,24Mi
1786855626,676m,20Mi,148m,24Mi
1786855627,676m,20Mi,148m,24Mi
1786855628,943m,26Mi,188m,24Mi
1786855629,943m,26Mi,188m,24Mi
1786855631,943m,26Mi,188m,24Mi
1786855632,943m,26Mi,188m,24Mi
1786855633,943m,26Mi,188m,24Mi
1786855634,943m,26Mi,188m,24Mi
1786855635,943m,26Mi,188m,24Mi
1786855636,943m,26Mi,188m,24Mi
1786855637,943m,26Mi,188m,24Mi
1786855638,943m,26Mi,188m,24Mi
1786855640,943m,26Mi,188m,24Mi
1786855641,943m,26Mi,188m,24Mi
1786855642,943m,26Mi,188m,24Mi
1786855643,943m,26Mi,188m,24Mi
1786855644,1000m,25Mi,200m,24Mi
1786855645,1000m,25Mi,200m,24Mi
1786855646,1000m,25Mi,200m,24Mi
1786855647,1000m,25Mi,200m,24Mi
1786855649,1000m,25Mi,200m,24Mi
1786855650,1000m,25Mi,200m,24Mi
1786855651,1000m,25Mi,200m,24Mi
1786855652,1000m,25Mi,200m,24Mi
1786855653,1000m,25Mi,200m,24Mi
1786855654,1000m,25Mi,200m,24Mi
1786855655,1000m,25Mi,200m,24Mi
1786855656,1000m,25Mi,200m,24Mi
1786855657,1000m,25Mi,200m,24Mi
1786855659,994m,31Mi,186m,24Mi
1786855660,994m,31Mi,186m,24Mi
1786855661,994m,31Mi,186m,24Mi
1786855662,994m,31Mi,186m,24Mi
1786855663,994m,31Mi,186m,24Mi
1786855664,994m,31Mi,186m,24Mi
1786855665,994m,31Mi,186m,24Mi
