Sample,Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Captured Timestamp,Dana CPU,Dana Memory,Remote CPU,Remote Memory
0,1786858298,0,,Aggregated,0.0,0.0,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,2026-08-16 05:31:41,0.0,13.0,0.0,15.0
1,1786858299,2,,Aggregated,0.0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,2,0,29,113.65585000021385,28.76560000004247,198.5461000003852,413.5,2026-08-16 05:31:42,0.0,13.0,0.0,15.0
2,1786858300,6,,Aggregated,0.0,0.0,350.0,350.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,6,0,200,335.96704999217764,28.76560000004247,627.3532999912277,687.0,2026-08-16 05:31:43,0.0,13.0,0.0,15.0
3,1786858301,8,,Aggregated,1.0,0.0,430.0,630.0,710.0,710.0,730.0,840.0,840.0,840.0,840.0,840.0,840.0,12,0,350,435.3188166569453,28.76560000004247,836.7692999891005,755.5833333333334,2026-08-16 05:31:44,0.0,13.0,0.0,15.0
4,1786858302,10,,Aggregated,1.0,0.0,450.0,630.0,710.0,710.0,830.0,840.0,840.0,840.0,840.0,840.0,840.0,16,0,430,468.5597312382015,28.76560000004247,836.7692999891005,772.8125,2026-08-16 05:31:45,0.0,13.0,0.0,15.0
5,1786858303,10,,Aggregated,2.0,0.0,630.0,730.0,830.0,840.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,22,0,580,586.0336999890437,28.76560000004247,1076.583199959714,786.6818181818181,2026-08-16 05:31:46,0.0,13.0,0.0,15.0
6,1786858304,10,,Aggregated,3.0,0.0,730.0,960.0,1100.0,1100.0,1300.0,1400.0,1800.0,1800.0,1800.0,1800.0,1800.0,36,0,730,726.7724305468922,22.202199965249747,1778.1828999868594,755.3888888888889,2026-08-16 05:31:47,0.0,13.0,0.0,15.0
7,1786858305,10,,Aggregated,3.2,0.0,720.0,840.0,1100.0,1100.0,1300.0,1400.0,1800.0,1800.0,1800.0,1800.0,1800.0,45,0,720,717.4031644386964,18.50229996489361,1778.1828999868594,750.5555555555555,2026-08-16 05:31:48,0.0,13.0,0.0,15.0
8,1786858306,10,,Aggregated,3.833333,0.0,710.0,830.0,1100.0,1100.0,1300.0,1400.0,1600.0,1800.0,1800.0,1800.0,1800.0,54,0,710,697.4278814752189,17.187599965836853,1778.1828999868594,747.5,2026-08-16 05:31:49,0.0,13.0,0.0,15.0
9,1786858307,10,,Aggregated,5.285714,0.0,710.0,830.0,1100.0,1100.0,1300.0,1400.0,1600.0,1800.0,1800.0,1800.0,1800.0,62,0,710,699.3632274135316,17.187599965836853,1778.1828999868594,744.0,2026-08-16 05:31:51,0.0,13.0,0.0,15.0
10,1786858308,10,,Aggregated,5.875,0.0,730.0,970.0,1100.0,1100.0,1400.0,1600.0,1700.0,1800.0,1800.0,1800.0,1800.0,68,0,730,755.4301779352553,17.187599965836853,1778.1828999868594,750.9558823529412,2026-08-16 05:31:52,0.0,13.0,0.0,15.0
11,1786858309,15,,Aggregated,6.0,0.0,730.0,980.0,1100.0,1100.0,1400.0,1600.0,1700.0,1800.0,1800.0,1800.0,1800.0,81,0,730,755.3735864147498,17.187599965836853,1778.1828999868594,728.2222222222222,2026-08-16 05:31:53,0.0,13.0,0.0,15.0
12,1786858310,20,,Aggregated,6.2,0.0,730.0,980.0,1100.0,1100.0,1400.0,1600.0,1800.0,2100.0,2100.0,2100.0,2100.0,90,0,730,741.4170888854036,17.187599965836853,2093.072099960409,708.7,2026-08-16 05:31:54,118.0,21.0,9.0,15.0
13,1786858311,20,,Aggregated,6.7,0.0,760.0,1100.0,1200.0,1400.0,1600.0,1900.0,2200.0,2400.0,2500.0,2500.0,2500.0,112,1,740,817.5262437492036,16.352100006770343,2474.08810001798,700.3392857142857,2026-08-16 05:31:55,118.0,21.0,9.0,15.0
14,1786858312,20,,Aggregated,7.9,0.0,730.0,1100.0,1200.0,1400.0,1700.0,1900.0,2200.0,2400.0,2500.0,2500.0,2500.0,136,1,720,763.3477411761894,16.352100006770343,2474.08810001798,714.8897058823529,2026-08-16 05:31:56,118.0,21.0,9.0,15.0
15,1786858313,20,,Aggregated,8.4,0.0,500.0,900.0,1100.0,1300.0,1600.0,1900.0,2200.0,2400.0,2500.0,2500.0,2500.0,160,1,490,678.3225199997105,16.352100006770343,2474.08810001798,695.76875,2026-08-16 05:31:57,118.0,21.0,9.0,15.0
16,1786858314,20,,Aggregated,10.2,0.1,410.0,830.0,1100.0,1200.0,1600.0,1800.0,2200.0,2400.0,2500.0,2500.0,2500.0,175,1,410,626.3630377135372,16.352100006770343,2474.08810001798,693.4228571428572,2026-08-16 05:31:58,118.0,21.0,9.0,15.0
17,1786858315,20,,Aggregated,12.0,0.1,220.0,740.0,1100.0,1100.0,1600.0,1800.0,2200.0,2400.0,2500.0,2500.0,2500.0,196,1,200,570.7029198968726,16.352100006770343,2474.08810001798,689.5867346938776,2026-08-16 05:32:00,118.0,21.0,9.0,15.0
18,1786858316,20,,Aggregated,13.7,0.1,160.0,630.0,900.0,1100.0,1600.0,1800.0,2100.0,2200.0,2500.0,2500.0,2500.0,220,1,160,520.6031031806065,16.352100006770343,2474.08810001798,681.8318181818182,2026-08-16 05:32:01,118.0,21.0,9.0,15.0
19,1786858318,20,,Aggregated,13.9,0.1,140.0,490.0,830.0,1100.0,1500.0,1800.0,2100.0,2200.0,2500.0,2500.0,2500.0,238,1,140,487.04635798212087,16.352100006770343,2474.08810001798,670.1722689075631,2026-08-16 05:32:02,118.0,21.0,9.0,15.0
20,1786858319,20,,Aggregated,14.9,0.1,140.0,410.0,760.0,1000.0,1400.0,1700.0,2100.0,2200.0,2500.0,2500.0,2500.0,254,1,140,464.8492602353245,16.352100006770343,2474.08810001798,670.8346456692914,2026-08-16 05:32:03,118.0,21.0,9.0,15.0
21,1786858320,30,,Aggregated,17.6,0.1,150.0,340.0,710.0,840.0,1400.0,1700.0,2100.0,2200.0,2500.0,2500.0,2500.0,286,1,140,432.72022237607206,16.352100006770343,2474.08810001798,645.2062937062936,2026-08-16 05:32:04,118.0,21.0,9.0,15.0
22,1786858321,35,,Aggregated,17.6,0.1,150.0,350.0,540.0,780.0,1300.0,1600.0,1900.0,2200.0,2500.0,2500.0,2500.0,313,1,150,415.88506261842656,16.352100006770343,2474.08810001798,633.5367412140575,2026-08-16 05:32:05,118.0,21.0,9.0,15.0
23,1786858322,40,,Aggregated,20.3,0.1,160.0,370.0,580.0,730.0,1200.0,1600.0,1900.0,2200.0,2500.0,2500.0,2500.0,347,1,160,409.1726319873786,16.352100006770343,2474.08810001798,620.0864553314121,2026-08-16 05:32:06,118.0,21.0,9.0,15.0
24,1786858323,40,,Aggregated,22.3,0.1,190.0,410.0,650.0,730.0,1200.0,1600.0,1900.0,2200.0,2500.0,2500.0,2500.0,376,1,190,422.56839627581473,16.352100006770343,2474.08810001798,603.8643617021277,2026-08-16 05:32:07,118.0,21.0,9.0,15.0
25,1786858324,40,,Aggregated,22.3,0.1,200.0,440.0,700.0,780.0,1100.0,1600.0,1900.0,2200.0,2500.0,2500.0,2500.0,397,1,200,439.1615433236924,16.352100006770343,2474.08810001798,600.0201511335013,2026-08-16 05:32:09,788.0,28.0,83.0,18.0
26,1786858325,40,,Aggregated,23.9,0.0,280.0,550.0,730.0,850.0,1300.0,1600.0,1800.0,2100.0,2500.0,2500.0,2500.0,447,1,280,479.8507170012831,16.352100006770343,2474.08810001798,580.6107382550335,2026-08-16 05:32:10,788.0,28.0,83.0,18.0
27,1786858326,40,,Aggregated,23.7,0.0,330.0,620.0,760.0,960.0,1300.0,1600.0,1800.0,2100.0,2500.0,2500.0,2500.0,479,1,330,500.5275219196934,16.352100006770343,2474.08810001798,575.4697286012527,2026-08-16 05:32:11,788.0,28.0,83.0,18.0
28,1786858327,40,,Aggregated,27.0,0.0,390.0,650.0,810.0,970.0,1300.0,1600.0,1800.0,2100.0,2500.0,2500.0,2500.0,515,2,390,528.5836518438108,16.352100006770343,2474.08810001798,571.3436893203883,2026-08-16 05:32:12,788.0,28.0,83.0,18.0
29,1786858328,40,,Aggregated,28.0,0.0,430.0,710.0,860.0,1000.0,1300.0,1600.0,1800.0,2100.0,2500.0,2500.0,2500.0,545,2,430,554.9224675217549,16.352100006770343,2474.08810001798,569.2330275229358,2026-08-16 05:32:13,788.0,28.0,83.0,18.0
30,1786858329,40,,Aggregated,29.4,0.1,490.0,730.0,950.0,1100.0,1300.0,1600.0,1800.0,2100.0,2500.0,2500.0,2500.0,581,2,490,584.137939585921,16.352100006770343,2474.08810001798,563.6368330464716,2026-08-16 05:32:14,788.0,28.0,83.0,18.0
31,1786858330,40,,Aggregated,30.6,0.1,550.0,750.0,970.0,1100.0,1300.0,1600.0,1800.0,2100.0,2700.0,2700.0,2700.0,621,2,550,609.9102057957303,16.352100006770343,2736.955099971965,559.4734299516908,2026-08-16 05:32:15,788.0,28.0,83.0,18.0
32,1786858331,40,,Aggregated,32.6,0.1,600.0,800.0,990.0,1100.0,1300.0,1600.0,1800.0,2100.0,2700.0,2700.0,2700.0,649,2,600,629.0185234191194,16.352100006770343,2736.955099971965,556.8320493066255,2026-08-16 05:32:16,788.0,28.0,83.0,18.0
