,User Count,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Dana CPU,Dana Memory,Remote CPU,Remote Memory
User Count,1.0,0.9587887835760639,-0.36693714374445147,0.31039796924899776,0.26270624659675434,0.022466068053922535,-0.10255366957209626,-0.2907871421227052,-0.3918103543509792,-0.36933248175779065,-0.3142141266462453,0.2050104040895175,0.790256398026748,0.790256398026748,0.7216091493602388,0.9236057701034165,0.3744492744921324,0.24762099537340676,-0.43106095047024123,0.803079759251706,-0.8671174954416528,0.9389695639579165,0.903234109900767,0.8846048373891396,0.9033859481047476
Requests/s,0.9587887835760639,1.0,-0.38948353324065116,0.1893178942936649,0.11631559679956789,-0.13254070284769745,-0.24705952682777318,-0.39823413922959444,-0.45262989334408404,-0.403526574497201,-0.3289955208724135,0.1972223701588491,0.7215208579313503,0.7215208579313503,0.5988297073356124,0.8911457918375936,0.25080203437152193,0.08141864196397071,-0.3853674606534216,0.7303368728119995,-0.8264122593507325,0.9290676180021404,0.868592169643425,0.9407502720364597,0.8677523261683114
Failures/s,-0.36693714374445147,-0.38948353324065116,1.0,-0.3771856247366729,-0.19798217638856253,-0.0031717740567305582,0.1515654704060449,0.4945472405037057,0.6276086949581573,0.76861978969464,0.6618747151303331,0.5823908285902997,0.0901114173729091,0.0901114173729091,-0.4606384970398169,-0.10013874977767051,-0.3562179697730319,-0.11637485219171032,-0.06240188386681905,0.09437800716526838,0.4131290531396474,-0.5514608803522698,-0.22278013722067425,-0.6054074857205738,-0.4627824928349312
50%,0.31039796924899776,0.1893178942936649,-0.3771856247366729,1.0,0.9409894040486753,0.7640193070308228,0.5980542048890994,0.03077899745600345,-0.2523278655397052,-0.39258392014905885,-0.5195261076607373,-0.33512310154420866,0.14116758567588855,0.14116758567588855,0.7935429327758612,0.22550698331377425,0.9978933920448207,0.909949735665307,-0.23555023335188863,0.1404521190389141,-0.518266273933636,0.3683974183270737,0.32922547030651145,0.205920551901294,0.40984516896698026
66%,0.26270624659675434,0.11631559679956789,-0.19798217638856253,0.9409894040486753,1.0,0.8889173533065368,0.7848363525373322,0.29655183172133615,0.020093408966523545,-0.1323293678640116,-0.273349227762273,-0.10263902458617888,0.26800763361003543,0.26800763361003543,0.7043088660912025,0.22637905220142018,0.9430286406559393,0.965927280879534,-0.4059636225723803,0.266863836121583,-0.4638387885925668,0.27642398754452463,0.2724123963109064,0.10644459602081921,0.3632759679987993
75%,0.022466068053922535,-0.13254070284769745,-0.0031717740567305582,0.7640193070308228,0.8889173533065368,1.0,0.9236681120314377,0.5900100187296582,0.3482226226579835,0.1614760869824593,0.04966785296381301,0.052073714433686205,0.2210183261841727,0.2210183261841727,0.44517117537126044,0.017671265940603458,0.7655356241673272,0.9260027423847212,-0.43481379398099795,0.22011748791368707,-0.2022081005042287,0.0001736947044736186,0.011157792670876325,-0.14613821429698404,0.09302422940746165
80%,-0.10255366957209626,-0.24705952682777318,0.1515654704060449,0.5980542048890994,0.7848363525373322,0.9236681120314377,1.0,0.770910651970441,0.57092405444966,0.3959946503642098,0.26802341834603327,0.1860806725986529,0.21710090559077821,0.21710090559077821,0.25477928342133527,-0.07107587712746397,0.6044159374488655,0.8477628165545197,-0.4967998891297263,0.21451688773788052,-0.04574148039652205,-0.14498382414636976,-0.12138304861311351,-0.27363062269954697,-0.009755326373976424
90%,-0.2907871421227052,-0.39823413922959444,0.4945472405037057,0.03077899745600345,0.29655183172133615,0.5900100187296582,0.770910651970441,1.0,0.9311667542215022,0.8388202155346313,0.7516454213518595,0.5548665236620652,0.257114389313252,0.257114389313252,-0.2268630096342107,-0.1690565853245884,0.043080726913814885,0.40911700166874354,-0.5095852894710377,0.25376374030649146,0.25743521617042325,-0.41002708713492686,-0.328654969019498,-0.4659409820081244,-0.2948434399674162
95%,-0.3918103543509792,-0.45262989334408404,0.6276086949581573,-0.2523278655397052,0.020093408966523545,0.3482226226579835,0.57092405444966,0.9311667542215022,1.0,0.9337037603103471,0.8612115032793192,0.6244905155351715,0.19551312337334684,0.19551312337334684,-0.43651447491524187,-0.2546611680066134,-0.2417260039316689,0.13906254332724272,-0.3763997784504711,0.19186269315750068,0.4004682218473518,-0.5347904878266617,-0.4392903562002609,-0.5277705631385239,-0.42871127579895296
98%,-0.36933248175779065,-0.403526574497201,0.76861978969464,-0.39258392014905885,-0.1323293678640116,0.1614760869824593,0.3959946503642098,0.8388202155346313,0.9337037603103471,1.0,0.9349940020242463,0.7536980565951563,0.23977267560180862,0.23977267560180862,-0.5460137228479403,-0.12980352194786196,-0.3792835518665773,-0.030269023141490516,-0.3456135946950696,0.2365691516480083,0.42555872379153,-0.5013733840556315,-0.31157727997975626,-0.5188428328102986,-0.41301510767668803
