timestamp,dana_cpu,dana_mem,remote_cpu,remote_mem
1786858301,0m,13Mi,0m,15Mi
1786858302,0m,13Mi,0m,15Mi
1786858303,0m,13Mi,0m,15Mi
1786858304,0m,13Mi,0m,15Mi
1786858305,0m,13Mi,0m,15Mi
1786858306,0m,13Mi,0m,15Mi
1786858307,0m,13Mi,0m,15Mi
1786858308,0m,13Mi,0m,15Mi
1786858309,0m,13Mi,0m,15Mi
1786858311,0m,13Mi,0m,15Mi
1786858312,0m,13Mi,0m,15Mi
1786858313,0m,13Mi,0m,15Mi
1786858314,118m,21Mi,9m,15Mi
1786858315,118m,21Mi,9m,15Mi
1786858316,118m,21Mi,9m,15Mi
1786858317,118m,21Mi,9m,15Mi
1786858318,118m,21Mi,9m,15Mi
1786858320,118m,21Mi,9m,15Mi
1786858321,118m,21Mi,9m,15Mi
1786858322,118m,21Mi,9m,15Mi
1786858323,118m,21Mi,9m,15Mi
1786858324,118m,21Mi,9m,15Mi
1786858325,118m,21Mi,9m,15Mi
1786858326,118m,21Mi,9m,15Mi
1786858327,118m,21Mi,9m,15Mi
1786858329,788m,28Mi,83m,18Mi
1786858330,788m,28Mi,83m,18Mi
1786858331,788m,28Mi,83m,18Mi
1786858332,788m,28Mi,83m,18Mi
1786858333,788m,28Mi,83m,18Mi
1786858334,788m,28Mi,83m,18Mi
1786858335,788m,28Mi,83m,18Mi
1786858336,788m,28Mi,83m,18Mi
1786858338,788m,28Mi,83m,18Mi
1786858339,788m,28Mi,83m,18Mi
1786858340,788m,28Mi,83m,18Mi
1786858341,788m,28Mi,83m,18Mi
1786858342,788m,28Mi,83m,18Mi
1786858343,788m,28Mi,204m,19Mi
1786858344,969m,26Mi,204m,19Mi
1786858346,969m,26Mi,204m,19Mi
1786858347,969m,26Mi,204m,19Mi
1786858348,969m,26Mi,204m,19Mi
1786858349,969m,26Mi,204m,19Mi
1786858350,969m,26Mi,204m,19Mi
1786858351,969m,26Mi,204m,19Mi
1786858352,969m,26Mi,204m,19Mi
1786858353,969m,26Mi,204m,19Mi
1786858355,969m,26Mi,204m,19Mi
1786858356,969m,26Mi,204m,19Mi
1786858357,969m,26Mi,204m,19Mi
1786858358,969m,26Mi,204m,19Mi
1786858359,936m,27Mi,231m,20Mi
1786858360,936m,27Mi,231m,20Mi
1786858361,936m,27Mi,231m,20Mi
1786858363,936m,27Mi,231m,20Mi
1786858364,936m,27Mi,231m,20Mi
1786858365,936m,27Mi,231m,20Mi
1786858366,936m,27Mi,231m,20Mi
1786858367,936m,27Mi,231m,20Mi
1786858368,936m,27Mi,231m,20Mi
1786858369,936m,27Mi,231m,20Mi
1786858370,936m,27Mi,231m,20Mi
1786858372,936m,27Mi,231m,20Mi
1786858373,936m,27Mi,231m,20Mi
1786858374,936m,27Mi,227m,20Mi
1786858375,936m,27Mi,227m,20Mi
1786858376,936m,27Mi,227m,20Mi
1786858377,936m,27Mi,227m,20Mi
1786858378,936m,27Mi,227m,20Mi
1786858379,936m,27Mi,227m,20Mi
1786858381,936m,27Mi,227m,20Mi
1786858382,936m,27Mi,227m,20Mi
1786858383,936m,27Mi,227m,20Mi
1786858384,936m,27Mi,227m,20Mi
1786858385,936m,27Mi,227m,20Mi
1786858386,936m,27Mi,227m,20Mi
1786858387,936m,27Mi,227m,20Mi
1786858388,994m,28Mi,209m,21Mi
1786858390,994m,28Mi,209m,21Mi
1786858391,994m,28Mi,209m,21Mi
1786858392,994m,28Mi,209m,21Mi
1786858393,994m,28Mi,209m,21Mi
1786858394,994m,28Mi,209m,21Mi
1786858395,994m,28Mi,209m,21Mi
1786858396,994m,28Mi,209m,21Mi
1786858397,994m,28Mi,209m,21Mi
1786858399,994m,28Mi,209m,21Mi
1786858400,994m,28Mi,209m,21Mi
1786858401,994m,28Mi,209m,21Mi
1786858402,994m,28Mi,209m,21Mi
1786858403,994m,28Mi,209m,21Mi
1786858404,1000m,28Mi,192m,19Mi
1786858405,1000m,28Mi,192m,19Mi
1786858407,1000m,28Mi,192m,19Mi
1786858408,1000m,28Mi,192m,19Mi
1786858409,1000m,28Mi,192m,19Mi
1786858410,1000m,28Mi,192m,19Mi
1786858411,1000m,28Mi,192m,19Mi
1786858412,1000m,28Mi,192m,19Mi
1786858413,1000m,28Mi,192m,19Mi
1786858414,1000m,28Mi,192m,19Mi
1786858416,1000m,28Mi,192m,19Mi
1786858417,1000m,28Mi,192m,19Mi
1786858418,1000m,28Mi,192m,19Mi
1786858419,999m,29Mi,185m,19Mi
1786858420,999m,29Mi,185m,19Mi
1786858421,999m,29Mi,185m,19Mi
1786858422,999m,29Mi,185m,19Mi
1786858423,999m,29Mi,185m,19Mi
1786858424,999m,29Mi,185m,19Mi
1786858426,999m,29Mi,185m,19Mi
1786858427,999m,29Mi,185m,19Mi
1786858428,999m,29Mi,185m,19Mi
1786858429,999m,29Mi,185m,19Mi
1786858430,999m,29Mi,185m,19Mi
1786858431,999m,29Mi,185m,19Mi
1786858432,999m,29Mi,185m,19Mi
1786858433,1000m,29Mi,178m,19Mi
1786858434,1000m,29Mi,178m,19Mi
1786858436,1000m,29Mi,178m,19Mi
