Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786857311,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1786857312,4,,Aggregated,0.000000,0.000000,310,310,310,310,310,310,310,310,310,310,310,2,0,294.4126999936998,300.49809999763966,294.4126999936998,306.5835000015795,825.0
1786857313,6,,Aggregated,0.000000,0.000000,350,350,590,590,590,590,590,590,590,590,590,6,0,310,386.9231166609097,186.1839999910444,594.3532999954186,825.0
1786857314,8,,Aggregated,2.000000,0.000000,490,590,800,800,800,900,900,900,900,900,900,12,0,360,489.4053999936053,186.1839999910444,901.4123000088148,825.0
1786857315,10,,Aggregated,3.000000,0.000000,740,870,870,870,890,900,900,900,900,900,900,20,0,590,596.1502699996345,50.78049999428913,901.4123000088148,783.85
1786857316,10,,Aggregated,3.000000,0.000000,590,840,870,870,890,890,900,900,900,900,900,23,0,590,590.5772434755066,50.78049999428913,901.4123000088148,789.2173913043479
1786857317,10,,Aggregated,3.250000,0.000000,800,870,890,1100,1400,1500,1700,1700,1700,1700,1700,34,0,800,736.0965470571126,30.39530001115054,1664.0957000199705,776.7352941176471
1786857318,10,,Aggregated,4.400000,0.000000,840,890,970,1100,1400,1500,1900,1900,1900,1900,1900,41,0,840,795.3192414616507,30.39530001115054,1884.645799989812,784.9756097560976
1786857319,10,,Aggregated,5.166667,0.000000,870,970,1100,1400,1400,1700,1900,1900,1900,1900,1900,49,0,870,872.5576387713568,30.39530001115054,1885.9814999741502,791.5102040816327
1786857320,10,,Aggregated,5.428571,0.000000,870,970,1100,1400,1400,1700,1900,1900,1900,1900,1900,54,0,870,873.4229981448691,30.39530001115054,1885.9814999741502,794.425925925926
