Sample,Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Captured Timestamp,CPU,Memory
0,1786365620,0,,Aggregated,0.0,0.0,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,2026-08-10 12:40:22,1.0,16.0
1,1786365621,2,,Aggregated,0.0,0.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,2,0,200,202.74635800160468,195.10440703015772,210.3883089730516,4457.5,2026-08-10 12:40:23,1.0,16.0
2,1786365622,4,,Aggregated,0.0,0.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,6,0,240,238.7322263190678,195.10440703015772,261.24464796157554,4050.6666666666665,2026-08-10 12:40:24,1.0,17.0
3,1786365623,6,,Aggregated,0.0,0.0,260.0,260.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,12,0,260,233.73655548978908,52.26033099461347,268.6163089820184,3677.8333333333335,2026-08-10 12:40:25,1.0,17.0
4,1786365624,8,,Aggregated,1.0,0.0,260.0,270.0,270.0,280.0,280.0,460.0,460.0,460.0,460.0,460.0,460.0,20,0,260,256.8044957908569,52.26033099461347,461.81222097948194,3394.25,2026-08-10 12:40:26,1.0,17.0
5,1786365625,10,,Aggregated,2.0,0.0,270.0,280.0,290.0,290.0,300.0,310.0,460.0,460.0,460.0,460.0,460.0,30,0,270,267.49126635841094,52.26033099461347,461.81222097948194,3283.866666666667,2026-08-10 12:40:27,1.0,17.0
6,1786365626,10,,Aggregated,3.0,0.0,270.0,280.0,290.0,290.0,290.0,310.0,460.0,460.0,460.0,460.0,460.0,40,0,270,266.7745093422127,52.26033099461347,461.81222097948194,3320.6,2026-08-10 12:40:28,1.0,17.0
7,1786365627,10,,Aggregated,4.0,0.0,270.0,280.0,280.0,290.0,300.0,360.0,460.0,460.0,460.0,460.0,460.0,50,0,270,270.8036121341865,52.26033099461347,461.81222097948194,3235.58,2026-08-10 12:40:30,1.0,17.0
8,1786365628,10,,Aggregated,5.0,0.0,270.0,280.0,290.0,290.0,290.0,360.0,360.0,460.0,460.0,460.0,460.0,60,0,270,271.74405137775466,52.26033099461347,461.81222097948194,3312.366666666667,2026-08-10 12:40:31,1.0,17.0
9,1786365629,10,,Aggregated,5.714286,0.0,270.0,280.0,290.0,290.0,290.0,310.0,360.0,460.0,460.0,460.0,460.0,70,0,270,270.05248303841137,51.739646994974464,461.81222097948194,3180.828571428572,2026-08-10 12:40:32,1.0,17.0
10,1786365630,10,,Aggregated,6.25,0.0,270.0,280.0,290.0,290.0,300.0,310.0,360.0,460.0,460.0,460.0,460.0,80,0,270,270.9374655954889,51.739646994974464,461.81222097948194,3216.975,2026-08-10 12:40:33,1.0,17.0
11,1786365631,11,,Aggregated,6.666667,0.0,270.0,280.0,290.0,290.0,310.0,320.0,460.0,460.0,460.0,460.0,460.0,91,0,270,274.095304644856,51.739646994974464,461.81222097948194,3188.989010989011,2026-08-10 12:40:34,1.0,17.0
12,1786365632,12,,Aggregated,7.0,0.0,280.0,290.0,290.0,300.0,320.0,330.0,360.0,460.0,460.0,460.0,460.0,103,0,280,278.18417832542445,51.739646994974464,461.81222097948194,3135.747572815534,2026-08-10 12:40:35,1.0,17.0
13,1786365633,13,,Aggregated,8.0,0.0,280.0,290.0,300.0,310.0,320.0,330.0,460.0,460.0,490.0,490.0,490.0,116,0,280,283.2160982722818,51.739646994974464,494.8780370177701,3082.758620689656,2026-08-10 12:40:36,1.0,17.0
14,1786365634,14,,Aggregated,8.9,0.0,280.0,290.0,300.0,310.0,320.0,340.0,460.0,460.0,490.0,490.0,490.0,130,0,280,285.09935276547014,51.739646994974464,494.8780370177701,3114.5153846153844,2026-08-10 12:40:37,1.0,17.0
15,1786365635,15,,Aggregated,9.7,0.0,290.0,300.0,310.0,320.0,330.0,340.0,460.0,460.0,490.0,490.0,490.0,145,0,290,287.02079495455234,51.739646994974464,494.8780370177701,3146.4896551724137,2026-08-10 12:40:38,1.0,17.0
16,1786365636,16,,Aggregated,10.4,0.0,290.0,310.0,320.0,320.0,330.0,350.0,410.0,460.0,490.0,490.0,490.0,161,0,290,291.5688117352164,51.739646994974464,494.8780370177701,3302.416149068323,2026-08-10 12:40:39,113.0,19.0
17,1786365637,17,,Aggregated,11.0,0.0,290.0,320.0,320.0,330.0,340.0,360.0,460.0,720.0,720.0,720.0,720.0,178,0,290,299.7990831143479,51.739646994974464,719.2945889546536,3333.3932584269664,2026-08-10 12:40:40,113.0,19.0
18,1786365638,18,,Aggregated,11.5,0.0,300.0,320.0,330.0,330.0,350.0,360.0,460.0,720.0,720.0,720.0,720.0,196,0,290,300.78588771142006,51.29564402159304,719.2945889546536,3378.0,2026-08-10 12:40:41,113.0,19.0
19,1786365639,19,,Aggregated,12.1,0.0,300.0,320.0,330.0,330.0,340.0,360.0,460.0,490.0,720.0,720.0,720.0,215,0,300,302.118483281337,51.29564402159304,719.2945889546536,3453.4558139534884,2026-08-10 12:40:42,113.0,19.0
20,1786365640,20,,Aggregated,12.8,0.0,310.0,320.0,330.0,340.0,350.0,380.0,460.0,490.0,720.0,720.0,720.0,235,0,310,306.7708906576414,51.29564402159304,719.2945889546536,3484.1659574468085,2026-08-10 12:40:43,113.0,19.0
21,1786365641,25,,Aggregated,13.6,0.0,320.0,330.0,340.0,350.0,370.0,400.0,590.0,620.0,720.0,720.0,720.0,260,0,320,316.4335317063468,51.29564402159304,719.2945889546536,3390.4153846153845,2026-08-10 12:40:44,113.0,19.0
22,1786365642,30,,Aggregated,14.5,0.0,320.0,340.0,350.0,360.0,390.0,460.0,600.0,640.0,720.0,720.0,720.0,290,0,320,327.3253130399349,51.29564402159304,719.2945889546536,3110.7241379310344,2026-08-10 12:40:45,113.0,19.0
23,1786365643,35,,Aggregated,15.5,0.0,330.0,350.0,370.0,380.0,440.0,470.0,620.0,650.0,720.0,720.0,720.0,324,1,330,337.02359815634054,51.29564402159304,719.2945889546536,2831.783950617284,2026-08-10 12:40:47,113.0,19.0
24,1786365644,40,,Aggregated,16.9,0.0,330.0,350.0,380.0,400.0,460.0,480.0,620.0,650.0,1500.0,1500.0,1500.0,361,2,330,345.5768456663859,51.17191601311788,1520.038136979565,2609.7257617728533,2026-08-10 12:40:48,113.0,19.0
25,1786365645,40,,Aggregated,18.7,0.0,330.0,360.0,390.0,430.0,470.0,520.0,650.0,1300.0,1500.0,1500.0,1500.0,401,2,330,360.1848776102417,51.17191601311788,1520.038136979565,2484.718204488778,2026-08-10 12:40:49,113.0,19.0
26,1786365646,40,,Aggregated,20.8,0.1,330.0,370.0,420.0,440.0,470.0,580.0,1300.0,1300.0,1500.0,1500.0,1500.0,445,4,330,373.20317408956817,50.1846710103564,1520.038136979565,2332.6516853932585,2026-08-10 12:40:50,113.0,19.0
27,1786365647,40,,Aggregated,23.1,0.2,340.0,380.0,430.0,450.0,470.0,580.0,760.0,1300.0,1500.0,1500.0,1500.0,485,5,340,373.8048028133656,50.1846710103564,1520.038136979565,2230.579381443299,2026-08-10 12:40:51,113.0,19.0
28,1786365648,40,,Aggregated,25.7,0.3,340.0,390.0,430.0,450.0,470.0,580.0,720.0,1300.0,1500.0,1500.0,1500.0,524,5,340,373.914829659154,50.1846710103564,1520.038136979565,2117.610687022901,2026-08-10 12:40:52,113.0,19.0
29,1786365649,40,,Aggregated,28.4,0.4,340.0,390.0,430.0,440.0,470.0,540.0,720.0,1300.0,1500.0,1500.0,1500.0,563,5,340,373.48263618731903,50.1846710103564,1520.038136979565,2046.753108348135,2026-08-10 12:40:53,113.0,19.0
30,1786365650,40,,Aggregated,30.7,0.5,350.0,400.0,430.0,440.0,470.0,540.0,710.0,1300.0,1500.0,1500.0,1500.0,602,6,350,374.11947715828313,50.1846710103564,1520.038136979565,1944.235880398671,2026-08-10 12:40:54,113.0,19.0
31,1786365651,40,,Aggregated,32.8,0.5,350.0,400.0,430.0,440.0,470.0,530.0,710.0,1300.0,1500.0,1500.0,1500.0,641,7,350,374.1020567697188,50.1846710103564,1520.038136979565,1865.8689547581905,2026-08-10 12:40:55,113.0,19.0
32,1786365652,40,,Aggregated,34.8,0.5,350.0,400.0,430.0,440.0,470.0,520.0,670.0,1300.0,1500.0,1500.0,1500.0,677,7,350,372.4398700713161,50.1846710103564,1520.038136979565,1833.0472673559825,2026-08-10 12:40:56,113.0,19.0
