,User Count,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,CPU,Memory
User Count,1.0,0.8131752676754078,0.6589265915413535,0.8560555539630336,0.8812184520365572,0.8948431729077636,0.9043833745220201,0.8968518509449837,0.8417523924087215,0.7860602327670431,0.9004037583078797,0.8741534152961038,0.8558321859870547,0.8558321859870547,0.547550267580711,0.4646133346259239,0.7609141226777835,0.8150832402934638,-0.2763840946726946,0.8655601460803239,-0.6033892419980563,0.40298942889208766,0.25770516957856077
Requests/s,0.8131752676754078,1.0,0.9530995106337723,0.9589039542304382,0.9505157370205233,0.9276518930204967,0.9203263375388309,0.9138536021298118,0.8928290326910676,0.7353717432930307,0.8809261995935428,0.9197267091779578,0.9359941203294329,0.9359941203294329,0.8967667502211761,0.8511717086657813,0.7970424319588474,0.8104635124093249,-0.2612141367627741,0.937156460554491,-0.8314673658822958,0.7214123807356433,0.6169469975733388
Failures/s,0.6589265915413535,0.9530995106337723,1.0,0.860665176638025,0.8428866787043858,0.8102909530805595,0.7984899359250542,0.7865264983000009,0.8017659875206742,0.6066864643506075,0.7789305034771055,0.8142667037032012,0.844744656415347,0.844744656415347,0.9167534619147728,0.9057589499263945,0.6848487981884132,0.6799887407390234,-0.18038657793314164,0.8424059685774719,-0.8394747600324632,0.7395327579743659,0.6868322398175156
50%,0.8560555539630336,0.9589039542304382,0.860665176638025,1.0,0.9865427041327008,0.970438791794915,0.9690826681856202,0.9702527506670243,0.9333809241198281,0.8041009570010788,0.88299928576831,0.9398721434897723,0.9494455400954982,0.9494455400954982,0.8483381258989054,0.7819333825010933,0.9974481611321623,0.9778937328995752,-0.4571269499319647,0.9487381116481602,-0.9404244517318703,0.7064151432508262,0.5694032475953623
66%,0.8812184520365572,0.9505157370205233,0.8428866787043858,0.9865427041327008,1.0,0.9919200368118737,0.9879590369397405,0.9822464021614213,0.9429905390720491,0.8319150285083068,0.9248950229907115,0.9631104989357899,0.9638802431356281,0.9638802431356281,0.8029093200489851,0.7297946805061564,0.9846332573860227,0.9915561495937278,-0.45338918488062196,0.9632555298551947,-0.9269405634686775,0.6522799906088499,0.5021220490840236
75%,0.8948431729077636,0.9276518930204967,0.8102909530805595,0.970438791794915,0.9919200368118737,1.0,0.9954687239422026,0.9882568173925612,0.9454524674152528,0.8639563476276356,0.9389518890554404,0.9739694265993565,0.9703306059843245,0.9703306059843245,0.7691245795895859,0.6938321299311416,0.9692320891978037,0.9931860375057812,-0.44772079480911114,0.9698596416566957,-0.9101897955132193,0.6081672808671661,0.45382707092535285
80%,0.9043833745220201,0.9203263375388309,0.7984899359250542,0.9690826681856202,0.9879590369397405,0.9954687239422026,1.0,0.9934773632734692,0.9569444122855756,0.8719712469928348,0.9405257526773267,0.9792685860342656,0.9761300546060987,0.9761300546060987,0.7696966737258824,0.694353388242984,0.9685120363102374,0.9953183315524542,-0.4469490249492811,0.9756993352935543,-0.9096926146430296,0.6228834934798172,0.46888866065971047
90%,0.8968518509449837,0.9138536021298118,0.7865264983000009,0.9702527506670243,0.9822464021614213,0.9882568173925612,0.9934773632734692,1.0,0.9529072393720571,0.8679060881157166,0.9158358220518056,0.9737614823620488,0.97203317357874,0.97203317357874,0.7772712238353855,0.6996914515853575,0.9694145330364816,0.9925882207163644,-0.44359723795676925,0.9714879931914551,-0.9060622290648445,0.6381770220100077,0.48589477179546997
95%,0.8417523924087215,0.8928290326910676,0.8017659875206742,0.9333809241198281,0.9429905390720491,0.9454524674152528,0.9569444122855756,0.9529072393720571,1.0,0.8732143339428321,0.8827551502227353,0.9425595554092399,0.9499698110613692,0.9499698110613692,0.8080802035443279,0.7519477134445923,0.9348865738312532,0.9555471092014189,-0.4376085962130482,0.9496485745923472,-0.9123955197076983,0.6993988517843611,0.5799045358117995
98%,0.7860602327670431,0.7353717432930307,0.6066864643506075,0.8041009570010788,0.8319150285083068,0.8639563476276356,0.8719712469928348,0.8679060881157166,0.8732143339428321,1.0,0.8238272828410402,0.8509137140733499,0.8435228942095989,0.8435228942095989,0.6153926848126917,0.5480729951620957,0.8088089116902125,0.8715980271971795,-0.4272546280577169,0.8430752872801494,-0.7537882222449428,0.5061777282274512,0.37181979478599453
