timestamp,CPU,Memory
1786365622,1m,16Mi
1786365623,1m,16Mi
1786365624,1m,17Mi
1786365625,1m,17Mi
1786365626,1m,17Mi
1786365627,1m,17Mi
1786365628,1m,17Mi
1786365630,1m,17Mi
1786365631,1m,17Mi
1786365632,1m,17Mi
1786365633,1m,17Mi
1786365634,1m,17Mi
1786365635,1m,17Mi
1786365636,1m,17Mi
1786365637,1m,17Mi
1786365638,1m,17Mi
1786365639,113m,19Mi
1786365640,113m,19Mi
1786365641,113m,19Mi
1786365642,113m,19Mi
1786365643,113m,19Mi
1786365644,113m,19Mi
1786365645,113m,19Mi
1786365647,113m,19Mi
1786365648,113m,19Mi
1786365649,113m,19Mi
1786365650,113m,19Mi
1786365651,113m,19Mi
1786365652,113m,19Mi
1786365653,113m,19Mi
1786365654,113m,19Mi
1786365655,113m,19Mi
1786365656,113m,19Mi
1786365657,113m,19Mi
1786365658,113m,19Mi
1786365659,113m,19Mi
1786365660,113m,19Mi
1786365661,113m,19Mi
1786365663,113m,19Mi
1786365664,113m,19Mi
1786365665,113m,19Mi
1786365666,113m,19Mi
1786365667,113m,19Mi
1786365668,113m,19Mi
1786365669,367m,40Mi
1786365670,367m,40Mi
1786365671,367m,40Mi
1786365672,367m,40Mi
1786365673,367m,40Mi
1786365674,367m,40Mi
1786365675,367m,40Mi
1786365676,367m,40Mi
1786365677,367m,40Mi
1786365679,367m,40Mi
1786365680,367m,40Mi
1786365681,367m,40Mi
1786365682,367m,40Mi
1786365683,367m,40Mi
1786365684,432m,34Mi
1786365685,432m,34Mi
