Sample,Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Captured Timestamp,CPU,Memory
0,1786300292,0,,Aggregated,0.0,0.0,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,2026-08-09 18:31:34,0.0,4.0
1,1786300293,2,,Aggregated,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,2,0,590,591.5068540198263,587.0780840050429,595.9356240346096,825.0,2026-08-09 18:31:35,0.0,4.0
2,1786300294,4,,Aggregated,0.0,0.0,600.0,600.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,6,0,590,523.589788179379,202.86868599941957,633.1480829976499,825.0,2026-08-09 18:31:36,0.0,4.0
3,1786300295,6,,Aggregated,0.0,0.0,590.0,600.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,8,0,490,464.9042331293458,202.86868599941957,633.1480829976499,825.0,2026-08-09 18:31:38,0.0,4.0
4,1786300296,8,,Aggregated,1.0,0.0,600.0,630.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,16,0,590,611.0481650066504,200.42407303117216,1028.7327339756305,825.0,2026-08-09 18:31:39,0.0,4.0
5,1786300297,10,,Aggregated,2.0,0.0,630.0,1000.0,1000.0,1000.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,22,0,630,802.184459184487,200.42407303117216,1829.5468059950508,825.0,2026-08-09 18:31:40,0.0,4.0
6,1786300298,10,,Aggregated,2.25,0.0,650.0,1000.0,1000.0,1600.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,25,0,650,885.5166504438967,200.42407303117216,1829.5468059950508,824.8,2026-08-09 18:31:41,0.0,4.0
7,1786300299,10,,Aggregated,3.2,0.0,1000.0,1300.0,1400.0,1600.0,1800.0,1800.0,2100.0,2100.0,2100.0,2100.0,2100.0,33,0,1000,1006.8021797589169,200.42407303117216,2085.4928769986145,824.3939393939394,2026-08-09 18:31:42,0.0,4.0
8,1786300300,10,,Aggregated,3.666667,0.0,1000.0,1300.0,1600.0,1800.0,1800.0,2100.0,2400.0,2400.0,2400.0,2400.0,2400.0,38,0,1000,1093.981231103259,200.42407303117216,2354.347499960568,802.6315789473684,2026-08-09 18:31:43,0.0,4.0
9,1786300301,10,,Aggregated,3.571429,0.0,1100.0,1400.0,1800.0,1800.0,2000.0,2100.0,2400.0,2400.0,2400.0,2400.0,2400.0,45,0,1100,1178.1813250194923,200.42407303117216,2367.189529002644,806.0,2026-08-09 18:31:44,0.0,4.0
