Sample,Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Captured Timestamp,CPU,Memory
0,1786299368,0,,Aggregated,0.0,0.0,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,2026-08-09 18:16:12,1.0,9.0
1,1786299369,2,,Aggregated,0.0,0.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,2,0,173.9522999851033,285.94997848267667,173.9522999851033,397.94765698025,2249.5,2026-08-09 18:16:13,1.0,9.0
2,1786299370,4,,Aggregated,0.0,0.0,190.0,190.0,320.0,320.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,6,0,190.0,243.37543116416785,173.9522999851033,397.94765698025,2976.1666666666665,2026-08-09 18:16:14,1.0,9.0
3,1786299371,6,,Aggregated,0.0,0.0,200.0,200.0,210.0,210.0,320.0,400.0,400.0,400.0,400.0,400.0,400.0,12,0,190.0,208.37631349665267,37.14303998276591,397.94765698025,3731.0,2026-08-09 18:16:15,1.0,9.0
4,1786299372,8,,Aggregated,2.0,0.0,200.0,200.0,200.0,210.0,320.0,400.0,400.0,400.0,400.0,400.0,400.0,19,0,200.0,197.29897610561332,35.92464700341225,397.94765698025,3761.4736842105262,2026-08-09 18:16:16,1.0,9.0
5,1786299373,10,,Aggregated,3.0,0.0,200.0,210.0,220.0,220.0,320.0,400.0,1200.0,1200.0,1200.0,1200.0,1200.0,30,0,200.0,227.0233712042682,35.92464700341225,1229.303567961324,3847.0,2026-08-09 18:16:17,1.0,9.0
6,1786299374,10,,Aggregated,4.0,0.0,210.0,220.0,230.0,230.0,240.0,400.0,1200.0,1200.0,1200.0,1200.0,1200.0,40,0,200.0,219.68495228211395,35.92464700341225,1229.303567961324,3709.85,2026-08-09 18:16:18,1.0,9.0
7,1786299375,10,,Aggregated,4.75,0.0,210.0,220.0,220.0,230.0,240.0,320.0,1200.0,1200.0,1200.0,1200.0,1200.0,50,0,210.0,212.5777479435783,35.92464700341225,1229.303567961324,3755.54,2026-08-09 18:16:19,1.0,9.0
8,1786299376,10,,Aggregated,6.0,0.0,210.0,220.0,230.0,230.0,240.0,320.0,400.0,1200.0,1200.0,1200.0,1200.0,60,0,210.0,213.20418785326183,35.92464700341225,1229.303567961324,3786.983333333333,2026-08-09 18:16:21,1.0,9.0
9,1786299377,10,,Aggregated,6.666667,0.0,210.0,220.0,230.0,230.0,240.0,320.0,430.0,1200.0,1200.0,1200.0,1200.0,70,0,210.0,215.90857765986584,35.92464700341225,1229.303567961324,3738.5,2026-08-09 18:16:22,1.0,9.0
10,1786299378,10,,Aggregated,7.142857,0.0,210.0,220.0,230.0,230.0,240.0,320.0,430.0,1200.0,1200.0,1200.0,1200.0,80,0,210.0,214.3387802025245,35.92464700341225,1229.303567961324,3752.225,2026-08-09 18:16:23,1.0,9.0
11,1786299379,11,,Aggregated,7.5,0.0,210.0,220.0,230.0,230.0,240.0,250.0,430.0,1200.0,1200.0,1200.0,1200.0,91,0,210.0,211.35317203448065,35.92464700341225,1229.303567961324,3837.604395604395,2026-08-09 18:16:24,60.0,17.0
12,1786299380,12,,Aggregated,7.777778,0.0,210.0,220.0,230.0,230.0,240.0,320.0,400.0,430.0,1200.0,1200.0,1200.0,103,0,210.0,213.00237877769123,35.92464700341225,1229.303567961324,3767.466019417476,2026-08-09 18:16:25,60.0,17.0
13,1786299381,13,,Aggregated,8.0,0.0,220.0,220.0,230.0,230.0,240.0,320.0,400.0,430.0,1200.0,1200.0,1200.0,116,0,210.0,210.4924682684339,35.92464700341225,1229.303567961324,3640.594827586207,2026-08-09 18:16:26,60.0,17.0
