timestamp,CPU,Memory
1786390208,0m,15Mi
1786390209,0m,15Mi
1786390211,0m,15Mi
1786390212,0m,15Mi
1786390213,0m,15Mi
1786390214,0m,15Mi
1786390215,0m,15Mi
1786390216,0m,15Mi
1786390217,0m,15Mi
1786390218,0m,15Mi
1786390219,0m,15Mi
1786390220,0m,15Mi
1786390221,0m,15Mi
1786390222,0m,15Mi
1786390223,0m,15Mi
1786390224,76m,23Mi
1786390225,76m,23Mi
1786390227,76m,23Mi
1786390228,76m,23Mi
1786390229,76m,23Mi
1786390230,76m,23Mi
1786390231,76m,23Mi
1786390232,76m,23Mi
1786390233,76m,23Mi
1786390234,76m,23Mi
1786390235,76m,23Mi
1786390236,76m,23Mi
1786390237,76m,23Mi
1786390238,76m,23Mi
1786390239,76m,23Mi
1786390240,76m,23Mi
1786390242,76m,23Mi
1786390243,76m,23Mi
1786390244,76m,23Mi
1786390245,76m,23Mi
1786390246,76m,23Mi
1786390247,76m,23Mi
1786390248,76m,23Mi
1786390249,76m,23Mi
1786390250,76m,23Mi
1786390251,76m,23Mi
1786390252,76m,23Mi
1786390253,76m,23Mi
1786390254,342m,24Mi
1786390255,342m,24Mi
1786390257,342m,24Mi
1786390258,342m,24Mi
1786390259,342m,24Mi
1786390260,342m,24Mi
1786390261,342m,24Mi
1786390262,342m,24Mi
1786390263,342m,24Mi
1786390264,342m,24Mi
1786390265,342m,24Mi
1786390266,342m,24Mi
1786390267,342m,24Mi
1786390268,342m,24Mi
1786390269,489m,24Mi
1786390270,489m,24Mi
1786390271,489m,24Mi
