Sample,Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Captured Timestamp,CPU,Memory,Cache Hits,Cache Misses,Cache Size,Cache Hits/s,Cache Misses/s,Cache Requests/s,Cache Hit Ratio,Cache Avg Latency
0,1786856756,0,,Aggregated,0.0,0.0,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,2026-08-16 05:05:56,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1786856757,2,,Aggregated,0.0,0.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,2,0,310,314.30390002788045,308.1763000227511,320.4315000330098,820.0,2026-08-16 05:05:57,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2,1786856758,4,,Aggregated,0.0,0.0,320.0,320.0,550.0,550.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,6,0,310,371.4677833389336,192.44119996437803,555.7076999684796,820.0,2026-08-16 05:05:58,0.0,12.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,202.0
3,1786856759,8,,Aggregated,2.0,0.0,330.0,540.0,550.0,550.0,560.0,840.0,840.0,840.0,840.0,840.0,840.0,12,0,320,390.4642750082227,25.312099955044687,840.1741000125185,752.25,2026-08-16 05:05:59,0.0,12.0,0.0,6.0,0.0,0.0,4.0,4.0,0.0,308.0
4,1786856760,10,,Aggregated,3.0,0.0,430.0,550.0,560.0,820.0,840.0,930.0,930.0,930.0,930.0,930.0,930.0,17,1,430,470.8941588315236,25.312099955044687,926.0180999990552,723.9411764705883,2026-08-16 05:06:00,0.0,12.0,0.0,11.0,0.0,0.0,5.0,5.0,0.0,311.0
5,1786856761,10,,Aggregated,3.666667,0.0,540.0,690.0,840.0,840.0,1000.0,1000.0,1100.0,1100.0,1100.0,1100.0,1100.0,24,1,540,537.6656708419129,25.312099955044687,1052.2829000256024,717.4583333333334,2026-08-16 05:06:01,0.0,12.0,0.0,20.0,0.0,0.0,9.0,9.0,0.0,329.0
6,1786856762,10,,Aggregated,3.5,0.0,560.0,840.0,1000.0,1100.0,1300.0,1500.0,1600.0,1600.0,1600.0,1600.0,1600.0,32,1,550,680.0199468834762,25.312099955044687,1562.6562000252306,741.84375,2026-08-16 05:06:02,0.0,12.0,0.0,29.0,0.0,0.0,9.0,9.0,0.0,461.0
7,1786856763,10,,Aggregated,4.4,0.2,800.0,1000.0,1200.0,1200.0,1300.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,40,1,710,737.8549475062755,14.444899978116156,1583.165900025051,736.275,2026-08-16 05:06:03,0.0,12.0,0.0,39.0,0.0,0.0,10.0,10.0,0.0,602.0
8,1786856764,10,,Aggregated,5.0,0.166667,820.0,1100.0,1200.0,1300.0,1600.0,1800.0,2500.0,2500.0,2500.0,2500.0,2500.0,47,1,820,864.847921280864,14.444899978116156,2539.61460001301,730.8085106382979,2026-08-16 05:06:04,0.0,12.0,0.0,45.0,0.0,0.0,6.0,6.0,0.0,651.0
9,1786856765,10,,Aggregated,5.285714,0.142857,840.0,1100.0,1200.0,1300.0,1600.0,1800.0,2500.0,2500.0,2500.0,2500.0,2500.0,56,1,840,883.1904267904714,14.444899978116156,2539.61460001301,744.3392857142857,2026-08-16 05:06:05,0.0,12.0,0.0,52.0,0.0,0.0,7.0,7.0,0.0,764.0
