,User Count,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,CPU,Memory,Cache Hits,Cache Misses,Cache Size,Cache Hits/s,Cache Misses/s,Cache Requests/s,Cache Hit Ratio,Cache Avg Latency
User Count,1.0,0.9715146072078044,-0.26456083944831366,-0.40560718860717493,-0.5525555864129021,-0.6011686995985399,-0.5832954807008525,-0.6005159164410057,-0.6896276973059255,-0.6493353236480169,-0.5129196305117172,0.49229101603226816,0.690360627334415,0.690360627334415,0.7060349410367895,0.914417869833307,-0.3523167450597752,-0.5983117005099065,-0.3465517723342067,0.7082452483377648,-0.8649858093200667,0.8610098282151061,0.83184975881422,0.6843971749010219,0.8310547568709441,,0.8590395485609379,-0.22723742582336498,0.8467309797701855,0.7032665508536465,-0.7569217718565403
Requests/s,0.9715146072078044,1.0,-0.24164368582153542,-0.39390350420281467,-0.5511991229424412,-0.6118891012797616,-0.6219971980239196,-0.6785937589933431,-0.7683238842078456,-0.7352514562151082,-0.588331705815586,0.4575472441625357,0.627293015512954,0.627293015512954,0.69039495223465,0.9428789509268106,-0.3508807859741215,-0.6461898134986437,-0.2997339698039854,0.6385271681724498,-0.8838782058284823,0.8711459833832722,0.7932460055272895,0.6676958084434259,0.825544660190002,,0.8649269182117303,-0.26627558611866115,0.8473076383926152,0.6763185467635001,-0.7939803287640532
Failures/s,-0.26456083944831366,-0.24164368582153542,1.0,0.2208695183332531,0.20388919113492443,0.15449063632331922,0.11329166561017755,0.18757975669783458,0.18567271882145323,0.37179887294527475,0.3629534982446838,0.08967746783758498,-0.08037843573986744,-0.08037843573986744,-0.4317631102149495,-0.21364632026533842,0.2138924528186261,0.22598942362615,-0.05311912508321656,-0.05378203562234356,0.35235891977786704,-0.3990518118754998,-0.3043769967545772,-0.4314949643033574,-0.41161528930818686,,-0.23379053208383832,0.39191650608398587,-0.18441504468450204,-0.22465487793694217,0.37051887478507095
50%,-0.40560718860717493,-0.39390350420281467,0.2208695183332531,1.0,0.9106537463000784,0.807729173857635,0.7401159652650591,0.5288863295103751,0.28959147099442206,0.0574883727319731,-0.17311066337991488,-0.5129654079155475,-0.4187480253103439,-0.4187480253103439,0.08477069166244404,-0.17151963014086005,0.999035673896014,0.8272632513802255,0.07123923895472677,-0.41978323754028674,0.24041737304982946,-0.08080839575291401,-0.2575015877962493,0.10288817493448474,-0.03614769450683176,,-0.4152518145143132,0.2123612236471543,-0.39632995789985115,-0.6083847473032274,0.5453915031964117
66%,-0.5525555864129021,-0.5511991229424412,0.20388919113492443,0.9106537463000784,1.0,0.9587835080435992,0.901562502090181,0.7366463192745503,0.5527030454759666,0.31546683709757906,0.07172683565678159,-0.4037707543274125,-0.3457971724137871,-0.3457971724137871,-0.049870931130666665,-0.3352249374567248,0.9081487412183309,0.9458574687034613,0.0032403416865493073,-0.34699452775953066,0.3984102880057898,-0.23568453317313645,-0.2884926117247222,-0.030087239737602793,-0.1733816389154779,,-0.5202727561406891,0.17608702194416942,-0.5092616117166502,-0.5619596055904696,0.7591119073446049
75%,-0.6011686995985399,-0.6118891012797616,0.15449063632331922,0.807729173857635,0.9587835080435992,1.0,0.9727109980225133,0.8349227331680339,0.6668250103808551,0.42346125158125014,0.16987291295925547,-0.3671684036165312,-0.3138612382605692,-0.3138612382605692,-0.08613686700752554,-0.3981852099577446,0.8035937463871351,0.9650780912297431,0.005000436977569458,-0.3152828829208011,0.453316940021032,-0.2904086516252778,-0.28711461813388545,-0.06534175153210305,-0.21406871340885242,,-0.5580701092032405,0.13303969124182033,-0.554137851580553,-0.5184309936378876,0.8112293069529705
80%,-0.5832954807008525,-0.6219971980239196,0.11329166561017755,0.7401159652650591,0.901562502090181,0.9727109980225133,1.0,0.8950347772977476,0.726841897746367,0.4752503313517624,0.21920832235712254,-0.34006312414199563,-0.26665490699236594,-0.26665490699236594,-0.06357346640657262,-0.3948187888873276,0.73675609843169,0.9604455837397401,-0.017416015580843908,-0.26792078549770154,0.4467620796048106,-0.2898654396258379,-0.2480948319244868,-0.041914513399271006,-0.1987042369021173,,-0.5526080113202951,0.10123504923223228,-0.5530180516924028,-0.46962141236929733,0.7991551183729776
90%,-0.6005159164410057,-0.6785937589933431,0.18757975669783458,0.5288863295103751,0.7366463192745503,0.8349227331680339,0.8950347772977476,1.0,0.8932626854224669,0.6961894993127067,0.453212582678581,-0.19923091696322642,-0.134705958058147,-0.134705958058147,-0.149393077966174,-0.47113087199417286,0.5248572224605861,0.8918913045054903,-0.06712608307376972,-0.13578672403128503,0.5132450970162484,-0.3792816182045048,-0.21460331980666253,-0.12706465232180997,-0.2823641796217311,,-0.5557370087528661,0.05691821659831171,-0.5624832180066082,-0.34958323745954106,0.8102052668380926
95%,-0.6896276973059255,-0.7683238842078456,0.18567271882145323,0.28959147099442206,0.5527030454759666,0.6668250103808551,0.726841897746367,0.8932626854224669,1.0,0.8922378113762128,0.7228542244525183,-0.04551669952745382,-0.06523357961664382,-0.06523357961664382,-0.3759709188708809,-0.668878511999473,0.28181170933941796,0.748482722835497,-0.10062396769148296,-0.06622801603534356,0.6651328733663687,-0.5794793637133111,-0.3146820516708869,-0.35550516397511567,-0.49079225642140484,,-0.6350855280320349,0.08590899094599008,-0.6398511267384056,-0.30613849658958064,0.8266758312618777
98%,-0.6493353236480169,-0.7352514562151082,0.37179887294527475,0.0574883727319731,0.31546683709757906,0.42346125158125014,0.4752503313517624,0.6961894993127067,0.8922378113762128,1.0,0.9349070424294357,0.18090459967171504,0.02961580429621245,0.02961580429621245,-0.6403310505571327,-0.7472061639642212,0.049361298637838724,0.5231544844742599,-0.14329352587208785,0.0293227492069248,0.7384627542476738,-0.7538620140225545,-0.4358740263298791,-0.6281720453810856,-0.6958680152112562,,-0.5982295710471526,0.24997444653370268,-0.5788660318034344,-0.24000714776868343,0.7869434516419681
