timestamp,CPU,Memory
1787250780,74m,23Mi
1787250781,74m,23Mi
1787250782,74m,23Mi
1787250783,74m,23Mi
1787250784,74m,23Mi
1787250785,74m,23Mi
1787250786,74m,23Mi
1787250787,74m,23Mi
1787250788,74m,23Mi
1787250789,361m,22Mi
1787250790,361m,22Mi
1787250791,361m,22Mi
1787250792,361m,22Mi
1787250793,361m,22Mi
1787250795,361m,22Mi
1787250796,361m,22Mi
1787250797,361m,22Mi
1787250798,361m,22Mi
1787250799,361m,22Mi
1787250800,361m,22Mi
1787250801,361m,22Mi
1787250802,361m,22Mi
1787250803,361m,22Mi
1787250804,728m,22Mi
1787250805,728m,22Mi
1787250806,728m,22Mi
1787250807,728m,22Mi
1787250808,728m,22Mi
1787250810,728m,22Mi
1787250811,728m,22Mi
1787250812,728m,22Mi
1787250813,728m,22Mi
1787250814,728m,22Mi
1787250815,728m,22Mi
1787250816,728m,22Mi
1787250817,728m,22Mi
1787250818,728m,22Mi
1787250819,728m,22Mi
1787250820,728m,22Mi
1787250821,728m,22Mi
1787250822,728m,22Mi
1787250823,728m,22Mi
1787250824,728m,22Mi
1787250826,728m,22Mi
1787250827,728m,22Mi
1787250828,728m,22Mi
1787250829,728m,22Mi
1787250830,728m,22Mi
1787250831,728m,22Mi
1787250832,728m,22Mi
1787250833,728m,22Mi
1787250834,979m,23Mi
1787250835,979m,23Mi
1787250836,979m,23Mi
1787250837,979m,23Mi
1787250838,979m,23Mi
1787250839,979m,23Mi
1787250840,979m,23Mi
1787250842,979m,23Mi
1787250843,979m,23Mi
1787250844,979m,23Mi
1787250845,979m,23Mi
1787250846,979m,23Mi
1787250847,979m,23Mi
1787250848,979m,23Mi
1787250849,1000m,22Mi
1787250850,1000m,22Mi
1787250851,1000m,22Mi
1787250852,1000m,22Mi
1787250853,1000m,22Mi
1787250854,1000m,22Mi
1787250855,1000m,22Mi
1787250856,1000m,22Mi
1787250858,1000m,22Mi
1787250859,1000m,22Mi
1787250860,1000m,22Mi
1787250861,1000m,22Mi
1787250862,1000m,22Mi
1787250863,1000m,22Mi
1787250864,999m,23Mi
1787250865,999m,23Mi
1787250866,999m,23Mi
1787250867,999m,23Mi
1787250868,999m,23Mi
1787250869,999m,23Mi
1787250870,999m,23Mi
1787250871,999m,23Mi
1787250872,999m,23Mi
1787250873,999m,23Mi
1787250875,999m,23Mi
1787250876,999m,23Mi
1787250877,999m,23Mi
1787250878,999m,23Mi
1787250879,1000m,23Mi
1787250880,1000m,23Mi
1787250881,1000m,23Mi
1787250882,1000m,23Mi
1787250883,1000m,23Mi
1787250884,1000m,23Mi
1787250885,1000m,23Mi
1787250886,1000m,23Mi
1787250887,1000m,23Mi
1787250888,1000m,23Mi
1787250889,1000m,23Mi
1787250891,1000m,23Mi
1787250892,1000m,23Mi
1787250893,1000m,23Mi
1787250894,1000m,22Mi
1787250895,1000m,22Mi
1787250896,1000m,22Mi
1787250897,1000m,22Mi
1787250898,1000m,22Mi
1787250899,1000m,22Mi
1787250900,1000m,22Mi
1787250901,1000m,22Mi
1787250902,1000m,22Mi
1787250903,1000m,22Mi
1787250904,1000m,22Mi
1787250905,1000m,22Mi
1787250907,1000m,22Mi
1787250908,1000m,22Mi
1787250909,1000m,22Mi
1787250910,1000m,22Mi
1787250911,1000m,22Mi
1787250912,1000m,22Mi
1787250913,1000m,22Mi
1787250914,1000m,22Mi
1787250915,1000m,22Mi
1787250916,1000m,22Mi
1787250917,1000m,22Mi
1787250918,1000m,22Mi
1787250919,1000m,22Mi
1787250920,1000m,22Mi
1787250921,1000m,22Mi
1787250923,1000m,22Mi
1787250924,1000m,23Mi
1787250925,1000m,23Mi
1787250926,1000m,23Mi
1787250927,1000m,23Mi
1787250928,1000m,23Mi
1787250929,1000m,23Mi
1787250930,1000m,23Mi
1787250931,1000m,23Mi
1787250932,1000m,23Mi
1787250933,1000m,23Mi
1787250934,1000m,23Mi
1787250935,1000m,23Mi
1787250936,1000m,23Mi
1787250938,1000m,23Mi
1787250939,999m,22Mi
1787250940,999m,22Mi
1787250941,999m,22Mi
1787250942,999m,22Mi
1787250943,999m,22Mi
1787250944,999m,22Mi
1787250945,999m,22Mi
1787250946,999m,22Mi
1787250947,999m,22Mi
1787250948,999m,22Mi
1787250949,999m,22Mi
