timestamp,dana_cpu,dana_mem,remote_cpu,remote_mem
1787064194,0m,18Mi,2m,18Mi
1787064195,0m,18Mi,2m,18Mi
1787064196,0m,18Mi,2m,18Mi
1787064197,0m,18Mi,2m,18Mi
1787064199,0m,18Mi,2m,18Mi
1787064200,0m,18Mi,2m,18Mi
1787064201,0m,18Mi,2m,18Mi
1787064202,0m,18Mi,2m,18Mi
1787064203,0m,18Mi,2m,18Mi
1787064204,83m,20Mi,12m,20Mi
1787064205,83m,20Mi,12m,20Mi
1787064206,83m,20Mi,12m,20Mi
1787064207,83m,20Mi,12m,20Mi
1787064209,83m,20Mi,12m,20Mi
1787064210,83m,20Mi,12m,20Mi
1787064211,83m,20Mi,12m,20Mi
1787064212,83m,20Mi,12m,20Mi
1787064213,83m,20Mi,12m,20Mi
1787064214,83m,20Mi,12m,20Mi
1787064215,83m,20Mi,12m,20Mi
1787064216,83m,20Mi,12m,20Mi
1787064218,83m,20Mi,12m,20Mi
1787064219,473m,20Mi,48m,22Mi
1787064220,473m,20Mi,48m,22Mi
1787064221,473m,20Mi,48m,22Mi
1787064222,473m,20Mi,48m,22Mi
1787064223,473m,20Mi,48m,22Mi
1787064224,473m,20Mi,48m,22Mi
1787064225,473m,20Mi,48m,22Mi
1787064226,473m,20Mi,48m,22Mi
1787064228,473m,20Mi,48m,22Mi
1787064229,473m,20Mi,48m,22Mi
1787064230,473m,20Mi,48m,22Mi
1787064231,473m,20Mi,48m,22Mi
1787064232,473m,20Mi,48m,22Mi
1787064233,473m,20Mi,172m,24Mi
1787064234,1593m,29Mi,172m,24Mi
1787064235,1593m,29Mi,172m,24Mi
1787064237,1593m,29Mi,172m,24Mi
1787064238,1593m,29Mi,172m,24Mi
1787064239,1593m,29Mi,172m,24Mi
1787064240,1593m,29Mi,172m,24Mi
1787064241,1593m,29Mi,172m,24Mi
1787064242,1593m,29Mi,172m,24Mi
1787064243,1593m,29Mi,172m,24Mi
1787064244,1593m,29Mi,172m,24Mi
1787064245,1593m,29Mi,172m,24Mi
1787064246,1593m,29Mi,172m,24Mi
1787064248,1593m,29Mi,172m,24Mi
1787064249,1650m,29Mi,212m,24Mi
1787064250,1650m,29Mi,212m,24Mi
1787064251,1650m,29Mi,212m,24Mi
1787064252,1650m,29Mi,212m,24Mi
1787064253,1650m,29Mi,212m,24Mi
1787064254,1650m,29Mi,212m,24Mi
1787064255,1650m,29Mi,212m,24Mi
1787064256,1650m,29Mi,212m,24Mi
1787064258,1650m,29Mi,212m,24Mi
1787064259,1650m,29Mi,212m,24Mi
1787064260,1650m,29Mi,212m,24Mi
1787064261,1650m,29Mi,212m,24Mi
1787064262,1650m,29Mi,212m,24Mi
1787064263,1650m,29Mi,212m,24Mi
1787064264,1911m,31Mi,202m,24Mi
1787064265,1911m,31Mi,202m,24Mi
1787064266,1911m,31Mi,202m,24Mi
1787064268,1911m,31Mi,202m,24Mi
1787064269,1911m,31Mi,202m,24Mi
1787064270,1911m,31Mi,202m,24Mi
1787064271,1911m,31Mi,202m,24Mi
1787064272,1911m,31Mi,202m,24Mi
1787064273,1911m,31Mi,202m,24Mi
1787064274,1911m,31Mi,202m,24Mi
1787064275,1911m,31Mi,202m,24Mi
1787064276,1911m,31Mi,202m,24Mi
1787064277,1911m,31Mi,202m,24Mi
1787064279,1951m,30Mi,184m,25Mi
1787064280,1951m,30Mi,184m,25Mi
1787064281,1951m,30Mi,184m,25Mi
1787064282,1951m,30Mi,184m,25Mi
1787064283,1951m,30Mi,184m,25Mi
1787064284,1951m,30Mi,184m,25Mi
1787064285,1951m,30Mi,184m,25Mi
1787064286,1951m,30Mi,184m,25Mi
1787064287,1951m,30Mi,184m,25Mi
1787064289,1951m,30Mi,184m,25Mi
1787064290,1951m,30Mi,184m,25Mi
1787064291,1951m,30Mi,184m,25Mi
1787064292,1951m,30Mi,184m,25Mi
1787064293,1951m,30Mi,184m,25Mi
1787064294,1960m,31Mi,170m,24Mi
1787064295,1960m,31Mi,170m,24Mi
1787064296,1960m,31Mi,170m,24Mi
1787064297,1960m,31Mi,170m,24Mi
1787064299,1960m,31Mi,170m,24Mi
1787064300,1960m,31Mi,170m,24Mi
1787064301,1960m,31Mi,170m,24Mi
1787064302,1960m,31Mi,170m,24Mi
1787064303,1960m,31Mi,170m,24Mi
1787064304,1960m,31Mi,170m,24Mi
1787064305,1960m,31Mi,170m,24Mi
1787064306,1960m,31Mi,170m,24Mi
1787064307,1960m,31Mi,170m,24Mi
1787064309,1954m,31Mi,165m,24Mi
1787064310,1954m,31Mi,165m,24Mi
1787064311,1954m,31Mi,165m,24Mi
1787064312,1954m,31Mi,165m,24Mi
1787064313,1954m,31Mi,165m,24Mi
1787064314,1954m,31Mi,165m,24Mi
1787064315,1954m,31Mi,165m,24Mi
1787064316,1954m,31Mi,165m,24Mi
1787064317,1954m,31Mi,165m,24Mi
1787064318,1954m,31Mi,165m,24Mi
1787064320,1954m,31Mi,165m,24Mi
1787064321,1954m,31Mi,165m,24Mi
1787064322,1954m,31Mi,165m,24Mi
1787064323,1954m,31Mi,165m,24Mi
1787064324,1964m,31Mi,151m,24Mi
1787064325,1964m,31Mi,151m,24Mi
1787064326,1964m,31Mi,151m,24Mi
1787064327,1964m,31Mi,151m,24Mi
1787064328,1964m,31Mi,151m,24Mi
1787064330,1964m,31Mi,151m,24Mi
1787064331,1964m,31Mi,151m,24Mi
1787064332,1964m,31Mi,151m,24Mi
1787064333,1964m,31Mi,151m,24Mi
1787064334,1964m,31Mi,151m,24Mi
1787064335,1964m,31Mi,151m,24Mi
1787064336,1964m,31Mi,151m,24Mi
1787064337,1964m,31Mi,151m,24Mi
1787064338,1962m,31Mi,146m,25Mi
1787064339,1962m,31Mi,146m,25Mi
1787064341,1962m,31Mi,146m,25Mi
1787064342,1962m,31Mi,146m,25Mi
1787064343,1962m,31Mi,146m,25Mi
1787064344,1962m,31Mi,146m,25Mi
1787064345,1962m,31Mi,146m,25Mi
1787064346,1962m,31Mi,146m,25Mi
1787064347,1962m,31Mi,146m,25Mi
1787064348,1962m,31Mi,146m,25Mi
1787064349,1962m,31Mi,146m,25Mi
1787064351,1962m,31Mi,146m,25Mi
1787064352,1962m,31Mi,146m,25Mi
1787064353,1962m,31Mi,146m,25Mi
1787064354,1961m,32Mi,136m,25Mi
1787064355,1961m,32Mi,136m,25Mi
1787064356,1961m,32Mi,136m,25Mi
1787064357,1961m,32Mi,136m,25Mi
1787064358,1961m,32Mi,136m,25Mi
1787064359,1961m,32Mi,136m,25Mi
1787064361,1961m,32Mi,136m,25Mi
1787064362,1961m,32Mi,136m,25Mi
1787064363,1961m,32Mi,136m,25Mi
1787064364,1961m,32Mi,136m,25Mi
1787064365,1961m,32Mi,136m,25Mi
1787064366,1961m,32Mi,136m,25Mi
1787064367,1961m,32Mi,136m,25Mi
1787064368,1964m,31Mi,135m,24Mi
1787064369,1964m,31Mi,135m,24Mi
1787064371,1964m,31Mi,135m,24Mi
1787064372,1964m,31Mi,135m,24Mi
1787064373,1964m,31Mi,135m,24Mi
1787064374,1964m,31Mi,135m,24Mi
1787064375,1964m,31Mi,135m,24Mi
1787064376,1964m,31Mi,135m,24Mi
1787064377,1964m,31Mi,135m,24Mi
1787064378,1964m,31Mi,135m,24Mi
1787064379,1964m,31Mi,135m,24Mi
1787064381,1964m,31Mi,135m,24Mi
1787064382,1964m,31Mi,135m,24Mi
1787064383,1964m,31Mi,135m,24Mi
1787064384,1962m,32Mi,133m,24Mi
1787064385,1962m,32Mi,133m,24Mi
1787064386,1962m,32Mi,133m,24Mi
1787064387,1962m,32Mi,133m,24Mi
1787064388,1962m,32Mi,133m,24Mi
1787064389,1962m,32Mi,133m,24Mi
1787064390,1962m,32Mi,133m,24Mi
1787064392,1962m,32Mi,133m,24Mi
1787064393,1962m,32Mi,133m,24Mi
