timestamp,dana_cpu,dana_mem,remote_cpu,remote_mem
1787253070,54m,38Mi,2112m,50Mi
1787253071,54m,38Mi,2112m,50Mi
1787253072,54m,38Mi,2112m,50Mi
1787253073,54m,38Mi,2112m,50Mi
1787253074,54m,38Mi,2112m,50Mi
1787253075,54m,38Mi,2112m,50Mi
1787253077,54m,38Mi,2112m,50Mi
1787253078,54m,38Mi,2112m,50Mi
1787253079,54m,38Mi,2112m,50Mi
1787253080,54m,38Mi,2112m,50Mi
1787253081,54m,38Mi,2112m,50Mi
1787253082,54m,38Mi,2112m,50Mi
1787253083,214m,38Mi,148m,42Mi
1787253084,214m,38Mi,148m,42Mi
1787253086,214m,38Mi,148m,42Mi
1787253087,214m,38Mi,148m,42Mi
1787253088,214m,38Mi,148m,42Mi
1787253089,214m,38Mi,148m,42Mi
1787253090,214m,38Mi,148m,42Mi
1787253091,214m,38Mi,148m,42Mi
1787253092,214m,38Mi,148m,42Mi
1787253093,214m,38Mi,148m,42Mi
1787253094,214m,38Mi,148m,42Mi
1787253096,214m,38Mi,148m,42Mi
1787253097,214m,38Mi,148m,42Mi
1787253098,214m,38Mi,148m,42Mi
1787253099,373m,38Mi,43m,42Mi
1787253100,373m,38Mi,43m,42Mi
1787253101,373m,38Mi,43m,42Mi
1787253102,373m,38Mi,43m,42Mi
1787253103,373m,38Mi,43m,42Mi
1787253105,373m,38Mi,43m,42Mi
1787253106,373m,38Mi,43m,42Mi
1787253107,373m,38Mi,43m,42Mi
1787253108,373m,38Mi,43m,42Mi
1787253109,373m,38Mi,43m,42Mi
1787253110,373m,38Mi,43m,42Mi
1787253111,373m,38Mi,43m,42Mi
1787253112,373m,38Mi,43m,42Mi
1787253114,423m,39Mi,71m,42Mi
1787253115,423m,39Mi,71m,42Mi
1787253116,423m,39Mi,71m,42Mi
1787253117,423m,39Mi,71m,42Mi
1787253118,423m,39Mi,71m,42Mi
1787253119,423m,39Mi,71m,42Mi
1787253120,423m,39Mi,71m,42Mi
1787253121,423m,39Mi,71m,42Mi
1787253123,423m,39Mi,71m,42Mi
1787253124,423m,39Mi,71m,42Mi
1787253125,423m,39Mi,71m,42Mi
1787253126,423m,39Mi,71m,42Mi
1787253127,423m,39Mi,71m,42Mi
1787253128,423m,39Mi,130m,43Mi
1787253129,525m,39Mi,130m,43Mi
1787253130,525m,39Mi,130m,43Mi
1787253132,525m,39Mi,130m,43Mi
1787253133,525m,39Mi,130m,43Mi
1787253134,525m,39Mi,130m,43Mi
1787253135,525m,39Mi,130m,43Mi
1787253136,525m,39Mi,130m,43Mi
1787253137,525m,39Mi,130m,43Mi
1787253138,525m,39Mi,130m,43Mi
1787253139,525m,39Mi,130m,43Mi
1787253141,525m,39Mi,130m,43Mi
1787253142,525m,39Mi,130m,43Mi
1787253143,525m,39Mi,130m,43Mi
1787253144,562m,38Mi,162m,44Mi
1787253145,562m,38Mi,162m,44Mi
1787253146,562m,38Mi,162m,44Mi
1787253147,562m,38Mi,162m,44Mi
1787253148,562m,38Mi,162m,44Mi
1787253150,562m,38Mi,162m,44Mi
1787253151,562m,38Mi,162m,44Mi
1787253152,562m,38Mi,162m,44Mi
1787253153,562m,38Mi,162m,44Mi
1787253154,562m,38Mi,162m,44Mi
1787253155,562m,38Mi,162m,44Mi
1787253156,562m,38Mi,162m,44Mi
1787253158,562m,38Mi,162m,44Mi
1787253159,534m,39Mi,158m,43Mi
1787253160,534m,39Mi,158m,43Mi
1787253161,534m,39Mi,158m,43Mi
1787253162,534m,39Mi,158m,43Mi
1787253163,534m,39Mi,158m,43Mi
1787253164,534m,39Mi,158m,43Mi
1787253165,534m,39Mi,158m,43Mi
1787253166,534m,39Mi,158m,43Mi
1787253168,534m,39Mi,158m,43Mi
1787253169,534m,39Mi,158m,43Mi
1787253170,534m,39Mi,158m,43Mi
1787253171,534m,39Mi,158m,43Mi
1787253172,534m,39Mi,158m,43Mi
1787253173,534m,39Mi,158m,43Mi
1787253174,570m,39Mi,153m,43Mi
1787253175,570m,39Mi,153m,43Mi
1787253177,570m,39Mi,153m,43Mi
1787253178,570m,39Mi,153m,43Mi
1787253179,570m,39Mi,153m,43Mi
1787253180,570m,39Mi,153m,43Mi
1787253181,570m,39Mi,153m,43Mi
1787253182,570m,39Mi,153m,43Mi
1787253183,570m,39Mi,153m,43Mi
1787253184,570m,39Mi,153m,43Mi
1787253185,570m,39Mi,153m,43Mi
1787253187,570m,39Mi,153m,43Mi
1787253188,570m,39Mi,153m,43Mi
1787253189,570m,39Mi,163m,44Mi
1787253190,570m,39Mi,163m,44Mi
1787253191,570m,39Mi,163m,44Mi
1787253192,570m,39Mi,163m,44Mi
1787253193,570m,39Mi,163m,44Mi
1787253194,570m,39Mi,163m,44Mi
1787253196,570m,39Mi,163m,44Mi
1787253197,570m,39Mi,163m,44Mi
1787253198,570m,39Mi,163m,44Mi
1787253199,570m,39Mi,163m,44Mi
1787253200,570m,39Mi,163m,44Mi
1787253201,570m,39Mi,163m,44Mi
1787253202,570m,39Mi,163m,44Mi
1787253204,557m,38Mi,153m,43Mi
1787253205,557m,38Mi,153m,43Mi
1787253206,557m,38Mi,153m,43Mi
1787253207,557m,38Mi,153m,43Mi
1787253208,557m,38Mi,153m,43Mi
1787253209,557m,38Mi,153m,43Mi
1787253210,557m,38Mi,153m,43Mi
1787253211,557m,38Mi,153m,43Mi
1787253213,557m,38Mi,153m,43Mi
1787253214,557m,38Mi,153m,43Mi
1787253215,557m,38Mi,153m,43Mi
1787253216,557m,38Mi,153m,43Mi
1787253217,557m,38Mi,153m,43Mi
1787253218,557m,38Mi,153m,43Mi
1787253219,563m,39Mi,166m,43Mi
1787253220,563m,39Mi,166m,43Mi
1787253222,563m,39Mi,166m,43Mi
1787253223,563m,39Mi,166m,43Mi
1787253224,563m,39Mi,166m,43Mi
1787253225,563m,39Mi,166m,43Mi
1787253226,563m,39Mi,166m,43Mi
1787253227,563m,39Mi,166m,43Mi
1787253228,563m,39Mi,166m,43Mi
1787253229,563m,39Mi,166m,43Mi
1787253231,563m,39Mi,166m,43Mi
1787253232,563m,39Mi,166m,43Mi
1787253233,563m,39Mi,166m,43Mi
1787253234,565m,38Mi,158m,44Mi
1787253235,565m,38Mi,158m,44Mi
1787253236,565m,38Mi,158m,44Mi
1787253237,565m,38Mi,158m,44Mi
