Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787253369,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787253370,2,,Aggregated,0.000000,0.000000,96,96,96,96,96,96,96,96,96,96,96,2,0,87,91.4100954978494,86.53078199131414,96.28940900438465,868.0
1787253371,4,,Aggregated,0.000000,0.000000,130,130,140,140,140,140,140,140,140,140,140,6,0,120,119.9577161654209,86.53078199131414,140.75325499288738,868.0
1787253372,6,,Aggregated,0.000000,0.000000,140,150,160,160,160,170,170,170,170,170,170,12,0,140,132.68706500093685,68.30779599840753,170.12948699994013,796.25
1787253373,8,,Aggregated,2.000000,0.000000,160,180,200,210,220,230,230,230,230,230,230,20,0,160,161.55786309973337,68.30779599840753,225.37951200501993,824.95
1787253374,10,,Aggregated,3.000000,0.000000,200,220,250,260,270,270,270,270,270,270,270,30,0,200,192.39399239886552,68.30779599840753,272.36450600321405,839.3
1787253375,10,,Aggregated,4.000000,0.000000,220,240,240,250,260,270,270,270,270,270,270,40,0,220,201.82765884819673,68.30779599840753,272.36450600321405,803.425
1787253376,10,,Aggregated,5.000000,0.000000,230,250,250,250,260,270,270,270,270,270,270,50,0,220,208.30940207932144,68.30779599840753,272.36450600321405,799.12
1787253377,10,,Aggregated,6.000000,0.000000,240,250,260,260,270,270,270,270,270,270,270,60,0,240,216.14151178267397,68.30779599840753,273.44545398955233,810.6
1787253378,10,,Aggregated,6.666667,0.000000,240,250,260,260,270,270,270,270,270,270,270,70,0,240,217.77905658527743,68.30779599840753,273.44545398955233,806.5
1787253379,10,,Aggregated,7.142857,0.000000,240,250,260,260,270,270,280,280,280,280,280,80,0,240,222.4322602749453,68.30779599840753,280.94061100273393,814.1875
1787253380,10,,Aggregated,7.500000,0.000000,240,250,260,260,270,270,280,280,280,280,280,90,0,230,219.24351095609987,68.30779599840753,280.94061100273393,791.4666666666667
1787253381,10,,Aggregated,7.777778,0.000000,230,250,260,260,270,270,280,280,280,280,280,100,0,230,217.3772877108422,68.30779599840753,280.94061100273393,781.9
1787253382,10,,Aggregated,8.000000,0.000000,240,250,250,260,270,270,270,280,280,280,280,110,0,240,218.5456637097311,68.30779599840753,280.94061100273393,781.9
1787253383,10,,Aggregated,8.800000,0.000000,240,250,260,260,270,270,270,280,280,280,280,120,0,240,222.25636567576052,68.30779599840753,280.94061100273393,789.075
1787253384,10,,Aggregated,9.400000,0.000000,240,250,260,260,270,270,270,280,280,280,280,130,0,240,222.63678814656137,68.30779599840753,280.94061100273393,788.5230769230769
1787253385,10,,Aggregated,9.800000,0.000000,240,250,260,260,270,270,270,280,280,280,280,140,0,240,225.2300844070435,68.30779599840753,280.94061100273393,794.2
1787253386,10,,Aggregated,10.000000,0.000000,240,250,260,260,270,270,270,280,280,280,280,150,0,240,225.5466279798808,68.30779599840753,280.94061100273393,793.38
1787253387,10,,Aggregated,10.000000,0.000000,240,250,260,260,270,270,270,280,280,280,280,160,0,240,226.00867182500224,68.30779599840753,280.94061100273393,792.6625
1787253388,10,,Aggregated,10.000000,0.000000,240,250,260,260,270,270,270,280,280,280,280,170,0,240,223.38624718249775,68.30779599840753,280.94061100273393,781.9
1787253389,10,,Aggregated,10.000000,0.000000,240,250,260,260,270,270,280,280,280,280,280,180,0,240,225.59271421681237,68.30779599840753,280.94061100273393,786.6833333333333
1787253390,15,,Aggregated,10.000000,0.000000,250,260,260,270,270,290,310,340,340,340,340,195,0,250,230.53276829215554,68.30779599840753,341.6591130080633,785.8
1787253391,20,,Aggregated,10.000000,0.000000,250,260,270,270,290,310,370,390,430,430,430,215,0,250,235.8340606555007,68.30779599840753,430.5428240040783,773.2139534883721
1787253392,20,,Aggregated,10.000000,0.000000,250,260,270,270,300,340,370,390,430,430,430,235,0,250,236.6552880760827,68.30779599840753,430.5428240040783,755.327659574468
1787253393,20,,Aggregated,10.500000,0.000000,250,260,270,280,310,360,390,400,430,430,430,255,0,250,241.25826834043596,68.30779599840753,430.5428240040783,745.8117647058823
1787253394,20,,Aggregated,11.500000,0.000000,250,260,270,280,340,370,400,410,430,430,430,275,0,250,244.31010263209993,68.30779599840753,430.5428240040783,740.810909090909
1787253395,20,,Aggregated,12.500000,0.000000,250,270,280,300,340,390,410,420,430,430,430,295,0,250,249.02795065703438,68.30779599840753,430.5428240040783,736.9864406779661
1787253396,20,,Aggregated,13.500000,0.000000,250,270,290,300,350,390,410,410,430,430,430,315,0,250,252.05446952650885,68.30779599840753,430.5428240040783,730.9714285714285
1787253397,20,,Aggregated,15.500000,0.000000,260,270,300,310,360,400,420,430,450,450,450,335,0,260,257.0455502563177,68.30779599840753,452.4447880103253,731.934328358209
1787253398,20,,Aggregated,15.500000,0.000000,260,280,300,330,370,410,420,430,450,450,450,355,0,260,260.13409541944424,68.30779599840753,452.4447880103253,731.2676056338029
1787253399,20,,Aggregated,16.500000,0.000000,260,280,310,330,370,400,420,430,450,450,450,375,0,260,262.4816074797418,68.30779599840753,452.4447880103253,726.5413333333333
1787253400,20,,Aggregated,18.500000,0.000000,260,290,320,340,390,410,440,460,460,460,460,395,0,260,267.0181141666703,68.30779599840753,464.1991929966025,730.1569620253165
1787253401,20,,Aggregated,18.500000,0.000000,260,290,320,340,390,410,430,450,460,460,460,415,0,260,267.362427230958,68.30779599840753,464.1991929966025,725.0602409638554
1787253402,20,,Aggregated,19.500000,0.000000,270,290,320,340,380,410,430,450,460,460,460,435,0,270,267.3885705996567,68.30779599840753,464.1991929966025,720.0298850574712
1787253403,20,,Aggregated,19.500000,0.000000,270,300,330,340,390,410,430,450,460,460,460,455,0,270,269.7597608655297,68.30779599840753,464.1991929966025,718.1406593406593
1787253404,20,,Aggregated,20.000000,0.000000,270,300,330,340,390,420,440,450,460,460,460,475,0,270,272.80372532789204,68.30779599840753,464.1991929966025,719.7073684210526
1787253405,20,,Aggregated,20.000000,0.000000,270,300,330,340,390,420,440,450,460,460,460,495,0,270,273.7578451854525,68.30779599840753,464.1991929966025,718.0020202020202
1787253406,20,,Aggregated,20.000000,0.000000,270,300,330,340,400,420,430,450,460,460,460,515,0,270,275.0195295452163,68.30779599840753,464.1991929966025,716.4116504854369
1787253407,20,,Aggregated,19.800000,0.000000,270,300,330,340,390,410,430,450,460,460,460,535,0,270,273.9852165118421,68.30779599840753,464.1991929966025,711.2953271028038
1787253408,20,,Aggregated,20.000000,0.000000,270,300,340,350,400,420,450,460,460,460,460,555,0,270,276.75925899257146,68.30779599840753,464.1991929966025,714.136936936937
1787253409,20,,Aggregated,20.300000,0.000000,270,310,340,350,400,430,450,460,460,460,460,575,0,270,278.79658677549423,68.30779599840753,464.1991929966025,717.0521739130435
1787253410,25,,Aggregated,19.400000,0.000000,280,310,340,350,400,430,450,460,460,460,460,600,0,280,280.01194309317117,68.30779599840753,464.1991929966025,712.5816666666667
1787253411,30,,Aggregated,19.400000,0.000000,280,310,340,350,400,430,450,460,460,460,460,630,0,280,277.2242934060549,68.30779599840753,464.1991929966025,695.3857142857142
1787253412,35,,Aggregated,20.700000,0.000000,280,310,340,350,410,430,460,460,510,510,510,665,0,280,279.573434134954,68.30779599840753,508.1385919766035,682.2015037593985
