Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787327621,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787327622,2,,Aggregated,0.000000,0.000000,88,88,88,88,88,88,88,88,88,88,88,2,0,56,71.94113350124098,55.56268704822287,88.3195799542591,435.5
1787327623,4,,Aggregated,0.000000,0.000000,210,210,210,210,210,210,210,210,210,210,210,6,0,190,161.3668723439332,55.56268704822287,210.19112801877782,721.5
1787327624,6,,Aggregated,0.000000,0.000000,210,230,240,240,250,250,250,250,250,250,250,12,0,210,193.5036737510624,55.56268704822287,247.43797001428902,721.5833333333334
1787327625,8,,Aggregated,2.000000,0.000000,250,340,350,360,360,360,360,360,360,360,360,20,0,240,255.96806820249185,55.56268704822287,359.8605280276388,778.7
1787327626,10,,Aggregated,3.000000,0.000000,310,330,340,340,360,360,360,360,360,360,360,30,0,250,265.50951153427985,55.56268704822287,359.8605280276388,721.5333333333333
1787327627,10,,Aggregated,4.000000,0.000000,330,340,360,360,370,380,380,380,380,380,380,40,0,330,288.67514647572534,55.56268704822287,383.39117501163855,714.375
1787327628,10,,Aggregated,5.000000,0.000000,340,360,370,380,430,440,450,450,450,450,450,50,0,340,315.09531037998386,55.56268704822287,447.83662498230115,744.32
1787327629,10,,Aggregated,6.000000,0.000000,350,370,380,400,430,440,450,450,450,450,450,60,0,340,319.9130135355517,55.56268704822287,447.83662498230115,750.0333333333333
1787327630,10,,Aggregated,6.666667,0.000000,360,380,390,400,420,440,450,450,450,450,450,70,0,360,326.5545657727801,55.56268704822287,447.83662498230115,754.1
1787327631,10,,Aggregated,7.142857,0.000000,340,370,390,400,410,440,450,450,450,450,450,80,0,340,319.51688223925885,55.56268704822287,447.83662498230115,735.7
1787327632,10,,Aggregated,7.500000,0.000000,360,380,400,400,420,430,450,450,450,450,450,90,0,350,326.1486023231151,55.56268704822287,447.83662498230115,740.4777777777778
1787327633,10,,Aggregated,7.777778,0.000000,360,390,400,400,420,430,450,450,450,450,450,100,0,360,331.744564990513,55.56268704822287,447.83662498230115,744.29
1787327634,10,,Aggregated,8.000000,0.000000,360,380,400,400,410,430,440,450,450,450,450,110,0,360,333.0786800287156,55.56268704822287,447.83662498230115,739.6181818181818
1787327635,10,,Aggregated,8.800000,0.000000,360,380,400,400,410,430,440,450,450,450,450,120,0,360,332.90473780992517,55.56268704822287,447.83662498230115,735.7166666666667
1787327636,10,,Aggregated,9.400000,0.000000,370,390,400,410,430,430,440,450,450,450,450,130,0,360,340.0483620854524,55.56268704822287,447.83662498230115,745.6076923076923
