timestamp,dana_cpu,dana_mem,remote_cpu,remote_mem
1787326776,70m,29Mi,0m,21Mi
1787326777,70m,29Mi,0m,21Mi
1787326778,66m,29Mi,131m,24Mi
1787326780,66m,29Mi,131m,24Mi
1787326781,66m,29Mi,131m,24Mi
1787326782,66m,29Mi,131m,24Mi
1787326783,66m,29Mi,131m,24Mi
1787326784,66m,29Mi,131m,24Mi
1787326785,66m,29Mi,131m,24Mi
1787326786,66m,29Mi,131m,24Mi
1787326787,66m,29Mi,131m,24Mi
1787326789,66m,29Mi,131m,24Mi
1787326790,66m,29Mi,131m,24Mi
1787326791,66m,29Mi,131m,24Mi
1787326792,66m,29Mi,131m,24Mi
1787326793,66m,29Mi,131m,24Mi
1787326794,305m,29Mi,53m,25Mi
1787326795,305m,29Mi,53m,25Mi
1787326796,305m,29Mi,53m,25Mi
1787326798,305m,29Mi,53m,25Mi
1787326799,305m,29Mi,53m,25Mi
1787326800,305m,29Mi,53m,25Mi
1787326801,305m,29Mi,53m,25Mi
1787326802,305m,29Mi,53m,25Mi
1787326803,305m,29Mi,53m,25Mi
1787326804,305m,29Mi,53m,25Mi
1787326805,305m,29Mi,53m,25Mi
1787326807,305m,29Mi,53m,25Mi
1787326808,305m,29Mi,53m,25Mi
1787326809,471m,30Mi,86m,26Mi
1787326810,471m,30Mi,86m,26Mi
1787326811,471m,30Mi,86m,26Mi
1787326812,471m,30Mi,86m,26Mi
1787326813,471m,30Mi,86m,26Mi
1787326814,471m,30Mi,86m,26Mi
1787326816,471m,30Mi,86m,26Mi
1787326817,471m,30Mi,86m,26Mi
1787326818,471m,30Mi,86m,26Mi
1787326819,471m,30Mi,86m,26Mi
1787326820,471m,30Mi,86m,26Mi
1787326821,471m,30Mi,86m,26Mi
1787326822,471m,30Mi,86m,26Mi
1787326823,705m,29Mi,123m,25Mi
1787326824,705m,29Mi,123m,25Mi
1787326826,705m,29Mi,123m,25Mi
1787326827,705m,29Mi,123m,25Mi
1787326828,705m,29Mi,123m,25Mi
1787326829,705m,29Mi,123m,25Mi
1787326830,705m,29Mi,123m,25Mi
1787326831,705m,29Mi,123m,25Mi
1787326832,705m,29Mi,123m,25Mi
1787326834,705m,29Mi,123m,25Mi
1787326835,705m,29Mi,123m,25Mi
1787326836,705m,29Mi,123m,25Mi
1787326837,705m,29Mi,123m,25Mi
1787326838,705m,29Mi,123m,25Mi
1787326839,705m,29Mi,176m,26Mi
1787326840,705m,29Mi,176m,26Mi
1787326841,705m,29Mi,176m,26Mi
1787326843,705m,29Mi,176m,26Mi
1787326844,705m,29Mi,176m,26Mi
1787326845,705m,29Mi,176m,26Mi
1787326846,705m,29Mi,176m,26Mi
1787326847,705m,29Mi,176m,26Mi
1787326848,705m,29Mi,176m,26Mi
1787326849,705m,29Mi,176m,26Mi
1787326850,705m,29Mi,176m,26Mi
1787326852,705m,29Mi,176m,26Mi
1787326853,705m,29Mi,176m,26Mi
1787326854,771m,29Mi,179m,26Mi
1787326855,771m,29Mi,179m,26Mi
1787326856,771m,29Mi,179m,26Mi
1787326857,771m,29Mi,179m,26Mi
1787326858,771m,29Mi,179m,26Mi
1787326859,771m,29Mi,179m,26Mi
1787326861,771m,29Mi,179m,26Mi
1787326862,771m,29Mi,179m,26Mi
1787326863,771m,29Mi,179m,26Mi
1787326864,771m,29Mi,179m,26Mi
1787326865,771m,29Mi,179m,26Mi
1787326866,771m,29Mi,179m,26Mi
1787326867,771m,29Mi,179m,26Mi
1787326869,767m,30Mi,187m,25Mi
1787326870,767m,30Mi,187m,25Mi
1787326871,767m,30Mi,187m,25Mi
1787326872,767m,30Mi,187m,25Mi
1787326873,767m,30Mi,187m,25Mi
1787326874,767m,30Mi,187m,25Mi
1787326875,767m,30Mi,187m,25Mi
1787326876,767m,30Mi,187m,25Mi
1787326878,767m,30Mi,187m,25Mi
1787326879,767m,30Mi,187m,25Mi
1787326880,767m,30Mi,187m,25Mi
1787326881,767m,30Mi,187m,25Mi
1787326882,767m,30Mi,187m,25Mi
1787326883,767m,30Mi,187m,25Mi
1787326884,752m,29Mi,187m,25Mi
1787326885,752m,29Mi,187m,25Mi
1787326887,752m,29Mi,187m,25Mi
1787326888,752m,29Mi,187m,25Mi
1787326889,752m,29Mi,187m,25Mi
1787326890,752m,29Mi,187m,25Mi
1787326891,752m,29Mi,187m,25Mi
1787326892,752m,29Mi,187m,25Mi
1787326893,752m,29Mi,187m,25Mi
1787326894,752m,29Mi,187m,25Mi
1787326896,752m,29Mi,187m,25Mi
