Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785349924,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785349925,2,,Aggregated,0.000000,0.000000,390,390,390,390,390,390,390,390,390,390,390,2,0,354.39120000228286,374.40324999624863,354.39120000228286,394.4152999902144,825.0
1785349926,4,,Aggregated,0.000000,0.000000,390,390,550,550,710,710,710,710,710,710,710,6,0,380,437.0900332966509,237.7095998963341,705.5893999058753,687.5
1785349927,8,,Aggregated,2.000000,0.000000,490,550,710,710,800,960,960,960,960,960,960,12,0,390,504.5898749958724,200.85280004423112,959.2568000080064,755.8333333333334
1785349928,10,,Aggregated,2.500000,0.000000,490,640,710,710,880,960,960,960,960,960,960,17,0,490,513.433005879907,200.85280004423112,959.2568000080064,727.6470588235294
1785349929,10,,Aggregated,3.000000,0.000000,540,710,810,880,980,1000,1600,1600,1600,1600,1600,24,0,490,592.1892249995532,200.85280004423112,1647.7826000191271,687.2916666666666
1785349930,10,,Aggregated,3.750000,0.000000,640,810,960,980,1400,1600,2100,2100,2100,2100,2100,30,0,550,703.2869666659584,200.85280004423112,2131.8192000035197,714.8333333333334
1785349931,10,,Aggregated,4.200000,0.000000,710,880,980,1000,2000,2300,2500,2500,2500,2500,2500,37,0,710,848.6476324316164,200.85280004423112,2529.756599920802,691.4864864864865
1785349932,10,,Aggregated,4.500000,0.000000,710,960,1000,1600,2100,2300,2500,2500,2500,2500,2500,43,0,710,915.9849255757276,200.85280004423112,2529.756599920802,691.3953488372093
1785349933,10,,Aggregated,4.857143,0.000000,780,980,1200,1600,2100,2300,2500,2500,2500,2500,2500,49,0,780,947.0801346849802,200.85280004423112,2529.756599920802,691.3265306122449
1785349934,10,,Aggregated,5.000000,0.000000,800,1000,1600,1600,2100,2500,2500,3200,3200,3200,3200,56,0,780,1007.071994637954,200.85280004423112,3209.79879994411,708.5714285714286
1785349935,10,,Aggregated,5.222222,0.000000,810,1100,1600,1600,2100,2400,2500,3200,3200,3200,3200,63,0,810,1045.0465634875443,200.85280004423112,3209.79879994411,708.8095238095239
1785349936,10,,Aggregated,5.300000,0.000000,830,1100,1600,1600,2300,2500,3200,3700,3700,3700,3700,68,0,810,1072.607557349222,200.85280004423112,3679.0517999324948,693.3088235294117
1785349937,10,,Aggregated,5.800000,0.000000,840,1200,1600,1700,2300,2500,3200,3700,3700,3700,3700,74,0,830,1104.899212157958,200.85280004423112,3679.0517999324948,693.1081081081081
1785349938,10,,Aggregated,6.000000,0.000000,840,1200,1600,1700,2300,2700,3400,3700,3700,3700,3700,80,0,830,1117.1530549967429,200.85280004423112,3679.0517999324948,692.9375
1785349939,10,,Aggregated,6.200000,0.000000,840,1200,1600,1600,2300,2700,3700,4000,4000,4000,4000,87,0,840,1125.4514747087833,200.85280004423112,4024.37309990637,694.3678160919541
1785349940,10,,Aggregated,6.200000,0.000000,840,1200,1600,1700,2400,3200,3700,4000,4000,4000,4000,93,0,840,1159.4689548346064,200.85280004423112,4024.37309990637,685.2150537634409
1785349941,10,,Aggregated,6.200000,0.000000,840,1200,1600,1600,2400,3200,3700,4000,5000,5000,5000,101,0,840,1181.5022029648858,200.85280004423112,4983.048100024462,688.3564356435644
1785349942,10,,Aggregated,6.400000,0.000000,880,1200,1600,1600,2400,3200,3700,4000,5000,5000,5000,107,0,880,1181.425842051786,200.85280004423112,4983.048100024462,680.7009345794393
1785349943,10,,Aggregated,6.400000,0.000000,880,1200,1600,1700,2500,3300,3700,4000,5000,5000,5000,114,0,840,1207.3479991165202,200.85280004423112,4983.048100024462,689.7631578947369
1785349944,10,,Aggregated,6.400000,0.000000,880,1200,1600,1700,2500,3300,3700,4000,5000,5000,5000,120,0,840,1197.9538016603328,200.85280004423112,4983.048100024462,696.6833333333333
1785349945,10,,Aggregated,6.400000,0.000000,840,1200,1600,1700,2500,3300,4000,4000,5000,5000,5000,127,0,840,1205.0478409400107,200.85280004423112,4983.048100024462,703.9448818897638
1785349946,10,,Aggregated,6.400000,0.000000,840,1200,1600,1900,2700,3400,4000,4000,5000,5000,5000,134,0,840,1228.6550925328715,200.85280004423112,4983.048100024462,704.2537313432836
1785349947,10,,Aggregated,6.300000,0.000000,840,1200,1600,1800,2700,3400,4000,4000,5000,5000,5000,140,0,840,1211.5453049956288,200.85280004423112,4983.048100024462,703.6857142857143
1785349948,10,,Aggregated,6.400000,0.000000,840,1200,1600,1800,2700,3300,4000,4000,5000,5000,5000,146,0,840,1217.6003842423224,200.85280004423112,4983.048100024462,708.8013698630137
1785349949,10,,Aggregated,6.500000,0.000000,840,1200,1600,1800,2700,3400,4000,4800,5000,5000,5000,152,0,840,1230.8529388116624,200.85280004423112,4983.048100024462,713.5657894736842
