Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785156452,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785156453,2,,Aggregated,0.000000,0.000000,370,370,370,370,370,370,370,370,370,370,370,2,0,200,281.823599972995,196.2440999923274,367.4030999536626,828.0
1785156454,6,,Aggregated,0.000000,0.000000,370,370,510,510,670,670,670,670,670,670,670,6,0,350,381.31316665870446,193.79379996098578,668.1834000046365,828.0
1785156455,8,,Aggregated,2.000000,0.000000,490,510,670,670,800,960,960,960,960,960,960,12,0,370,475.7392916605265,192.14080000529066,963.9025999931619,827.5833333333334
1785156456,10,,Aggregated,3.000000,0.000000,490,650,670,710,880,960,960,960,960,960,960,17,0,490,490.3519764672691,192.14080000529066,963.9025999931619,827.1176470588235
1785156457,10,,Aggregated,3.333333,0.000000,640,710,820,880,1000,1200,1900,1900,1900,1900,1900,24,0,510,632.6955374994819,192.14080000529066,1856.4222999848425,827.375
1785156458,10,,Aggregated,3.750000,0.000000,650,810,860,960,1200,1200,1900,1900,1900,1900,1900,30,0,640,667.701380001381,192.14080000529066,1856.4222999848425,827.1666666666666
1785156459,10,,Aggregated,4.200000,0.000000,650,830,960,990,1900,2200,2700,2700,2700,2700,2700,37,0,650,793.1299973011797,192.14080000529066,2683.803200023249,827.3243243243244
1785156460,10,,Aggregated,4.666667,0.000000,790,890,990,1200,1900,2200,2700,2700,2700,2700,2700,44,0,710,883.3847659142604,192.14080000529066,2683.803200023249,827.3181818181819
1785156461,10,,Aggregated,5.142857,0.000000,790,890,990,1200,1900,2200,2700,2700,2700,2700,2700,49,0,790,893.1677816352541,192.14080000529066,2683.803200023249,827.2857142857143
1785156462,10,,Aggregated,5.125000,0.000000,790,910,990,1200,1900,2200,2300,2700,2700,2700,2700,57,0,790,912.754563161319,192.14080000529066,2683.803200023249,812.859649122807
1785156463,10,,Aggregated,5.222222,0.000000,790,910,1000,1300,2100,2200,2400,2700,2700,2700,2700,63,0,790,936.0018984159632,192.14080000529066,2683.803200023249,814.2222222222222
1785156464,10,,Aggregated,5.500000,0.000000,810,970,1300,1900,2200,2400,2700,6000,6000,6000,6000,70,0,800,1051.6080200031865,192.14080000529066,6045.082800032105,803.8
1785156465,10,,Aggregated,5.900000,0.000000,830,990,1300,1900,2200,2700,3500,6000,6000,6000,6000,76,0,820,1086.3352750043543,192.14080000529066,6045.082800032105,805.7236842105264
1785156466,10,,Aggregated,6.200000,0.000000,830,990,1600,1900,2200,2400,3500,6000,6000,6000,6000,83,0,830,1096.4367867514761,192.14080000529066,6045.082800032105,807.6385542168674
1785156467,10,,Aggregated,6.300000,0.000000,830,1200,1600,1900,2200,2700,3500,6000,6000,6000,6000,89,0,830,1124.4631404537195,192.14080000529066,6045.082800032105,799.7303370786517
1785156468,10,,Aggregated,6.600000,0.000000,860,1200,1600,1900,2200,2700,3500,6000,6000,6000,6000,95,0,860,1132.3536968453002,192.14080000529066,6045.082800032105,792.8842105263158
1785156469,10,,Aggregated,6.500000,0.000000,860,1200,1600,1900,2200,2400,3100,3500,6000,6000,6000,101,0,860,1133.8662574295931,192.14080000529066,6045.082800032105,795.0297029702971
1785156470,10,,Aggregated,6.400000,0.000000,860,1200,1700,1900,2300,2700,3500,5400,6000,6000,6000,109,0,860,1187.6868156004919,192.14080000529066,6045.082800032105,797.5412844036697
1785156471,10,,Aggregated,6.200000,0.000000,860,1200,1700,1900,2300,2700,3500,5400,6000,6000,6000,115,0,860,1173.6382391334148,192.14080000529066,6045.082800032105,799.2260869565217
1785156472,10,,Aggregated,6.500000,0.000000,860,1300,1700,1900,2300,2700,3500,5400,6000,6000,6000,121,0,860,1184.9970231434015,192.14080000529066,6045.082800032105,800.7438016528926
1785156473,10,,Aggregated,6.600000,0.000000,870,1300,1600,1900,2300,2700,3500,5400,6000,6000,6000,128,0,860,1171.6443554714715,192.14080000529066,6045.082800032105,802.296875
1785156474,10,,Aggregated,6.400000,0.000000,880,1300,1700,1900,2300,3000,4700,5400,6000,6000,6000,134,0,870,1209.1273828387893,192.14080000529066,6045.082800032105,803.5373134328358
1785156475,10,,Aggregated,6.400000,0.000000,880,1300,1700,1900,2300,3000,4700,5400,6000,6000,6000,140,0,880,1211.2072821457073,192.14080000529066,6045.082800032105,804.6357142857142
1785156476,10,,Aggregated,6.400000,0.000000,890,1300,1700,1900,2300,3000,4700,5400,6000,6000,6000,147,0,890,1217.3565013633508,192.14080000529066,6045.082800032105,794.5170068027211
1785156477,10,,Aggregated,6.400000,0.000000,890,1300,1600,1900,2300,3100,3800,5400,6000,6000,6000,153,0,890,1221.1569169961567,192.14080000529066,6045.082800032105,790.4836601307189
1785156478,10,,Aggregated,6.300000,0.000000,890,1300,1600,1900,2300,3100,3800,5400,6000,6000,6000,160,0,880,1209.4374912521744,192.14080000529066,6045.082800032105,792.2125
1785156479,10,,Aggregated,6.400000,0.000000,890,1300,1700,1900,2400,3100,4700,5600,6000,6000,6000,167,0,890,1250.6924874280317,192.14080000529066,6045.082800032105,793.7664670658683
1785156480,10,,Aggregated,6.500000,0.000000,880,1300,1700,1900,2300,3100,4700,5600,6000,6000,6000,174,0,880,1239.3813109224068,192.14080000529066,6045.082800032105,790.3678160919541
1785156481,10,,Aggregated,6.500000,0.000000,880,1300,1700,1900,2400,3100,4700,5600,6000,6000,6000,179,0,880,1240.5713189971457,192.14080000529066,6045.082800032105,791.3072625698323
1785156482,10,,Aggregated,6.500000,0.000000,880,1300,1800,1900,2400,3100,4700,5600,6000,6000,6000,186,0,880,1252.2628360242652,192.14080000529066,6045.082800032105,788.1397849462365
